3'延边后场控球，裴育文长甩一脚，斯蒂夫前面越位了                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
13'延边进球了，非常的漂亮啊                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
13'尹比加兰的入球                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
14'尹比加兰禁区外突破，凌波微步草上飞，中路连续盘过麦克和杨善平，推进到禁区内面对补防上来的后卫不慌不忙，内脚背兜射弧线直钻上角                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
15'尹比加兰这个球打的太精彩了                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
15'辽宁右路的进攻，传中进去，詹姆斯包抄抢点犯规                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
15'王亮中场拼抢被吹了犯规                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
16'延边直接长传找前面的尹比加兰，给的比较大，出了底线                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
16'延边左侧再次形成突破，中路捅给插上的李浩杰                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
16'后卫抢先碰了一下，捅回给石笑天，结果险些变成助攻啊                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
16'好在石笑天及时出击，一个扫堂腿把球解围远远的                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
17'辽宁反击长传，图雷越位                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
17'延边右路大范围转移，找左路金承大                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
17'郑涛头球解围，金泰延拿球失误，球又到延边脚下                   14'第14分钟，延边队率先打破僵局，尹比加兰禁区外突破，中路连续盘过麦克和杨善平推进到禁区里，内脚背一脚兜射，皮球直钻球门上角
16'延边直接长传找前面的尹比加兰，给的比较大，出了底线                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
16'延边左侧再次形成突破，中路捅给插上的李浩杰                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
16'后卫抢先碰了一下，捅回给石笑天，结果险些变成助攻啊                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
16'好在石笑天及时出击，一个扫堂腿把球解围远远的                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
17'辽宁反击长传，图雷越位                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
17'延边右路大范围转移，找左路金承大                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
17'郑涛头球解围，金泰延拿球失误，球又到延边脚下                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
18'金承大和斯蒂夫有一个换位                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
18'池文一做出精彩扑救，力保大门不失                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
18'左侧吴永春防守失误，被胡延强过掉                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
19'胡延强突入到禁区内，形成单刀，面对出击的池文一，推射被扑出                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
19'右路图雷斜吊禁区，又是池文一把球没收                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
19'大脚开出来，斯蒂夫争顶，吹了杨善平的压人犯规                   16'第16分钟，延边队直接长传找前面的尹比加兰，皮球直接出了底线
20'崔民左侧直塞给尹比加兰，杨善平身后绊人犯规                   20'第20分钟，杨善平犯规吃到黄牌
20'黑晓虎掏出了黄牌，警告了杨善平                   20'第20分钟，杨善平犯规吃到黄牌
21'延边沿着左路推进，斯蒂夫精彩的穿裆过人，过掉了郑涛                   20'第20分钟，杨善平犯规吃到黄牌
21'郑涛马上一个战术犯规                   20'第20分钟，杨善平犯规吃到黄牌
21'左路尹比加兰定位球给出，这次力量太大，直接飞出底线                   20'第20分钟，杨善平犯规吃到黄牌
22'麦克被张野换下，什么情况，麦克应该还是有伤情                   20'第20分钟，杨善平犯规吃到黄牌
22'崔仁右路得球，转身一个加速，从王亮身边抹过                   20'第20分钟，杨善平犯规吃到黄牌
22'王亮伸腿绊倒了崔仁，犯规                   20'第20分钟，杨善平犯规吃到黄牌
23'辽宁防守有些吃力啊，频频犯规                   20'第20分钟，杨善平犯规吃到黄牌
27'拉到外围，金承大传中进去，被对手解围出来                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
27'辽宁反击中场附近詹姆斯拼抢，对池忠国犯规                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
27'延边中路推进，池忠国外围一脚远射，稍稍偏出，势大力沉                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
28'延边再入一球，这次是利用了辽宁后防的失误                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
28'尹比加兰助攻，黑精灵斯蒂夫进球                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
29'辽宁队后场右路郑涛失误，直接被尹比加兰抢断，尹比加兰顺势突破到禁区内，直塞给斯蒂夫，斯蒂夫左侧插上，小角度的推射远角，准确送入网窝                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
30'辽宁右路的直塞，尼古拉和图雷纠缠在一起                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
30'延边后场长传反击，左侧金承大，斜吊禁区后点，给大了                   27'第27分钟，延边中路推进，池忠国外围一脚远射稍稍偏出
33'辽宁中路的渗透，不错的进攻，詹姆斯禁区内得球                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
33'詹姆斯虚晃之后，强行射门，被裴育文封堵出来                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
33'外围还有，在传中进来，张野头球顶高                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
34'池文一大脚开出，孙世林中场把球控制住                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
34'向前给到张野，右侧直塞找图雷，给的太大了，根本追不到                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
34'今天辽宁的防守问题比较大，延边的进攻打的得心应手                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
35'斯蒂夫左侧拉边，反击突破，自己单干                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
36'闪开孙世林，奔向禁区，球是被协防过来的杨善平捅出去                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
36'斯蒂夫倒在禁区边缘，迟迟没有起来                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
36'黑晓虎也是吹停比赛，让斯蒂夫接受治疗                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
36'比赛继续，左侧胡延强传中                   33'第33分钟，辽宁宏运禁区内拿球，詹姆斯虚晃之后强行射门，被裴育文封堵出来
39'延边后场倒脚，池忠国在给裴育文，往前走，球传丢了                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
39'右侧张野和孙世林的配合直接失误，感觉不在状态啊                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
40'金泰延中路得球，在给左侧到胡延强                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
40'胡延强内切，禁区内射门，李浩杰飞身堵枪眼                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
41'辽宁错失机会                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
41'图雷禁区内转身一脚打门，偏出右门柱                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
42'孙世林右侧突破过来，斜吊禁区后点                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
42'图雷埋伏在后点，端射把球送入网窝，但被吹越位在先                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
42'慢镜头来看，确实是一个越位                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
42'辽宁机会频频啊，又是图雷，错失单刀                   39'第39分钟，金泰延中路得球分别给胡延强，后者内切到禁区射门，李浩杰飞身堵枪眼
41'辽宁错失机会                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
41'图雷禁区内转身一脚打门，偏出右门柱                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
42'孙世林右侧突破过来，斜吊禁区后点                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
42'图雷埋伏在后点，端射把球送入网窝，但被吹越位在先                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
42'慢镜头来看，确实是一个越位                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
42'辽宁机会频频啊，又是图雷，错失单刀                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
43'图雷左侧插上，甩开了防守，同伴的斜传送的也十分舒服，图雷禁区内面对池文一，推射被挡出                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
43'池文一和图雷相撞，两个人双双倒地                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
43'池文一比较严重，需要队医上来治疗一下                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
44'前十轮的扑救榜上，池文一是扑救次数最多的，高居第一                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
44'简单治疗，比赛继续                   41'第41分钟，孙世林右路拿球斜传到门前，图雷埋伏在后点端射把球送入网窝，但被吹越位在先进球无效
48'崔仁边路插上被吹了越位                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
48'石笑天后场把球开出                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
48'前场找詹姆斯                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
49'边路裴育文一脚解围，打在王亮身上弹出边线                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
49'这时候黑晓虎哨响，上半场结束了                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
48'辽宁的进攻，金泰延给到中间的图雷                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
48'图雷外围远射，击中尼古拉弹出                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
48'辽宁外围再把球送入禁区，双方拼抢，金泰延摔倒在禁区内                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
49'裁判哨子没有响，金泰延迟迟没有起来，延边友好的把球踢出边线                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
49'金泰延问题不大，慢镜头来看，裴育文和金泰延有一个对脚                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
49'比赛继续，张野中路得球，顺势一领                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
50'看准插上的詹姆斯，一脚斜吊到禁区后角                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
50'詹姆斯跟上凌空弹射，偏出近角                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
50'辽宁没有退路，下半场必须攻出来                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
50'杨善平后场控球，李浩杰拼抢犯规                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
51'辽宁中路推进，到了前场，分边给胡延强，失误出界                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
51'辽宁的进攻还是找不到状态                   48'经过3分钟补时，上半场结束，上半场延边队2-0暂时领先
47'孙世林中圈的定位球，选择直接往禁区内吊                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'第一点争顶下来，图雷外围把球控制                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'想玩一个马赛回旋，但球还是被李浩杰断下                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'延边反击没有打出来，不着急，转为阵地进攻                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'吴永春回敲池文一，大脚往前走                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
48'崔仁边路插上被吹了越位                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
48'石笑天后场把球开出                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
48'前场找詹姆斯                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
49'边路裴育文一脚解围，打在王亮身上弹出边线                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
49'这时候黑晓虎哨响，上半场结束了                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'打反击，给到斯蒂夫，斯蒂夫正面面对杨善平                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'衔枚疾走，晃过，杨善平阻挡犯规                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'杨善平身背黄牌，要注意动作                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
47'尹比加兰主罚定位球，外围直接选择轰门，偏出远门柱                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
48'辽宁的进攻，金泰延给到中间的图雷                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
48'图雷外围远射，击中尼古拉弹出                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
48'辽宁外围再把球送入禁区，双方拼抢，金泰延摔倒在禁区内                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
49'裁判哨子没有响，金泰延迟迟没有起来，延边友好的把球踢出边线                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
49'金泰延问题不大，慢镜头来看，裴育文和金泰延有一个对脚                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
49'比赛继续，张野中路得球，顺势一领                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
50'看准插上的詹姆斯，一脚斜吊到禁区后角                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
50'詹姆斯跟上凌空弹射，偏出近角                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
50'辽宁没有退路，下半场必须攻出来                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
50'杨善平后场控球，李浩杰拼抢犯规                   47'第47分钟，延边队断球，斯蒂夫拿球被杨善平放倒，延边队获得任意球机会，尹比加兰主罚直接轰门，皮球偏出远门柱
51'辽宁中路推进，到了前场，分边给胡延强，失误出界                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
51'辽宁的进攻还是找不到状态                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
52'王亮左侧传球，中路张野停球失误，险些被断                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
52'辽宁反击长传，中路直塞进去                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
52'詹姆斯在尼古拉的逼防下倒地了                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
52'黑晓虎哨响，给了点球                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
53'这个球，慢镜头来看，还是比较牵强的啊                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
53'双方五五开，尼古拉也并没有多余的动作                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
53'詹姆斯主罚点球一蹴而就                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
54'詹姆斯亲自主罚，推射左下角，骗过池文一得手                   51'第51分钟，辽宁队长传打反击，詹姆斯进球内在尼古拉的逼防下倒地，裁判给了点球，詹姆斯主罚，骗过池文一推射左下角得手，辽宁队1-2扳回一球
61'辽宁扳回一城之后，进攻变得耐心了一些                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
61'辽宁突然一脚冲吊，到禁区内                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
61'图雷后蹭攻门，威胁不大                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
61'辽宁前场横敲失误                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
62'延边反击机会，4打5，一脚直塞找边路插上的金承大                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
62'球给的有些大，被石笑天没收                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
62'右路金泰延传中，后点图雷把球拿住                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
62'传中到了詹姆斯脚下，直接射门，击中同伴后被解围                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
63'外围阿萨尼助攻上来，左侧突破到底线，横敲门前，被挡出底线                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
63'刘尚坤换下胡延强                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
63'左侧角球开出来                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
63'第一点被解围出来，外围孙世林一脚轰门，禁区内制造混乱                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
64'球还是被尼古拉破坏掉                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
64'延边反击，直塞一脚，前面找金承大                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
64'关键时刻杨善平出现在关键位置，一记铲断，很关键啊                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
64'孙世林前场拼抢对李浩杰犯规                   61'第61分钟，辽宁队进攻，詹姆斯得球后直接射门，击中队友后被解围，外围阿萨尼突破到底线横敲门前，被延边队员挡出底线
65'金泰延又是拼抢中犯规，这次被侵犯的是池忠国                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
65'右路裴育文插上助攻，停球失误，出了边线                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
65'李浩替补上来，换下池忠国                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
66'现在延边的双后腰是李浩和李浩杰                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
66'金泰延右路突破，下底传中                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
66'后点高空轰炸，图雷摆渡一下                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
66'尼古拉控制第二点，把球解围掉                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
66'延边再入一球，扩大领先优势                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
67'斯蒂夫梅开二度，也是很精彩的进球                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
67'这段时间，延边比较困难，这个进球稳定局势啊                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
68'延边中路直塞，尹比加兰顺势一送，直塞到禁区内斯蒂夫脚下，斯蒂夫轻盈一扣，晃开了下地的杨善平，此时面前只剩石笑天，右脚轻推远角，轻松得手                   65'第65分钟，延边队也做出人员调整，李浩换下池忠国
74'图雷头球一顶，摆渡找詹姆斯，池文一抢先出击没收                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
74'刘尚坤左路拼抢对裴育文犯规了                   74'第74分钟，辽宁队张野边路起球到禁区，图雷摆渡找詹姆斯，池文一抢先出击没收
