1'伊瓜因中场开球！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
48'再给禁区前沿迪巴拉！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'内切一步！直接远射！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'横梁啊！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'曼朱基奇补射！直接被门将没收！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'卡利亚里后场控球！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'这边失误了！桑德罗回敲身后基耶利尼！                   46'上半时补时第1分钟，尤文通过反击扩大比分
49'继续横敲右侧！鲁加尼长传！                   46'上半时补时第1分钟，尤文通过反击扩大比分
49'左路乔普腿给身边的约尼察！                   46'上半时补时第1分钟，尤文通过反击扩大比分
49'继续回敲身后卡萨卡内！                   46'上半时补时第1分钟，尤文通过反击扩大比分
49'这边利希施泰纳破坏出边线！                   46'上半时补时第1分钟，尤文通过反击扩大比分
66'门前直接被门将拿到！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
66'这边边裁也举旗越位了！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
66'伊瓜因分边路桑德罗！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
67'低平横敲！禁区中路伊瓜因更上一脚推射！有了！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
67'进了进了进了！！3-0！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
67'比赛继续！尤文主场3-0领先！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
68'尤文中场分球给右侧！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
68'扩德拉多直传伊瓜因！突入禁区！底线附近倒三角回传！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
68'被后卫挡出底线！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
68'尤文右侧角球！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
69'皮亚尼奇主罚至前点！禁区外左侧！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
69'桑德罗拼抢！分迪巴拉！直接往前带！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
69'禁区外右侧被断了！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
69'卡利亚里反击！前场左路法里亚斯横敲门前！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
69'基耶利尼一脚解围！直接出了边线！                   66'尤文第66分钟再添一分，曼朱基奇左肋直塞禁区，赫迪拉插上接应敲到外沿，阿莱士-桑德罗低传中路，伊瓜因停球距门8米处左脚扫射穿过后卫裆下入远角，3比0
