6'桑切斯前场拼抢，将球挡出了边线                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
17'戈米为球队制造了一个角球                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
24'寄诚庸绊倒了桑切斯~裁判吹罚了犯规                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
24'阿森纳快速开出定位球~                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
24'科奎林想要直塞找吉鲁，也出现了失误                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
25'啊锦誒 不知道今年能否夺冠，支持了啊森纳八年，年年第4真不好受---温格也已经尽力了~球队实力还是不够啊                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
26'坎贝尔右路回敲~~厄齐尔抽射打在后卫身上                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
26'禁区外~~~                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
26'贝莱林远射势大力沉！！法比安斯基扑救差点儿脱手                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
26'还好及时将球压在了身下                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
26'好险~~~                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
27'斯旺西的反击，费尔~弧顶射门稍稍高出横梁                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
27'这是开场之后斯旺西最具威胁的一次进攻                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
27'桑切斯故意一漏，蒙雷亚尔插上传中                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
27'太靠近门将了                   24'第24分钟，贝莱林在禁区外远射，法比安斯基扑球脱手，好在他赶在阿森纳球员前再次将球扑住
31'坎贝尔内切之后的射门~~变线之后飞向球门                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
31'没什么力量~~                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
31'法比安斯基应该是今天场上最忙碌的人了                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
32'阿森纳上半场的射门次数已经有10次                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
32'斯旺西这边仅有4次                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
32'在控球率方面阿森纳也占到了60.7%                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
32'劳特里奇~~~                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
32'Goooooooooooooooooooooooal~~~                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
33'阿森纳忙中出错，后防线的注意不够集中，柯克~直塞两名中卫的身后，劳特里奇反越位成功~~面对出击的切赫推射球门右下角~~~                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
34'这次防守中阿森纳的球员明显的出现了盯人失误，没有人看到后排插上的劳特里奇                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
34'让他轻松的反越位获得单刀                   31'第31分钟，斯旺西扳平比分，劳特利奇中路反越位成功，在弧顶区内推射破门，比分变为1-1
56'桑切斯今天的状态真差                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
56'刚才他的直塞直接传出了底线                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
56'大腿也有疲惫的时候                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
57'阿森纳制造了一个角球                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
57'厄齐尔角球传向后点~桑切斯胸部停球                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
58'一趟、再趟~~桑切斯的射门！！！                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
58'好机会啊~可惜被蒙雷亚尔在门前伸腿挡了一下，稍稍偏出                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
58'这球要是不挡的话，可能就进了                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
59'蘇亞雷斯92277 娜娜怎么了？---上半场进球之后大意了，以为今天斯旺西状态不好稳赢                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
59'阿森纳获得了一个禁区右侧的定位球                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
59'厄齐尔传中刚好越过后卫头顶~~                   56'第56分钟，厄齐尔开出角球，桑切斯在禁区停球后低射，蒙雷亚尔门前稍稍挡了一下之后，皮球稍稍偏出
47'战术角球~                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
47'劳特里奇的传中被解围出去                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
47'角球传中被默特萨克头球解围                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
48'贝莱林下底倒三角传回来~                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
48'可惜吉鲁已经跑过头了                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
48'斯旺西得球反击                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
49'劳特里奇面对加布里埃尔，球被断掉了                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
49'斯旺西这边下半场是用西古德松换下了寄诚庸                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
49'桑切斯连续的传中~~最后一脚直接传到法比安斯基的怀中                   47'2分钟后，西古德森一路突进禁区，并且过掉了切赫，不过他小角度射空门却滑门而过
74'阿森纳传球被断~~                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
74'裁判吹哨了                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
74'阿尤的边路突破逼得加布里埃尔犯规                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
75'斯旺西的边路定位球                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
75'西古德森定位球传向门前~~                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
75'威廉姆斯~~~                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
75'Gooooooooooooooooooooal~~~~~~~~~~~                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
76'西古德松定位球传到门前，让阿森纳的球员很难处理~而切赫的出击也稍微慢了半拍，没有碰到皮球，威廉姆斯头球顶入了空门！                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
76'此时此刻值得来杯嘉士伯                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
76'阿森纳马上用沃尔科特换下了桑切斯                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
77'xmuBinGo- 大难不死必能赢---额，说的是斯旺西么                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
77'阿森纳制造了一个角球                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
77'吉鲁~~接到厄齐尔的传中甩头攻门！！                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
77'法比安斯基将球抱住了                   74'第74分钟，西古德森任意球传中，威廉姆斯禁区内头球破门，1-2
47'战术角球~                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
47'劳特里奇的传中被解围出去                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
47'角球传中被默特萨克头球解围                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
48'贝莱林下底倒三角传回来~                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
48'可惜吉鲁已经跑过头了                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
48'斯旺西得球反击                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
49'劳特里奇面对加布里埃尔，球被断掉了                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
49'斯旺西这边下半场是用西古德松换下了寄诚庸                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
49'桑切斯连续的传中~~最后一脚直接传到法比安斯基的怀中                   47'补时第2分钟，沃尔科特传中，维尔贝克在禁区内头球攻门，皮球稍稍偏出远门柱
