25'战术任意球给出来！                   25'拜仁第25分钟取得领先
52'J罗横传穆勒！回传J罗！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
52'转移左侧拉菲尼亚！分中路莱万多夫斯基！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
52'转身直接扫射！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
52'球打飞了！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
51'基米希右侧推进！前场分右侧J罗！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
51'传中到门前！穆勒头球攻门！！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
51'打中右侧立柱弹出！！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
52'基米希右侧得球！分给J罗！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
52'J罗横传穆勒！回传J罗！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
52'转移左侧拉菲尼亚！分中路莱万多夫斯基！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
52'转身直接扫射！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
52'球打飞了！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
53'科诺普扬卡传中被拉菲尼亚头球解围！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
53'拜仁反击直传！纳尔多抢断了！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
54'交给科雷尔！分右侧卡利朱里！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
54'内切中路直接扫射！！！！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
54'偏出右侧底线！！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
54'乌尔赖希长传中场！                   51'拜仁第51分钟几乎破门，J罗右路左脚传中，穆勒前点距门7米处冲顶击中近门柱
61'裁判哨响！下半场比赛开始了！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
61'恩博洛被犯规了！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
61'沙尔克中场推进！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
61'给左侧奥奇普卡！分禁区左侧！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
62'球被解围出去！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
62'莱万多夫斯基左侧反击！突破趟球被解围！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
62'穆勒右侧突破球被捅出底线！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
62'拜仁右侧角球！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
63'角球给到后点！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
63'费尔曼摘下球！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
63'沙尔克右侧进攻！恩博洛犯规了！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
64'恩博洛怒吼裁判！吃到黄牌！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
64'拜仁换人！蒂亚戈换下莱万多夫斯基！                   61'第61分钟，奥奇普卡左路低传，布格施塔勒切入禁区在两人夹防下倒地，主裁判示意比赛继续
75'短传比达尔！回传蒂亚戈！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
75'给左侧拉菲尼亚！回传比达尔！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
75'回传给马丁内斯！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
75'交给右侧基米希！分蒂亚戈！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
75'直传禁区右侧穆勒！扫射被挡出去！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
76'穆勒中路得球挑传禁区！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
76'比达尔单刀了！直接挑射！！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
76'GOOOOOOOOOOAL！！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
77'拜仁换人！胡梅尔斯换下马丁内斯！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
77'马丁内斯分右侧基米希！交给蒂亚戈！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
77'分左侧拉菲尼亚！回传给比达尔！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
77'长传前场！送给了费尔曼！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
77'交给纳尔多！分格雷茨卡！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
77'格雷茨卡中圈被拉倒犯规！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
78'沙尔克04用迪桑托换下布格施塔勒！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
78'沙尔克04左侧进攻拿到角球机会！                   75'第75分钟，蒂亚戈直塞禁区，J罗回带出禁区左脚挑传，比达尔在门前9米处凌空打进右上角，3比0
