1'中圈拜仁慕尼黑开球！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
27'说时迟那时快！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
27'拜仁慕尼黑的进攻又来了！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
27'格纳布里前场分球禁区右侧莱万多夫斯基！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
27'莱万多夫斯基禁区内右侧！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
27'面对门将费尔曼！莱万多夫斯基起脚打门！！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
27'GOOOOOOOOOOOAL！！2-1！！！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
28'格纳布里助攻莱万多夫斯基破门！拜仁慕尼黑2-1沙尔克0                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
56'转移球给禁区右侧基米希！                   53'下半时开始8分钟，麦肯尼右路内切分球，科诺普良卡禁区左侧内切距门11米外射门被乌尔赖希扑出，麦肯尼将球挡下，近在咫尺的捅射击中左门柱
56'基米希回给右侧格纳布里！                   53'下半时开始8分钟，麦肯尼右路内切分球，科诺普良卡禁区左侧内切距门11米外射门被乌尔赖希扑出，麦肯尼将球挡下，近在咫尺的捅射击中左门柱
56'格纳布里的球被奥奇普卡大脚破坏！                   53'下半时开始8分钟，麦肯尼右路内切分球，科诺普良卡禁区左侧内切距门11米外射门被乌尔赖希扑出，麦肯尼将球挡下，近在咫尺的捅射击中左门柱
56'博阿滕后场把球卸下来！                   53'下半时开始8分钟，麦肯尼右路内切分球，科诺普良卡禁区左侧内切距门11米外射门被乌尔赖希扑出，麦肯尼将球挡下，近在咫尺的捅射击中左门柱
57'给中场左路的蒂亚戈-席尔瓦！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
57'横敲给身边哈梅斯-罗德里格斯！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
57'挑传球给前场右侧基米希！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
57'回传一下给胡梅尔斯！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
57'直传球给前场中路蒂亚戈-席尔瓦！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
57'分边给左侧金斯利-科曼！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
58'弧线球传中进来！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
58'莱万多夫斯基摆渡给门前右侧！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
58'格纳布里跟进一脚打门！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
58'GOOOOOOOOOAL！球进了！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
58'格纳布里的破门！拜仁慕尼黑3-1领先沙尔克04！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
60'卡利朱里发球给后场的萨内！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
60'回给门将费尔曼！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
60'费尔曼开球给中场右侧！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
60'胡梅尔斯把球破坏！                   57'第57分钟，科曼左路下底传中，莱万胸部停球距门12米处倒勾射门，格纳布里小禁区前沿接力头球顶进左下角，3比1
74'拜仁慕尼黑前场左侧边线球！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
74'发球给接应的里贝里！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
74'回给后场胡梅尔斯！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
74'分边给右路哈梅斯-罗德里格斯！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
74'再给前场左侧里贝里！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
74'直塞球给中路插上的哈梅斯-罗德里格斯！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
74'低平球给身前莱万多夫斯基！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
75'莱万多夫斯基起脚抽射！这球打偏出了底线！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
76'费尔曼开球给后场布鲁马！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
76'挑传给前场萨内！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
76'莱万多夫斯基把球破坏！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
76'格雷茨卡右路得球推进！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
76'给身边跟进的哈梅斯-罗德里格斯！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
76'斜传球给前场左侧里贝里！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
77'里贝里回给中场胡梅尔斯！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
77'回做给门将乌尔赖希！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
77'开球给回撤接应的格雷茨卡！                   74'第74分钟，里贝里左路切入禁区传中，J罗投桃报李无私横传莱万，莱万在门前9米处弧线球偏出右门柱
