1'上半场比赛开始！                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
78'塞给禁区里迪巴拉！！左脚直接打门了！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
78'打偏了啊！！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
78'这个球被扑出底线！是角球啊                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
79'战术角球开出来！！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
79'球回到中场！！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
80'乌迪内斯中场控制球！转移球找到前场威尔莫茨                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
80'右侧下底传中！！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
80'佛法纳外围拿到球！给萨里奇                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
80'直接打门了！！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
80'打偏了一点点啊！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
81'马图伊迪前场带球被碰出边线                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
