1'曼联首先开球，从画面的右侧向左进攻！！                   1'曼联第1分钟占据主动
53'林加德前场拿球，直塞给到姆希塔良                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
53'姆希塔良横传拉什福德，没机会                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
54'回传给到林加德，再找阿什利-杨，被破坏出边线                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
54'拉什福德左路拿球，强突传中到禁区                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
54'过了费莱尼的头顶，被身后的麦考利头球解围                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
67'西布朗球员的解围失误，直接踢在了姆希塔良身上                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
67'姆希塔良单刀赴会，面对福斯特，推射                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
67'球被福斯特一挡，球速慢了下来，被尼奥姆控制                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
67'姆希塔良浪费机会，穆里尼奥很不满，手里的笔都扔掉了啊                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
68'马夏尔前场左路拿球，内切横传找卡里克                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
68'西布朗刚刚完成了本场的第二个换人：5号雅各布上，换下22号查德利                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
69'曼联这边还是按兵不动啊！！                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
69'布伦特左路拿球，强突拜利                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
69'两人身体碰撞后，球被拜利破坏                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
69'德赫亚出击拿到，分球左侧给阿什利-杨                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
70'瓦伦西亚的右路强突，传中被埃文斯解围出底线                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
70'西布朗第三次换人：9号隆东上，换下4号卡努！！                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
70'西布朗三次换人名额全部用完啦！！                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
70'曼联获得右侧角球机会！！                   67'曼联第67分钟错过机会，西布朗后卫解围打中姆希塔良弹回，后者突入禁区左肋10码处单刀射门被福斯特及时出击救出
74'埃文斯分球布伦特，布伦特再找隆东                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
74'隆东拿球强突，单挑罗霍                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
74'底线内切，小角度打门，打在边网上                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
74'曼联换人：10号鲁尼上，换下22号姆希塔良                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
75'鲁尼的登场，也是引来现场球迷起立鼓掌！！                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
75'阿什利-杨左路拿球强突，底线内切                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
76'倒三角回传，被回防的防守球员碰出底线，打在边网上                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
76'差点送出乌龙啊！！                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
76'曼联的左侧角球，没能形成威胁！！                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
77'裁判吹停了比赛，雅各布和拜利好像发生了点口角                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
77'双方队长被叫过来，口头警告一下！！                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
77'刚刚这球，拜利背身拿球，雅各布身后逼抢，双方互有拉扯，火气很大啊                   74'鲁尼第74分钟替补出场，球迷起立鼓掌
