1'比赛开始了，桑德兰率先开球                   1'阿森纳第1分钟展开积极攻势
2'回敲霍尔丁，中路向前找扎卡，被博里尼拦截                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
3'带球向前自己推进，一记直塞推给前插的迪福                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
3'迪福顺势一趟，有点大。。奥维多跟进，底线附近也是没有救回来                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
3'切赫后场大脚开起来                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
3'中前场右侧扎卡得球，交给374，在分身边拉姆塞                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
4'带球继续往前杀，禁区附近的回敲                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
4'374身旁跟进，，一记怒射，打了冲天炮                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
4'皮克福德大脚开出门球                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
4'左侧前场争顶，大吉鲁把球得到，在策应一番                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
4'桑德兰后场把球抵挡回来                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
4'扎卡中场梳理，在给到左侧找374                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
5'374带球推进，过人如麻，在分中路拉姆塞                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
5'继续回敲，右侧给到霍尔丁，低传向前                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
5'找到禁区内插上的吉鲁，科内把球破坏出去                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
5'霍尔丁外围拼抢犯规了                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
5'皮克福德大脚开出后场球                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
72'皮克福德大脚开出                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
72'前场右侧恩东得球，回敲奥谢，在给门将                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
72'皮克福德大脚开出边线                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
72'皮克福德今天开了多少次大脚了。。。                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
72'蒙雷亚尔给穆斯塔菲，转移右侧                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
72'维尔贝克拿球，在给伊沃比，两名替补之间的连线                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
72'维尔贝克最后一脚射门，，打在对方身上，角球                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
73'272角球开起，，禁区内第一点被挡出                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
73'外围中路，扎卡在搓起来，，禁区左侧272跟进，，在分到门前                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
73'终于进球了，，374推射                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
73'272助攻374的破门                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
74'扎卡禁区外挑传，左侧跟进的272在扫到门前，374轻松推射，这次皮克福德三头六臂也不行了                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
74'恩东右侧高歌猛进，突破被断了                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
74'374拿球，情绪高涨了，一路奔袭                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
74'卡特莫尔防守犯规，吃到黄牌                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
75'定位球快发，给左侧272                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
75'左侧瞄着传，禁区后点被破坏                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
75'外围贝莱林大范围转移                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
75'左侧穆斯塔菲在给扎卡，做球，伊沃比似传似射，到了门前                   72'阿森纳第72分钟打破僵局，扎卡战术角球直传，厄齐尔小禁区左侧边缘外传中，桑切斯近距离捅射入网
81'大脚开出来                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
81'前场还是阿森纳把球控制，右侧在给贝莱林                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
81'回敲维尔贝克，转到左侧272                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
81'顺势向前塞，维尔贝克插上，被琼斯抵挡出底线                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
82'左侧角球，272给到扎卡，在给272                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
82'横敲到禁区外弧顶，伊沃比右侧在转给贝莱林                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
82'右路起球，，禁区内后点，吉鲁摆渡，顶到门前                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
82'374包抄，，又中了                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
83'374梅开二度，这下稳了                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
83'右侧贝莱林送出传中，后点吉鲁垫射被门将挡出，374抢点轻松打进                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
84'桑德兰用贾努扎伊替下曼基略                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
84'贾努扎伊上场就拿球，突破下底，造成边线球                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
84'琼斯发球，给贾努扎伊，蒙雷亚尔断下                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
84'往前直传，左侧272快速向前                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
84'一记直塞，给到维尔贝克，提前量给的舒服                   81'阿森纳第81分钟扩大比分，穆斯塔菲右路传中，吉鲁远点近距离凌空垫射被皮克福德勉强扑出，桑切斯近距离顶入空门，2-0
