1'上半场比赛开始了                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
39'被后卫倒地解围了~                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
39'还有机会，小法~~~接到了梅西的回敲                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
39'停球之后，小法打门打得太正了                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
43'阿尔巴~~停球做给伊涅斯塔                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
43'空门了~~~可惜小白倒地铲射将球射偏                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
43'阿尔巴受伤之后还这么猛啊                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
44'巴萨再次错失更改比分的良机                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
44'小法又有机会，可惜速度太慢了                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
44'布斯克茨已经把球顶到了中间的无人地带                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
44'小法慢吞吞的转身~伊莱索斯出击把球解围                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
45'哈维今天状态不错，几次给队友送出妙传了                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
45'梅西~~~                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
45'打在了横梁上                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'还是源自阿尔巴的传中                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'可惜了，距离球门太近，梅西把球打高了一些                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'阿德！！！                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'Goooooooooooooooooal！！！                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'小法中路斜传，阿德突然的插上~~~面对伊莱索斯，打了一个上角！！！                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'下半场开始了                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'洛伦特追着皮克跑，速度还是慢一些啊                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
46'巴萨这边并没有换下阿尔巴                   43'第43分钟，法布雷加斯直传，阿尔巴凌空捅出，伊涅斯塔禁区右肋10码处侧身打门偏出
54'就这么一脚出球，让毕巴的后卫围着转圈                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
54'梅西中路拿球又被断了~                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
54'布斯克茨上抢，再给梅西~                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
54'伊莱索斯立功了                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
54'扑出了梅西禁区线上的搓射~                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
54'巴萨的角球，战术配合                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
55'传中被顶了出去，还在巴萨的脚下                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
55'梅西接应伊涅斯塔的脚后跟妙传~~~                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
55'又一次！梅西把球停在了身后                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
55'这球要是第一下领过来，就是个单刀了                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
56'伊涅斯塔被伊图拉斯佩撞倒了，裁判给了毕巴中场一张黄牌                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
57'布斯克茨给小法做了一次掩护~小法直塞传球被挡出                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
57'小法！！！                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
57'Goooooooooooooooal！！！                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
57'巴萨再入一球！4比0                   54'第54分钟，布斯克茨突破传球，梅西禁区边缘的射门被伊莱索斯扑出
61'洛伦特~~~                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
61'脚下技术不错，禁区内转身把球控制住，可惜他的打门稍稍偏出                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
62'伊莱索斯解围球差点失误                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
62'被布斯克茨直接拦截下来，不过这球没能传到梅西的脚下                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
63'德马科斯长传球分边，苏塞塔~没能过了阿德的防守                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
63'阿德进可攻退可守，这个赛季在巴萨的表现很不错                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
63'或许以后巴西国家队的主力边后卫会有他的一席之地                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
64'安德尔~~~                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
64'禁区外远射，擦着立柱飞出底线                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
64'毕巴的反击也颇具威胁                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
64'毕巴换上2号托克罗，换下苏塞塔                   61'毕尔巴鄂连续打出威胁攻势，第61分钟，安德尔传球，洛伦特12码处射门稍稍偏出
65'虽然身背2号球衣，但是托克罗是名前锋                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
65'游客2412: 阿费莱是租借出去了吗---嗯，是租出去了，还有冯塔斯租给了马洛卡                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
65'后防注意力不集中啊                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
65'戈麦斯！！                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
66'毕巴扳回一球                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
66'巴萨造越位失误，戈麦斯接到中场的长传，单刀~射门穿了巴尔德斯的小门                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
67'伊涅斯塔为巴萨制造了一个角旗区附近的定位球                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
67'传中被后卫解围，布斯克茨帮助巴萨重新把球控制住                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
68'小法想吊射对方球门                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
68'看到伊莱索斯的站位有些靠左，小法接到梅西传球，不停球直接吊射~球打高了                   65'毕尔巴鄂第65分钟扳回一城，伊图拉斯佩直传，反越位成功的戈麦斯13码处单刀推射破门，1-4
70'佩刀~打门被伊莱索斯扑了一下                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
70'梅西！！！                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
70'Goooooooooooooooooal！！！                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
70'第84球！！！                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
71'小法的直传~佩刀打门被门将扑出，球还是在禁区之内，佩德罗重新把球拿到横敲中路，梅西~过了阿莫雷比埃塔之后的右脚抽射~球直挂死角！                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
71'梅开二度对于梅西来说就像请客吃饭那么简单                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
72'蒙托亚也要出场了                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
72'看来还是会换下阿尔巴，让他得到休息                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
72'梅西这状态如果一直保持，单年度90个进球也不在话下啊                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
73'戈麦斯的左脚凌空打门~似传似射偏出了远端立柱                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
73'场边蒂亚戈也在准备了                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
73'换下的是阿德~~~                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
73'蒙托亚换下了阿德里亚诺                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
73'另外蒂亚戈换下伊涅斯塔                   70'第70分钟，法布雷加斯直传，佩德罗禁区左侧10码处射门被伊莱索斯扑出，梅西拿球受阻，佩德罗左路再传，梅西12码处射入右上角梅开二度，5-1
74'伤愈复出之后蒂亚戈还需要时间来找找状态                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
74'就连宋也要登场了                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
74'巴萨连换3人                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
75'宋换下的是布斯克茨                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
75'教授今天在中场表现不错                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
76'传闻曼城对他向巴萨进行了报价                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
76'伊莱索斯今天这什么状态啊                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
76'给队友的传球偏的离谱                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
76'连丢5球之后伊莱索斯有些崩溃啊                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
77'哈维给梅西传直线~后卫先出一脚解围出底线                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
77'圣何塞~这是毕巴才换上的球员                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
77'巴萨的角球                   74'第74分钟，蒙托亚和蒂亚戈分别换下阿德里亚诺和伊涅斯塔，亚历山大-宋也换下布斯克茨
90'安德尔没有办法转身，只能向回传                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
90'德马科斯底线传中被皮克断下                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
91'巴萨快速反击~                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
91'皮克~传中！梅西抢点头球！！！                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
91'差点，帽子戏法啊                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
91'皮克本有机会打门了，不过他还是想到了梅西                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
91'只是梅西这球没能压住，顶高了                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
91'禁区外的远射~戈麦斯！被巴尔德斯飞身扑出                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
92'音乐和篮球940408:柠檬，明天直播热的比赛吗？---要的                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
92'梅西在中路突破被安德尔拉了一把，裁判给了安德尔一张黄牌                   90'第90分钟，皮克、梅西和佩德罗连续打出精彩斜传配合，但梅西12码处头球冲顶稍稍高出横梁
