7'绿城左路下底，可惜被逼出了底线                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
18'朕爷V尐鋇：新浪体育#中超第18轮： 杭州绿城 VS 天津泰达#哈哈，这场比赛也是山东球迷很关注的一场比赛！                   17'第17分钟，卢卡外围远射稍稍高出
18'天津后场长传，绿城将球控制下来                   17'第17分钟，卢卡外围远射稍稍高出
19'卢卡上来，陈中流带开一名防守，卢卡面对防守队员，外围一脚打门，放了高射炮                   17'第17分钟，卢卡外围远射稍稍高出
20'绿城右路转移到左路，阿甘横传，陈中流中路转身打门，被杨启鹏抱住                   17'第17分钟，卢卡外围远射稍稍高出
25'瓦伦西亚中路外围远射，打得太正，力量也不够，直接出了底线                   25'第25分钟，安德烈奇尼奥左路连续变向过人被卢卡拉倒，他主罚任意球直接转向球门，幸亏姜波双拳出击将球打出
26'安德烈奇尼奥左路变向一磕，又带过去了，卢卡犯规                   25'第25分钟，安德烈奇尼奥左路连续变向过人被卢卡拉倒，他主罚任意球直接转向球门，幸亏姜波双拳出击将球打出
28'安德烈奇尼奥开出任意球，门前一片混乱中，差了一点，绿城将球挡了回来                   25'第25分钟，安德烈奇尼奥左路连续变向过人被卢卡拉倒，他主罚任意球直接转向球门，幸亏姜波双拳出击将球打出
31'安德烈奇尼奥投掷球进场被绿城多断                   31'第31分钟，汪嵩角球被天津队顶出，瓦伦西亚在中场机敏一顶断球反击，但安德烈奇尼奥将球分给左路的李本舰，后者草率的传中浪费了这次反击机会
31'绿城转移到左路，球又被断                   31'第31分钟，汪嵩角球被天津队顶出，瓦伦西亚在中场机敏一顶断球反击，但安德烈奇尼奥将球分给左路的李本舰，后者草率的传中浪费了这次反击机会
33'天津中场断球，瓦伦西亚快速推进，禁区前沿被拦截                   31'第31分钟，汪嵩角球被天津队顶出，瓦伦西亚在中场机敏一顶断球反击，但安德烈奇尼奥将球分给左路的李本舰，后者草率的传中浪费了这次反击机会
33'绿城反击，高迪左路推进转移球又被泰达断了                   31'第31分钟，汪嵩角球被天津队顶出，瓦伦西亚在中场机敏一顶断球反击，但安德烈奇尼奥将球分给左路的李本舰，后者草率的传中浪费了这次反击机会
33'泰达掷界外球                   31'第31分钟，汪嵩角球被天津队顶出，瓦伦西亚在中场机敏一顶断球反击，但安德烈奇尼奥将球分给左路的李本舰，后者草率的传中浪费了这次反击机会
34'泰达右路转移到左路，中路控制球又被拦截，泰达将球捅出了边线                   31'第31分钟，汪嵩角球被天津队顶出，瓦伦西亚在中场机敏一顶断球反击，但安德烈奇尼奥将球分给左路的李本舰，后者草率的传中浪费了这次反击机会
38'绿城后场倒球，转移到右路下底，高迪越位了                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
38'杭州下雨，雨点还是比较大的                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
39'两队在高温之下，冒雨比赛，希望能凉快点                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
39'泰达前场左侧获得任意球机会                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
40'安德烈奇尼奥任意球直接开到后点，球没扑出多远                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
40'泰达前场继续来                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
41'泰达压了压后场，陈中流将球抢了下来                   38'第38分钟，安德烈奇尼奥再次任意球传到门前，姜波出击时与金东进撞在一起，幸亏后卫保护到位没有给天津队机会
41'泰达压了压后场，陈中流将球抢了下来                   41'第41分钟，陈中流右路突破后卫防守后传中，但天津队后卫奋力将球顶出
42'陈中流将球控制下来，右路下底，阿甘左脚传到后点                   41'第41分钟，陈中流右路突破后卫防守后传中，但天津队后卫奋力将球顶出
43'泰达快速反击，安德烈奇尼奥禁区横挑，巴雷跟进，挑射偏出了球门                   41'第41分钟，陈中流右路突破后卫防守后传中，但天津队后卫奋力将球顶出
43'绿城中场又被断球                   41'第41分钟，陈中流右路突破后卫防守后传中，但天津队后卫奋力将球顶出
44'王宏有倒地铲倒周海滨，犯规了，吃到了黄牌                   41'第41分钟，陈中流右路突破后卫防守后传中，但天津队后卫奋力将球顶出
46'绿城后场倒球，转移到右路推进                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'陈中流回作，球又被瓦伦西亚断掉                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'上半场补时1分钟                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'泰达快速推进，被绿城拦截                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
47'绿城快速反击，阿甘左路摆脱被顶出底线                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
47'绿城角球机会                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
47'汪嵩开出角球，前点，第一点被顶了出去                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'下半场比赛开始                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'马佐拉被换上场                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'现场雨还是很大                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
46'绿城换下了卢卡                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
48'进球视频-新援高速突破得分 天津泰达梦幻开局                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
48'绿城右路控球，陈中流断球反击，挑禁区，被杨启鹏没收                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
49'泰达前场边线球进场                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
49'球被王宏有挡出了边线                   46'第46分钟，阿甘连续晃动没有摆脱李玮峰，传中得到角球，角球开出，上半场结束
47'绿城快速反击，阿甘左路摆脱被顶出底线                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
47'绿城角球机会                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
47'汪嵩开出角球，前点，第一点被顶了出去                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
48'进球视频-新援高速突破得分 天津泰达梦幻开局                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
48'绿城右路控球，陈中流断球反击，挑禁区，被杨启鹏没收                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
49'泰达前场边线球进场                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
49'球被王宏有挡出了边线                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
50'绿城球权                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
50'绿城右路快速反击，汪嵩外围突施冷箭，可惜打偏了                   47'第47分钟，李玮峰解围出现失误，皮球直接吊向大门，杨启鹏站位很好将球得到
52'泰达中场将球控制下来                   52'第 52分钟，汪嵩再次远射，稍稍打高
52'连续中路倒，瓦伦西亚边线界上带球失误，出了边线                   52'第 52分钟，汪嵩再次远射，稍稍打高
53'马佐拉带球突破快速推进右路，传中找汪嵩，后者跟进打门高出                   52'第 52分钟，汪嵩再次远射，稍稍打高
53'马佐拉上来后改变了绿城中场控球的问题                   52'第 52分钟，汪嵩再次远射，稍稍打高
54'陈中流球被断，瓦伦西亚中路挑前，巴雷加速推进越位了                   52'第 52分钟，汪嵩再次远射，稍稍打高
54'阿甘转移给中路的陈中流，遭对方犯规                   52'第 52分钟，汪嵩再次远射，稍稍打高
55'非常抱歉，前场因为雷雨天气，所以信号突然中断了                   52'第 52分钟，汪嵩再次远射，稍稍打高
55'信号恢复                   52'第 52分钟，汪嵩再次远射，稍稍打高
60'泰达断球反击，有路没人，王宏有快速回追                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
60'泰达转移到左路出界了                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
61'绿城后场倒球，右路推进，反吊禁区                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
61'汪嵩反吊找高迪，可惜被挡出                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
62'马佐拉禁区外控球再来，卡位时摔倒，又被裁判吹了假摔                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
62'马凿拉领到黄牌                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
63'高迪左路直下，被李玮锋拦截，高迪越位了                   60'第60分钟，杨启鹏双拳将绿城的传中球打出，马佐拉外围得球后突然内切，在白岳峰防守下摔倒在禁区内，但主裁认为是假摔
66'安德烈奇尼奥和金东进拼抢，前者摔倒了                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
66'泰达前场任意球机会                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
67'安德烈奇尼奥自己主罚，球直接转向大门，偏出                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
68'马佐拉中场将球断下                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
69'聊博超拉住了马佐拉，犯规也要把绿城的进攻拦下来                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
69'绿城转移到左路，高迪下底被逼出了底线                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
69'角球                   66'第66分钟，安德烈奇尼奥中场断球，带了半场之后无人支援，被金东进放倒
74'绿城后场控球，传中到门，王林在禁区内带倒                   73'第73分钟，杭州队右路传中，高迪前点抢射，杨启鹏出击将球扑下
74'马佐拉后场断球直传，又被泰达拦截                   73'第73分钟，杭州队右路传中，高迪前点抢射，杨启鹏出击将球扑下
75'泰达不着急慢慢倒，阻路控制，绿城两名后腰磕了下，没想到后面还有安德烈奇尼奥                   73'第73分钟，杭州队右路传中，高迪前点抢射，杨启鹏出击将球扑下
75'安德烈奇尼奥的打门挡在防守队员身上                   73'第73分钟，杭州队右路传中，高迪前点抢射，杨启鹏出击将球扑下
76'瓦伦西亚防守吃了一张黄牌                   73'第73分钟，杭州队右路传中，高迪前点抢射，杨启鹏出击将球扑下
77'马佐拉右路高空球转移到左路，汪嵩过渡了一下找王宏有                   77'第77分钟，吕伟防守中倒地，死球状态下阿甘将球踢向吕伟，引起了天津队员的不满
77'裁判吹了高迪犯规                   77'第77分钟，吕伟防守中倒地，死球状态下阿甘将球踢向吕伟，引起了天津队员的不满
77'裁判又给了阿甘一张黄牌                   77'第77分钟，吕伟防守中倒地，死球状态下阿甘将球踢向吕伟，引起了天津队员的不满
77'阿甘在死球时踢了一下球                   77'第77分钟，吕伟防守中倒地，死球状态下阿甘将球踢向吕伟，引起了天津队员的不满
78'瓦伦西亚下，换上聊博超                   77'第77分钟，吕伟防守中倒地，死球状态下阿甘将球踢向吕伟，引起了天津队员的不满
81'绿城前场组织，马佐拉中路推出来，可惜第一点被挡了一下                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
81'外围第二点再来，又被泰达挡了出来                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
81'绿城获得角球                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
82'汪嵩开到后点，王宏有外围冷射，直接打门，可惜没打上力量                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
82'泰达右路下底被拦截出来                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
83'绿城右路转移到左路，头球没有顶好                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
83'汪嵩左路下底被卡住，回敲找队友                   80'第80分钟，马佐拉弧顶处强行抹入禁区分球，但左侧插上队友的传中过大
85'阿甘中路快速推进，摆脱了3名防守，一脚直射被杨启鹏挡了一下偏出                   84'第84分钟，杭州队反击，阿甘用身体撞开天津队后卫，在弧顶处推射远角，杨启鹏飞身侧扑将球封出底线
85'绿城换人：阿甘下，换上唐家庶                   84'第84分钟，杭州队反击，阿甘用身体撞开天津队后卫，在弧顶处推射远角，杨启鹏飞身侧扑将球封出底线
86'泰达换人：利马上，换下吕伟                   84'第84分钟，杭州队反击，阿甘用身体撞开天津队后卫，在弧顶处推射远角，杨启鹏飞身侧扑将球封出底线
87'绿城角球                   84'第84分钟，杭州队反击，阿甘用身体撞开天津队后卫，在弧顶处推射远角，杨启鹏飞身侧扑将球封出底线
87'汪嵩角球开出来到前点，头球蹭出了偏出                   84'第84分钟，杭州队反击，阿甘用身体撞开天津队后卫，在弧顶处推射远角，杨启鹏飞身侧扑将球封出底线
86'泰达换人：利马上，换下吕伟                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
87'绿城角球                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
87'汪嵩角球开出来到前点，头球蹭出了偏出                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
88'李玮锋来开球门球                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
88'比赛已进行到87分钟，泰达1-0领先                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
89'绿城右路直下，传中，门前头球没打上力量，杨启鹏没收                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
89'汪嵩刚才在争顶时，肋骨被撞了，这一下撞得还挺疼                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
89'马佐拉机会，中路被三人包夹，球被断                   86'第86分钟，汪嵩任意球开到禁区引发一片混乱，高迪抢到落点可惜顶高
90'泰达开始拖延时间                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
91'后场定位球，白岳峰跑了15米远，慢慢跑也不加速，球开出来                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
91'白岳峰拖延开球时间，吃到了黄牌                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
92'泰达投掷球进场，王宏有逼出底线                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
92'下半场补时3分钟                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
92'泰达角球机会                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
93'泰达角球开出来并没有威胁                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
93'绿城右路推进，又被挡了回来，姜波再开出门前球                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
93'汪嵩中场吊门前，杨启鹏出击将球接收                   90'第90分钟，白岳峰开界外球拖延时间吃到黄牌
48'进球视频-新援高速突破得分 天津泰达梦幻开局                   48'补时3分钟后比赛结束，天津队取得本赛季客场首胜
48'绿城右路控球，陈中流断球反击，挑禁区，被杨启鹏没收                   48'补时3分钟后比赛结束，天津队取得本赛季客场首胜
49'泰达前场边线球进场                   48'补时3分钟后比赛结束，天津队取得本赛季客场首胜
49'球被王宏有挡出了边线                   48'补时3分钟后比赛结束，天津队取得本赛季客场首胜
50'绿城球权                   48'补时3分钟后比赛结束，天津队取得本赛季客场首胜
50'绿城右路快速反击，汪嵩外围突施冷箭，可惜打偏了                   48'补时3分钟后比赛结束，天津队取得本赛季客场首胜
