 随着主裁判一声哨响,上半场比赛开始.
55'热刺球员登贝莱拼抢犯规,对手获得控球权.
56'热刺球员埃里克森大禁区左侧右脚射门,被防守球员封堵.给他传球的是Dele Alli.
56'乔纳斯-奥尔森将球处理出底线,热刺获得角球.
56'麦克林将球处理出底线,热刺获得角球.
58'热刺球员拉梅拉大禁区中央左脚射门,命中门柱右侧立柱.给他传球的是埃里克森.
58'热刺球员沃克尔一脚直塞球给凯恩,但是边裁举旗显示后者已经越位.
59'西布朗球员埃文斯拼抢犯规,对手获得控球权.
59'拉梅拉为热刺在右路,赢得一个任意球.
60'黄牌！西布朗球员埃文斯因为恶意犯规,被主裁判出示黄牌.
61'隆东为西布朗赢得一个任意球.
61'热刺球员登贝莱拼抢犯规,对手获得控球权.
63'西布朗球员隆东大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是加德纳.
64'热刺球员埃里克森大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Dele Alli.
65'西布朗球员C-道森大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗莱彻.
66'热刺球员拉梅拉大禁区中央左脚射门,被防守球员封堵.给他传球的是Dele Alli.
67'西布朗球员埃文斯拼抢犯规,对手获得控球权.
67'凯恩为热刺在对方半场,赢得一个任意球.
68'热刺球员登贝莱大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.
69'罗斯将球处理出底线,西布朗获得角球.
71'热刺球员凯恩大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是Dele Alli.
72'西布朗球员加德纳大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗莱彻.
72'射门!!!西布朗球员隆东大禁区右侧右脚射门,被对方守门员横身扑出.
72'洛里斯将球处理出底线,西布朗获得角球.
73'进球啦！！！西布朗球员C-道森球门线跟前头球,球从中路飞进球门,球进了!助攻的是加德纳. 热刺 1-1 西布朗.
73'热刺埃里克-迪尔受伤倒地,比赛暂停
75'暂停结束,球员们重新开始比赛.
75'热刺换人,马松上,埃里克-迪尔因伤下场.
78'埃文斯为西布朗赢得一个任意球.
78'热刺球员拉梅拉拼抢犯规,对手获得控球权.
78'西布朗球员乔纳斯-奥尔森拼抢犯规,对手获得控球权.
78'凯恩为热刺赢得一个任意球.
80'西布朗球员雅各布拼抢犯规,对手获得控球权.
80'登贝莱为热刺在对方半场,赢得一个任意球.
80'西布朗雅各布受伤倒地,比赛暂停
81'暂停结束,球员们重新开始比赛.
81'热刺球员埃里克森大禁区外尝试右脚射门,可惜皮球高出球门.
82'西布朗球员斯瑟格农大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是加德纳.
85'热刺换人,Son Heung-Min换下拉梅拉
86'西布朗球员斯瑟格农大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗莱彻.
88'沃克尔将球处理出底线,西布朗获得角球.
89'维尔通亨将球处理出底线,西布朗获得角球.
90'热刺换人,查德利换下Dele Alli
90'西布朗换人,桑德罗换下斯瑟格农
90'+3'麦考利将球处理出底线,热刺获得角球.
90'+3'隆东为西布朗在对方半场,赢得一个任意球.
90'+3'热刺球员维尔通亨拼抢犯规,对手获得控球权.
90'+4'西布朗球员C-道森拼抢犯规,对手获得控球权.
90'+4'凯恩为热刺在对方半场,赢得一个任意球.
90'+6'下半场结束,热刺 1-1 西布朗
 全场比赛结束,热刺 1-1 西布朗,谢谢各位收看新浪足球直播.
