14'目前巴萨还没有形成有威胁的进攻                   14'开场14分钟，苏亚雷斯左脚远射没有压住
35'mgx738209: 哈维失误太多---嗯，下半场上小白吧                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
36'赫塔菲打出了信心了                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
36'现在敢于压上                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
58'看梅西怎么处理                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
58'直接射门~~~                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
58'球在门前弹地之后被门将扑出了底线                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
58'战术角球                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
58'中路的防守太过密集了                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
60'阿尔维斯前场争抢犯规了                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
61'巴萨重新组织进攻                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
61'到了右边路                   58'第58分钟，梅西右路任意球低射被瓜伊塔倒地封出近门柱
64'阿尔巴到了底线，传中给到弧顶处                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
64'哈维半转身凌空抽射~球弹地之后偏出了门框范围                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
64'伊涅斯塔要准备登场了                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
65'赫塔菲反击来了~                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
65'阿尔瓦罗的传中打在马蒂厄的腿上出了底线                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
66'米歇尔的角球传向中路，被布斯克茨顶了一下                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
66'裁判鸣哨进攻方球员犯规了                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
66'萨尔比亚中场放倒了梅西                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
66'裁判掏出了黄牌                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
66'巴萨换下了拉基蒂奇                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
66'上来的是小白                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
67'巴萨中场传球出现了失误                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
67'拉菲塔~边路传中                   64'第64分钟，阿尔巴左路突破传中，哈维禁区边缘凌空打出弹地球偏出远门柱
69'伊涅斯塔突入了禁区~                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
69'传中被后卫顶到                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
69'哈维长传球分边，拉菲塔奋力将球顶出了边线                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
69'穆尼尔也在场边热身                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
70'佩德罗左路突破~                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
70'传中给了梅西，头球攻门顶高了                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
70'赫塔菲再次换人                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
70'换下了表现出色的拉菲塔                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
70'上来的是17号卡斯特罗                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
72'佩德罗半高球传向门前~~~                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
72'后卫倒地将球踢出了底线                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
72'哈维的角球传得挺高，皮克跃起没能抢到头球                   69'第69分钟，阿尔巴与佩德罗踢墙配合后传中，梅西头球高出
50'迷茫的人生78493 梅西打什么位置？---更像是前腰                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
50'哈维直塞梅西~突入了禁区！                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
51'在对方3名后卫的围抢下梅西没能获得射门机会                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
51'梅西又来了~~~                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
51'连续的摆脱过人，被放倒了                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
51'连拉带踢的                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
51'对方后卫为了防守梅西已经用光了所有的手段                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
52'巴萨不错的定位球机会                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
52'正好在弧顶靠后一点的位置                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
52'梅西自己来主罚                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
52'立柱~~~                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
52'梅西的射门打在了立柱上                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
52'门将是毫无反应                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
53'苏牙禁区内倚住后卫~转身射门被挡出了底线                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
53'巴萨的角球                   50'补时第5分钟，伊涅斯塔后场遭抢断，阿尔瓦罗单刀突入禁区，但就在此时，主裁判加里多鸣哨结束了比赛，赫塔费队员表示抗议，迭戈-卡斯特罗吃到黄牌
