1'上半场比赛开始啦！！                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
62'慢镜回放显示，卡瓦哈尔这个球有犯规的嫌疑！！                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
62'伊斯科前场左路拿球，横传给克罗斯                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
63'克罗斯转移球到右路给卡瓦哈尔                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
63'卡瓦哈尔直塞给贝尔，贝尔强突传中到后点                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
63'门德斯的回防，将球解围出边线！！                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
63'伊斯科左路拿球，回传给中间的克罗斯                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
83'贝尔插上倒地勾射，打在了边网上！！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
83'阿拉维斯的第三次换人：9号桑托斯上，换下8号卡马拉沙                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
84'达尼洛左路拿球，强突下底传中，被挡出边线                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
84'科瓦契奇禁区外围拿球，尝试远射，打偏！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
84'阿拉维斯前场失误，科瓦契奇抢断！！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
84'皇马的反击！！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
84'2-0，伊斯科！！！！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
85'这球可以说锁定了胜局！！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
86'科瓦契奇后场抢断，分球克罗斯，克罗斯再给C罗，C罗右路拿球强突，直塞给切入的伊斯科，伊斯科趟球下底，右脚小角度劲射打远角，破门！！                   83'第83分钟，卡瓦哈尔右路传中，贝尔远点小角度钩射击中近角立柱
88'贝尔的任意球轰门，越过人墙，击中横梁弹回，纳乔头球补射顶进！                   88'第88分钟，贝尔25码处任意球射门击中横梁弹回，纳乔近距离补射入网，3-0
89'巴斯克斯前场中路拿球，分球右侧给C罗                   88'第88分钟，贝尔25码处任意球射门击中横梁弹回，纳乔近距离补射入网，3-0
89'C罗强突下底，挑传到后点                   88'第88分钟，贝尔25码处任意球射门击中横梁弹回，纳乔近距离补射入网，3-0
89'贝尔插上没能拿到，球被后卫控制！！                   88'第88分钟，贝尔25码处任意球射门击中横梁弹回，纳乔近距离补射入网，3-0
89'阿拉维斯的反击，卡泰左路拿球，内切打门，打飞！                   88'第88分钟，贝尔25码处任意球射门击中横梁弹回，纳乔近距离补射入网，3-0
91'下半场比赛补时3分钟！！                   88'第88分钟，贝尔25码处任意球射门击中横梁弹回，纳乔近距离补射入网，3-0
