1'比赛开始了，希洪竞技开球                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
23'希洪马上组织反击，右侧给到了卡塞斯，外围一记冷射，被迪涅挡出                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
23'阿尔瓦雷斯前场反抢犯规                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
23'图兰后场得球，交给拉菲尼亚，中路在给戈麦斯                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
24'戈麦斯塞入禁区，苏神把球拿好                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
24'苏神在推到门前，球被梅尔解围                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
24'马蒂厄中场分给图兰，推进一下，在给马蒂厄，回敲布斯克茨                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
24'巴萨外围连续的倒脚，在给左侧迪涅，还是回敲                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
24'图兰脚下球被希洪断了                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
29'图兰大范围的一个挑传，前面苏神反越位了                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
29'苏神反越位杀到禁区内，单刀面对门将，挑过出击的卡夫雷拉，苏神轻推空门，打进                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
30'这个球希洪的防线出现集体短路，怎么能给苏神这种机会呢                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
30'内马尔左侧突破，撞墙过人，苏神最后的球还是给的稍大了一些                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
30'巴萨左侧交给图兰，分边找迪涅                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
30'在给到图兰，巴萨领先之后就好踢许多了，队员也放松了                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
31'迪涅交给图兰，大范围转移到皮克                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
31'右侧交给罗贝托，插上助攻，在给拉菲尼亚，回给戈麦斯                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
31'身后希洪的球员拼抢对戈麦斯犯规了                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
31'巴萨再入一球，拉菲尼亚                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
31'巴萨短时间内迅速爆发啊                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
32'中路内马尔一脚极具穿透力的直塞给到右肋，罗贝托助攻上来，送到门前拉菲尼亚前点俯身头球攻门得手                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
32'罗贝托和拉菲尼亚也是基情四射，拥抱在一起哈                   29'巴萨第29分钟打破僵局，图兰中场拦截后第一时间送出直传，反越位成功的苏亚雷斯闪过出击的门将奎拉尔后射入空门
46'上半场补时1分钟                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
46'内少中路转移，球被切断                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
46'阿尔瓦雷斯后场断下往前直塞一脚                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
47'球被马蒂厄反断下来，交给右侧拉菲尼亚                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
47'拉菲尼亚突破倒地了，裁判没有理会                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
47'布尔吉边路发动进攻，迪涅回防把球踢出边线                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
46'下半场开始，巴萨开球                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
46'巴萨给到图兰，左侧回给迪涅                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
46'后场横敲，在给罗贝托，出现了失误，出来边线                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
46'布尔吉左侧突破，下底被罗贝托挡出，角球                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
47'布尔吉，角球送到前点，被解围出来                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
47'希洪后场倒脚，门将卡夫雷拉大脚给到前方                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
47'中路罗德里格斯拿球，在给梅尔，边路交给同伴                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
48'巴萨逼抢很紧，只能回敲给卡夫雷拉                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
48'大脚向前，皮克顶了一下，罗贝托把球拿下来                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
48'中路交给戈麦斯，直塞找内少， 阿莫雷比埃塔铲抢断下                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
49'特尔施特根后场解围失误了                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
49'球直接给到对手脚下，希洪快攻，好在皮克出现在关键位置，把球挡出底线，弥补了门将的错误                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
49'左侧角球换成罗德里格斯来踢                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
49'开到禁区，被挡出                   46'希洪下半场第1分钟一度压制巴萨，梅内头球攻门被封堵，维克托禁区左侧的小角度射门被特尔施特根扑出
74'这场比赛劳拉是被祸害的不轻啊，这下巴萨更要打右路了                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
74'内少定位球传中，落点还不错，但被梅尔头球解围                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
74'希洪两球落后，还少打一人，基本是没戏了                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
75'巴萨后场控制，皮克给到图兰，在给内少                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
75'中路在给图兰，左侧迪涅拿一下，回给中路内少                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
75'内少横向突破被对方拉了一下，犯规                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
76'道格拉斯替补上来，换下罗德里格斯，希洪用完了换人名额                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
76'本来希洪是不想换后卫的，但劳拉的红牌只能是迫使主帅临时变化了                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
76'马蒂厄中路带球插上，分边给罗贝托，在给拉菲尼亚                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
77'回给中间，苏亚雷斯转移给左侧                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
77'迪涅在给内少，回敲到外围，戈麦斯搓起来                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
77'禁区内门将出来把球没收                   74'第74分钟，罗拉背后铲倒塞尔吉-罗贝托累计两张黄牌被罚下
88'丹尼斯-苏亚雷斯禁区前沿拿球，一记小斜线塞入禁区左肋，内少插上，面对门将，推射穿裆入网                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
88'苏亚雷斯替补上来也奉献助攻啦                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
88'希洪的主帅已经呆坐在了替补席上，没什么可说的了，只盼望尽快结束比赛吧                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
89'巴萨还在牢牢控制场面，阿尔卡塞尔禁区内把球护住                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
90'在敲给外围，内少踩着禁区线上的一脚打门，内脚背兜射远角，重重打在门柱上                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
90'内少和帽子戏法擦肩而过                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
90'替补席上，巴萨几个球员非常欢乐啊，尤其是拉基蒂奇，一直笑呵呵                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
90'下半场补时3分钟                   88'第88分钟，塞尔吉-罗贝托右路下底传中，无人防守的图兰小禁区边缘头球破门，4-0
92'巴萨继续进攻，戈麦斯中路得球，在给苏亚雷斯                   91'第91分钟，戈麦斯传球，内马尔禁区边缘内推射憾中右侧立柱险些上演帽子戏法
92'苏亚雷斯突入禁区，自己选择冷射，太正，被扑出                   91'第91分钟，戈麦斯传球，内马尔禁区边缘内推射憾中右侧立柱险些上演帽子戏法
92'希洪左路进攻，卡斯特罗突破出了边线                   91'第91分钟，戈麦斯传球，内马尔禁区边缘内推射憾中右侧立柱险些上演帽子戏法
93'巴萨左侧进攻，中路在给皮克，右路罗贝托上来                   91'第91分钟，戈麦斯传球，内马尔禁区边缘内推射憾中右侧立柱险些上演帽子戏法
93'拉菲尼亚接应，中路在给戈麦斯                   91'第91分钟，戈麦斯传球，内马尔禁区边缘内推射憾中右侧立柱险些上演帽子戏法
94'戈麦斯直塞找苏亚雷斯，被对方断下                   91'第91分钟，戈麦斯传球，内马尔禁区边缘内推射憾中右侧立柱险些上演帽子戏法
