4'1-0！！！                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
29'鲁尼这边跟进补射空门得分                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
29'但是汤姆-戴维斯禁区内头球的时候先越位了！！                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
29'给曼联的后防提了一个醒啊                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
38'拉什福德拿球给到禁区                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
38'卢卡库接球形成单刀                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
38'后卫这边干扰了一下                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
38'曼联这边获得角球机会                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
38'角球送前点                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
38'拜利的头球被后卫蹭了一下                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
38'曼联这边继续角球                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
39'角球这次给到了后点                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
39'威廉姆斯头球顶了一下                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
39'顶的不够远                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
39'费莱尼二点冲顶                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
39'没有顶进到球门里                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
41'鲁尼这边回撤到禁区前沿来防守                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
41'费莱尼中场拿球先回敲                   38'第38分钟，拉什福德直传，卢卡库禁区左肋的射门被加吉尔卡和出击的皮克福德联袂挡出
64'埃弗顿中场大范围转移                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
64'没有过顶                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
64'埃弗顿这边也换人                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
65'拉米雷斯被换上！！                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
66'埃弗顿这边信号也是很明确                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
66'就是想要取得进球                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
66'埃弗顿中场挑传出来                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
66'横向转移给到边路                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
67'鲁尼中路拿球给到左侧                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
67'西古德森起球送禁区                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
67'这球队友都是跑到了前点                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
67'西古德森这边给了一个后点                   64'第64分钟，马塔左路禁区边缘外任意球直接射门憾中近角立柱
84'2-0！！！                   83'曼联第83分钟扩大比分，威廉姆斯后场传球失误被费莱尼挡回，卢卡库斜传，姆希塔良10码处推射入网，2-0
85'姆希塔良！！                   83'曼联第83分钟扩大比分，威廉姆斯后场传球失误被费莱尼挡回，卢卡库斜传，姆希塔良10码处推射入网，2-0
90'曼联这边前场获得任意球                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
90'禁区线上                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
90'卢卡库任意球打门被挡下来                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
90'3-0！！！                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
90'卢卡库！！！                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
91'卢卡库任意球打门被后卫挡出，曼联左侧再传禁区，中路头球蹭一下到后点，卢卡库跟进推射近角破门！！                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
92'曼联这边获得点球机会！！！                   89'第89分钟，林加德任意球混战中头球摆渡，卢卡库小禁区右侧推射近角得手，3-0
92'曼联这边获得点球机会！！！                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
93'施奈德林禁区内铲球手碰到了皮球                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
93'马夏尔来主罚                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
93'马夏尔点球推射中路偏左，骗过了门将！！                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
93'4-0！！！                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
94'埃弗顿中场拿球                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
94'没有机会回做一下                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
94'埃弗顿边路拿球                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
94'时间上已经到了                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
94'裁判这边也是没有给更多的时间                   92'第92分钟，马夏尔突入禁区令施奈德林手球犯规，马夏尔点球低射入网，4-0
