11'多利拉传中，汪嵩回防把球断下！                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
47'上半场比赛结束！                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
48'双方上半场都没能把握住机会，0-0的比分                   48'第48分钟，王林右路传球至毅腾禁区后点，阿甘扫传门前被封堵
48'毅腾是上个赛季中甲第几名呢？[qiangda]                   48'第48分钟，王林右路传球至毅腾禁区后点，阿甘扫传门前被封堵
52'毅腾队刘小龙倒在了地上，很痛苦的样子                   51'第51分钟，拉蒙禁区前摆脱低射打偏
53'慢镜头回放是和曹海清争夺位置的过程中有碰撞                   51'第51分钟，拉蒙禁区前摆脱低射打偏
60'球没能打上高度，直接被绿城断下打反击                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
60'但是前场被抢断，毅腾队的反击！                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
60'毅腾前场直塞，多利单刀赴会！！                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
60'这次冷静了！冷静的一脚推射！                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
61'破门得分！                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
61'毅腾队率先打破僵局                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
61'DL蓝天海2012 :今年看的最精彩的比赛，是鲁能主场对浦项。打得激烈，节奏快，质量高。                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
61'有没有哈尔滨球迷~[qiangda]                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
62'绿城换人，陈中流被换下 换上罗竞                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
63'绿城前场右路传中！门将高高跃起！                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
63'但是没能争到球                   60'第60分钟，毅腾取得入球――毅腾获得前场右侧任意球，但传球被绿城断下，而阿甘快速反击又被毅腾防线阻断；毅腾再起快速冲击，罗德瑞格中路直塞助多利形成单刀，多利冲入禁区面对顾超施射破门，毅腾1-0领先
62'绿城换人，陈中流被换下 换上罗竞                   62'绿城明显加快了冲击节奏，第62分钟，汪嵩右路大力斜传稍稍偏出远门柱，而拉蒙门前争顶时冲撞韩方腾犯规
63'绿城前场右路传中！门将高高跃起！                   62'绿城明显加快了冲击节奏，第62分钟，汪嵩右路大力斜传稍稍偏出远门柱，而拉蒙门前争顶时冲撞韩方腾犯规
63'但是没能争到球                   62'绿城明显加快了冲击节奏，第62分钟，汪嵩右路大力斜传稍稍偏出远门柱，而拉蒙门前争顶时冲撞韩方腾犯规
64'慢动作显示是拉蒙冲撞门将犯规                   62'绿城明显加快了冲击节奏，第62分钟，汪嵩右路大力斜传稍稍偏出远门柱，而拉蒙门前争顶时冲撞韩方腾犯规
64'毅腾门球没开出来，绿城反击，挑传禁区，门将出击把球挡出                   62'绿城明显加快了冲击节奏，第62分钟，汪嵩右路大力斜传稍稍偏出远门柱，而拉蒙门前争顶时冲撞韩方腾犯规
65'绿城继续组织进攻，倒脚寻找机会                   62'绿城明显加快了冲击节奏，第62分钟，汪嵩右路大力斜传稍稍偏出远门柱，而拉蒙门前争顶时冲撞韩方腾犯规
68'绿城前场倒脚                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
69'拉蒙禁区内接传球转身射门！                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
69'球直奔死角！                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
69'进球！1-1！                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
69'这球汪嵩的助攻很关键，妙传啊真是                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
70'当才子已27年 :琪琪辛苦了，连播两场！支持你！我们球迷看着都心疼！看来哈尔滨有望拿下加盟中超来的第一分，甚至是第一场胜利！琪琪是幸运星！~————谢谢哦~                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
70'Bosco-Tam :琪琪！场面上来看！主队能叛平吗！————已经扳平！                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
70'其实两队都有机会，就看哪支球队更能把握住                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
71'王远强 :琪琪，给个新浪公仔礼物呗，一直支持新浪直播间————这个要和领导申请哦~                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
71'绿城前场组织，球传进禁区就被破坏                   68'第68分钟，绿城扳平比分――绿城前场持续控球后突然由汪嵩直塞禁区，拉蒙点球点附近低射攻破球门下角，比分变为1-1
76'毅腾反击中一脚射门，但是没能打上力量，被扑下来 来自罗德瑞格的射门                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
76'罗德瑞格前场右路拿球突破，被犯规！前场任意球的机会                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
77'起球开到禁区，被门将高高跃起没收！                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
77'下半场比赛来到75分钟，双方是否还有机会改写比分呢?[qiangda]                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
78'用户cierhotkll :愿哈尔滨早拿中超第一分，一群年轻人这么差条件下不容易啊，都是踢球的和别的队待遇不能比，可怜啊，继续加油————得靠自己争取！每年升班马都不容易啊                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
78'毅腾队前场没有机会，耐心组织进攻                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
79'分给左路，传中！被挡出。。                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
79'拼抢中毅腾队员被吹了犯规                   76'此后毅腾也连获前场任意球，第76分钟，韩德明外围低射被顾超没收
86'这个时间点丢球很尴尬啊，毅腾能否扳回来呢[qiangda]                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
87'裁判给了许东一张黄牌，本来是要给别的队员的，许东上去一直劝裁判，最后裁判把黄牌给了许东！                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
88'绿城队拿球后就在中后场倒脚了，控制时间                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
88'绿城中场断球，长传禁区！                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
89'被门将把球没收！                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
89'比赛来到88分钟                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
89'毅腾现在显得比较急躁，很拿不住球                   86'第86分钟，卜鑫冲入绿城禁区左侧后在冯刚铲球动作下腾空摔倒，毅腾认为应有点球但裁判未理会，许东还领到黄牌
