1'随着主裁判一声哨响，上半场比赛开始                   1'绿城队第1分钟便占据优势
15'力帆前场倒球再次出现失误                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
15'陈柏良长传球，找到前场加比奥内塔，双人包夹，球出了边线，力帆球权                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
16'王栋利用速度突破，扣一下，被防守球员识破，断掉                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
16'陈柏良禁区前沿带球，横传，被断掉                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
16'王栋利用速度突破，扣一下，被防守球员识破，断掉                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
16'陈柏良禁区前沿带球，横传，被断掉                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
17'力帆再次打身后球，找费尔南多，费尔南多边路拿球                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
17'一对一，连续晃动，分球中路王栋，再给边路丁捷，传中找吉利奥蒂，被解围出来                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
18'陈柏良带球过来，直塞球找插上的冯刚，球传的力量稍稍有点大                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
18'费尔南多利用速度强突，不过自己将球带丢了                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
19'绿城前场出现小范围配合失误，力帆将球控制住                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
19'绿城前场逼抢                   16'第16分钟力帆打出反击，老将王栋带球沿边线切入禁区，可惜假动作晃动时没有处理好，被后卫破坏
30'力帆禁区前沿任意球，好机会呀                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
30'费尔南多和王栋站在球前，看看谁来主罚                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
30'王栋直接一脚打门，打高了，哎呀                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
30'张磊大脚开出来                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
31'绿城中场控制球                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
31'力帆中场有人倒地，是王栋                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
31'裁判过来询问了一下，没事                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
32'曹海清中场拿球，给到边路葛振，再给中路加比奥内塔，球被防守球员踢出界外                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
33'葛振边路拿球，诶的加比奥内塔，边路突破，脚底打滑，直接将球踢出界外                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
33'上半场来到了32分钟                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
33'力帆大脚球，找费尔南多，第一点被绿城球员拿到                   30'第30分钟力帆队获得禁区前沿任意球机会，费尔南多和王栋站在球前，王栋起脚直接轰门打高
44'王栋中场拿球，给到边路刘宇，给到禁区的吉利奥蒂，起脚打门，球被解围出来                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
44'力帆后场控球                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
44'长传球，找吉利奥蒂，机会不好，被防守球员拿住，大脚解围出来                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
45'还是长传球找王栋，头球一顶，力量大了，出界                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'冯刚中路拿球，没太好机会，传到后场                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'上半场补时1分钟                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'绿城慢慢控球，感觉消耗时间结束上半场                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'主裁判吹响了上半场结束的哨音                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'双方上半场0比0互交白卷                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'上半场前半段，双方进攻打的有声有色，后半段打的稍显沉闷                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'让我们稍事休息，一会一起看双方下半场的比赛把                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'好的下半场比赛正式开始                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'力帆率先进攻                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'长传球找到吉利奥蒂，被解围出来                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'力帆后场倒球，再次突然的长传球，被拦截                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'曹海清往前带球，给到陈柏良，没机会，回到后场                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'边路进攻，传球，球被防守球员碰出界外                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'力帆球员进攻                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'王栋拿球，给到费尔南多，往禁区传，找到维埃拉，起脚打门，被防守球员挡出                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'角球机会                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
46'角球开出来，后点，王维成拿球，给到费尔南多，被破坏出了                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'最后1分钟时间                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'力帆界外球开出来，被顶出界外                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'进球了！！！！！！！！                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
47'最后时刻的绝杀                   44'第44分钟，王栋中场拿球给到边路刘宇，再给到禁区里的吉利奥蒂，后者转身起脚打门，球被解围出来
56'yyllmeimei 绿城和力帆水平相当，绿场主场有优势。---------是的                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
53'绿城前场定位球，后点，无人争抢到，球直接出了底线                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
53'邓小飞大脚开出来，球被绿城球员碰出界外                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
53'吴庆中场拿球，给到边路丁捷，传球力量过大，出界                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
54'力帆前场进攻，吴庆带球过来，突破，裁判吹了赵宇豪禁区外的的手球                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
54'力帆取得前场任意球机会                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
54'这球就在禁区前沿，力帆好机会                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
55'又是费尔南多和王栋站在球前                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
55'又是王栋的射门，球打到门前，球被张磊碰出界外，角球                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
56'角球开出来，前点，米罗维奇头球，顶偏了，球出了底线                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
56'绿城这边换人了，罗竞换下了陈柏良                   53'第53分钟老将吴庆外围远射，赵宇豪飞铲封堵时手球犯规，王栋主罚绕任意球过人墙后奔向近角，张磊奋力将球扑出底线
65'费尔南多拿球，转身过掉防守人，传到吉利奥蒂，再给费尔南多，球被张磊抱住                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
65' 绿城前场小配合，阿甘禁区内拿球，突破过掉2人，小角度射门，球被邓小飞抱住                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
65'这球是全场最后的射门机会了                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
66'王栋中场拿球，没机会，给到后场组织                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
66'直塞球找王栋，分边路，吴庆，内切球，摔倒了，裁判没有表示                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
66'阿甘边路拿球进攻，一对一面对米罗维奇，直接断掉                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
67'米罗维奇分球费尔南多，被解围过来                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
67'球重新来到费尔南多脚下，突破，球被断走                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
67'又是阿甘的边路进攻，分球曹海清，再给禁区前沿的陈中流，球没停好                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
68'力帆大脚，找到吉利奥蒂，再给费尔南多，2过2配合，费尔南多起脚传中，吉利奥蒂头球一顶，球被张磊双拳击出                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
68'阿甘又是边路突破，面对2人，传出来                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
68'阿甘这段时间非常活跃，费尔南多也是                   65'第65分钟阿甘边路突破入禁区，一脚劲射被邓小飞扑出
71'又是绿城前场的进攻                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
71'卡希尔拿球，被吴庆破坏出界                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
71'罗竞往禁区里传找到冯刚，射门，被邓小飞扑出来，罗竞补射，竟然打高了，这个是个好机会呀                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
72'力帆前场争抢中，将球碰出界外                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
72'绿城进球后，士气大涨呀，攻势一波接着一波                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
72'曹海清背后拉人犯规了                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
72'裁判准备出示黄牌                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
72'裁判还是对曹海清出示了黄牌                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
73'吴庆同样被出手了一张黄牌                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
73'长传球，找费尔南多，被拦截                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
73'快速进攻，找阿甘，球被米罗维奇拿住                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
73'看看这段时间力帆怎样调整把                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
74'吴庆中路拿球，给到徐洋，再给边路丁捷，往禁区传，球被防守球员顶出界外                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
74'绿城后场断球，反击gogogo                   71'第71分钟冯刚禁区内转身摆脱防守后一脚捅射被邓小飞用脚挡出，后点罗竞面对空门却发力过猛将球打高
75'卡希尔往禁区里传，又是冯刚，头球，被门将挡出                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
75'角球机会，又是冯刚，这段时间非常活跃                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
75'角球开出来，前点，力帆球员拿到                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
75'吴庆前场拿球，卡希尔回防将球断球，吴庆反抢，将球碰出边线                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
76'张磊大脚开出来，直接出了边线                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
77'王栋中场往禁区里传，禁区一片混乱                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
77'裁判哨响，吹了攻方禁区犯规                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
78'张磊大脚开出来，力帆球员将球碰出边线                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
78'卡希尔角旗附近拿球，2人包夹，球被破坏出界，还是绿城球权                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
78'界外球发出来，裁判哨响，曹海清犯规了                   75'第75分钟卡希尔斜传禁区，又是冯刚的头球攻门被门将挡出
46'冯刚中路拿球，没太好机会，传到后场                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'上半场补时1分钟                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'绿城慢慢控球，感觉消耗时间结束上半场                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'主裁判吹响了上半场结束的哨音                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'双方上半场0比0互交白卷                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'上半场前半段，双方进攻打的有声有色，后半段打的稍显沉闷                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'让我们稍事休息，一会一起看双方下半场的比赛把                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
48'神牛船长 蓝胖，我是斧王，咱两配合杀穿近卫下路如何？------------可以我FG                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
49'来来微博关注一波，我的新浪微博Richardson_恒                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'好的下半场比赛正式开始                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'力帆率先进攻                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'长传球找到吉利奥蒂，被解围出来                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'力帆后场倒球，再次突然的长传球，被拦截                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'曹海清往前带球，给到陈柏良，没机会，回到后场                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'边路进攻，传球，球被防守球员碰出界外                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
48'加比奥内塔前场停球没停好，吴庆将球断下，加比奥内塔反抢，犯规了                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
48'力帆后场传球失误                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
49'加比奥内塔断球，往前带一步，直接起脚远射，高射炮了                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
49'张磊大脚开出来，中场争顶                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
49'绿城拿球                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'力帆球员进攻                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'王栋拿球，给到费尔南多，往禁区传，找到维埃拉，起脚打门，被防守球员挡出                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'角球机会                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
46'角球开出来，后点，王维成拿球，给到费尔南多，被破坏出了                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'最后1分钟时间                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'力帆界外球开出来，被顶出界外                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'进球了！！！！！！！！                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
47'最后时刻的绝杀                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
48'王栋往禁区里传，彭欣力头球攻门，球进                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
48'主裁判吹响了全场比赛结束的哨音                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
48'这比赛精彩呀                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
49'力帆最后时刻扳平比分，彭欣力替补登场救主，表现出色                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
49'好了本场比赛就为大家直播到这里，我们下次再见                   46'1分钟后刘宇外围传中，维埃拉颇具威胁的头球攻门再一次被张磊神勇扑出
90'常规时间最后1分钟                   90'最终经过90分钟激战，杭州绿城主场1-1战平重庆力帆
90'曹海清大脚给到边路卡希尔，两人包夹，转身，裁判哨响，吹了刘宇犯规                   90'最终经过90分钟激战，杭州绿城主场1-1战平重庆力帆
90'冯刚给到卡希尔，转身，球再次被破坏出界                   90'最终经过90分钟激战，杭州绿城主场1-1战平重庆力帆
90'卡希尔拿球，又是被包夹，球出界了，力帆球权                   90'最终经过90分钟激战，杭州绿城主场1-1战平重庆力帆
91'全场补时3分钟                   90'最终经过90分钟激战，杭州绿城主场1-1战平重庆力帆
