1'上半场比赛开始！                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
14'泰达双人包夹一个关门将球拦截                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
14'泰达队这边打得有点小                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
14'双方在前场的逼抢都很凶                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
14'巴尔克斯禁区外围尝试一脚将球打高了                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
16'普拉利甘吉底线带球出来被铲了一下                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
16'连续对抗国安队三人的防守                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
16'国安队进球了！！                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
16'德扬！！                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
17'巴塔拉前场拿球送直塞给到德扬，德扬边路接球后内切到了禁区内，连晃两人后直接打近角破门！                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
17'这脚打门稍微有些意外                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
18'泰达前场断球了                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
18'送直塞到禁区前沿被破坏                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
18'巴塔拉中场停球后被拉倒                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
18'任意球发出来                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
18'巴塔拉传球找陈志钊                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
18'陈志钊停球停大了                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
19'于大宝左路拿球往禁区中路送                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
19'德扬这边准备转身有被拉拽的嫌疑                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
19'马季奇禁区弧顶拿球给到边路                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
19'巴塔拉底线拿球没有传中的机会                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
19'底线附近，国安队获得角球机会                   16'第16分钟，国安取得入球――河大成后场抢断发动快攻，巴塔拉将球分到左路，德扬内切连过两人后大力劲射破门
30'泰达右路做撞墙配合                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
30'双方有身体接触，裁判并没有吹停比赛                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
31'陈志钊禁区内底线横敲回来                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
31'泰达前点将球拦截下来                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
31'赵和靖前场突然上抢造了对方犯规                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
31'国安队前场左路的任意球机会                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
32'任意球送中路                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
32'德扬头球后蹭没有顶上力量                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'河大成中场控球，没有往前的机会                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'于大宝中路拉球被断                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'泰达的机会                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'巴尔克斯禁区前沿拿球犹豫了                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'赵和靖回防将球捅了一下                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'国安队前场送直塞带禁区内                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
33'德扬前插的时候先越位了                   30'第30分钟，巴尔克斯左路一对二强突后横敲，安德烈齐尼奥禁区前摆脱攻门被徐云龙补防封堵
35'想打近角结果是打偏了                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
35'这球也是比较的可惜                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
35'陈志钊右路起球送中路找德扬                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
36'对方后卫先出一头将球解围                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
36'马季奇中场拿球也是造到凶狠的对抗                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
36'河大成这边中场受伤倒地了                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
36'比赛还在继续                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
36'巴塔拉回防将球断下                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
37'安德烈齐尼奥中场的突破左肘打在河大成的脸上                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
37'河大成这边问题也不大                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
38'泰达右路起球送禁区内                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
38'杨智直接将球摘到                   35'第35分钟，安德烈齐尼奥妙传国安禁区左侧，胡人天快速斜插面对杨智小角度攻门将球打偏
42'国安队任意球开出来                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
42'泰达队将球破坏                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
42'胡人天这边有反击的机会                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
42'速度上被超车，最后是拉人犯规                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
43'国安队左路带球突破又是一个任意球机会                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
43'巴塔拉任意球送中路                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
43'巴尔克斯头球点了出来                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
43'泰达的反击机会                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
44'中路的直塞稍微短了一点                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
44'杨智快冲到中圈附近将球解围                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
44'这球也是比较有威胁的                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
45'泰达球员中场停球的时候先手球了                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
45'上半场补时2分钟！                   42'第42分钟，周海滨拼抢中踢倒巴塔拉，领到黄牌
47'马季奇禁区外围打脚远射                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
47'这球也是打偏了                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
47'德扬左路跟队友撞墙配合到禁区内                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
48'最后的一传被后卫铲出底线                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
48'国安队角球送前点被顶出                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
47'德扬底线拿球回敲到禁区前沿                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
47'马季奇突然插上拿球被对方铲倒                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
47'国安队获得一个位置不错的任意球机会                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
47'巴塔拉来主罚                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
48'巴塔拉任意球转远端                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
48'杜佳飞身将球扑了出去                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
48'陈志钊右路突破被卡住身位                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
49'国安队在前场险些将球抢断下来                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
49'最后泰达的传球自己失误了                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
50'下半场开始后，两队打得比较谨慎                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
50'泰达中场拿球给身后                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
50'郎征这边补防将球拦截                   47'第47分钟，马季奇禁区前快速前插造成周海滨铲人犯规；巴塔拉弧线球攻门被杜佳飞身扑出
64'王秋明中场接球后挑球过人                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
64'边路的突破最后被郎征滑铲拦截                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
65'巴尔克斯这边得到一张黄牌！                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
65'徐云龙滑铲的时候被巴尔克斯踩到了小腿上                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
65'雷腾龙要准备上了！！                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
65'国安的球迷已经很久没有看到他了                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
66'国安队将球转移到了左路                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
66'德扬禁区内变向没有过去                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
67'国安队这边获得角球机会                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
67'角球打了一个战术                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
67'左路的传球送后点                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
67'德扬头球摆渡下来被解围                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
67'国安队右路再传禁区内                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
67'后点，于大宝停球后扫射被门将挡了出去                   64'第64分钟，巴尔克斯前场拼抢中有踩踏徐云龙腿部的动作，领到黄牌
69'郎征的伤腿一直在坚持                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
69'陈志钊右路带球突破赢得角球                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
70'角球送中路被后卫顶了一下                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
70'球还没有出禁区                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
70'2-0！！                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
71'泰达球员这边投诉说越位                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
71'角球送禁区内，泰达后卫头球顶下来，马季奇小角度横扫到门前，巴塔拉推射空门破门！                   69'第69分钟，此战状态出色的德扬连续以穿裆过人摆脱卢卡斯、郭皓，陈志钊为国安赢得角球，国安就此扩大比分――角球传中后双方在禁区中路连续争顶，刚刚替补出场的雷腾龙将球顶到禁区右侧，马季奇底线前传中穿越杜佳，门前接应的巴塔拉轻松垫射破门
85'宋博轩底线传球回来                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
85'德扬禁区内抽射将球打高                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
86'泰达禁区内单刀被杨智扑了出去！！                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
86'巴尔克斯挑传送禁区内，周海滨停球后形成单刀，弹射一脚被杨智扑了出去！！                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
86'杨智这球神了                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
87'3-0！！                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
87'邵佳一！！！                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
88'国安队后场长传送到前场，邵佳一突然杀出来形成单刀，禁区内面对出击的门将捅射破门！                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
88'河大成禁区内又有机会                   85'第85分钟，巴尔克斯挑传国安禁区策动威胁攻势，周海滨反越位前插后右脚停球并快速弹射，杨智做出精彩扑救将球封出
