1'上半场比赛开始！                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
73'之前拉米斯也是得到一张黄牌！                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
73'5-0！！                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
74'苏亚雷斯倒钩打门球进！                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
74'巴萨长传打到底线，阿德里亚诺将球打了回来，苏亚雷斯稍作调整倒钩打门将球打进！                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
75'莱万特这边也是将伊万-洛佩兹换下场                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
75'巴萨左路带球进攻被断                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
75'莱万特这边反击也是被巴萨拦截了一下                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
76'全场比赛已经75分钟了，场上的比分是巴萨5-0领先莱万特                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
76'比赛的悬念已经没有了                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
76'现在就看看莱万特能不能打进一球                   73'第73分钟，阿德里亚诺禁区左侧传中，苏亚雷斯10码处侧身倒钩破门，马里尼奥毫无反应，5-0
