1'主裁判哨响，上半场开始了                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
26'找到伊斯科，，挑传左侧再给桑切斯                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
27'低球斜传，，，中圈附近，伊斯科得球                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
27'压到中圈前沿，，分右路桑切斯                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
27'斜传左路给阿森西奥，，杀到底线                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
27'在回敲，，禁区前沿                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
27'中央陆军拼抢，犯规了                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
27'裁判哨响，，给了皇马一个禁区前沿位置极佳的定位球                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
32'阿森西奥拿球，再来2过1配合                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
32'杀到禁区中路，阿森西奥右脚的射门                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
32'阿金费耶夫把球没收                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
33'大脚开出来，前场右路，头球的争顶                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
33'，中央陆军的角球机会                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
33'右侧战术角球，给比斯特洛维奇                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
33'传中，，被挡出底线，继续角球                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
34'右侧，，开出来，小禁区前沿，，被头球解围                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'中央陆军前场右侧给贝考                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'面对防守，，横敲，小禁区前沿                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'第一点还是被解围                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'外围左侧伊斯科拿球，转移给右侧                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'拼抢，中央陆军把球断下                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'低球斜传，比斯特洛维奇得球                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
35'向前一记直塞球                   32'第32分钟，阿森西奥连续同维尼修斯和本泽马踢墙配合，但12码处的射门却正送入门将怀中
43'皇马战术角球，右侧在送入禁区                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
43'被解围出来，外围拼抢，球出了界外                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
43'中央陆军右侧界外球                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
43'给出来，，大力向前                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
43'右路低球斜传，，，禁区内贝考跟进                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
43'右肋下底，，传中。。。被挡了一下                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
44'禁区内左侧，斯琴尼科夫跟上，凌空推射，，有了                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
44'中央陆军，再次进球。。扩大了领先，真是谁也未曾想到啊                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
44'中央陆军上半场不占优势，但是在尾声阶段连下两城                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
45'前场右侧，贝考杀到了禁区里右侧底线！！一脚传中球！皮球被防守球员一挡！！！禁区里左侧！！什琴尼克夫左脚推射球门右侧                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
45'中央陆军在伯纳乌，2球领先着皇马                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
45'库尔图瓦后场拿球，大脚向前                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
45'外围右路拼抢                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
45'中央陆军得球，分前场中路贝考                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'分右侧的费尔南德斯，，，杀到禁区外                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'一个直塞球，，，送到门前                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'被防守队员解围出了边线                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'.裁判哨响， 上半场结束                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'上半场没给补时啊                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'下半场比赛开始了                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'皇马开球，给右侧，奥德利奥索拉                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'中路交给桑切斯                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'分身前左侧给维尼休斯                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'对手铲抢，犯规了                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'左侧皇马定位球                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'转移右路找奥德利奥索拉                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'在转左路，，被对手断下了                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
46'中央陆军的长传进攻                   43'莫斯科中央陆军第43分钟扩大优势，马里奥-费尔南德斯同查洛夫踢墙配合后突入禁区右侧小角度射门被库尔图瓦用腿挡出，申尼科夫小禁区前凌空垫射右下角入网，2-0
73'中央陆军的角球                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
73'左侧开起来，，到小禁区                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
73'巴尔韦德头球，解围出来                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
73'外围中路的拼抢，争顶高空球                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
73'分大禁区外右侧                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
73'斯琴尼科夫得球，回敲身后                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
73'费尔南德斯的传中球                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
74'禁区右肋贝考插上，回敲给弗拉西奇                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
74'拨给到西古德森，外围一记远射，百步穿杨啊。。。。有了                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
75'中央陆军这是要客场大捷啊                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
75'弗拉西奇回敲给到禁区线上的西古德森，，后者不假思索，跟上就射，把球打进                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'左侧伊斯科拿球，带到前场                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'左侧分维尼休斯，，回敲，被破坏了                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'双方中线拼抢，，皇马撞人犯规了                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'中央陆军定位球，给右侧的纳巴布金                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'低球斜传，前场右侧，中央陆军拿球                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'皇马上抢，，把球踢了一下。                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
76'中圈附近，中央陆军拿球，分前场左侧                   73'莫斯科中央陆军第73分钟锁定胜局，弗拉西奇回传，西古德森禁区边缘射入左下角，3-0
