4'富勒姆球员德贾加大禁区右侧右脚射门,被防守球员封堵.给他传球的是罗达莱加.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
19'曼联球员鲁尼大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是范佩西.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
21'卡拉古尼斯为富勒姆赢得一个任意球.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
21'曼联球员纳尼拼抢犯规,对手获得控球权.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
22'富勒姆球员达夫拼抢犯规,对手获得控球权.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
22'克莱维利为曼联在对方半场,赢得一个任意球.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
43'里瑟将球处理出底线,曼联获得角球.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
43'暂停结束,球员们重新开始比赛.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
43'射门!!!曼联球员范佩西大禁区外左脚射门,被对方守门员横身扑出.给他传球的是克莱维利.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
45'+2'上半场结束,富勒姆 0-0 曼联,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
45'富勒姆换人,休斯上,汉格兰德因伤下场.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
46'卡拉古尼斯为富勒姆在对方半场,赢得一个任意球.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
46'曼联球员范佩西拼抢犯规,对手获得控球权.                   43'第43分钟，比赛场地照明灯光突然熄灭，球场停电，看台应急灯亮起，双方球员在场边等候片刻，裁判同双方协商退回更衣室
45'+2'上半场结束,富勒姆 0-0 曼联,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，克莱维利传球，范佩西20码处劲射被施瓦泽没收
45'富勒姆换人,休斯上,汉格兰德因伤下场.                   44'第44分钟，克莱维利传球，范佩西20码处劲射被施瓦泽没收
46'卡拉古尼斯为富勒姆在对方半场,赢得一个任意球.                   44'第44分钟，克莱维利传球，范佩西20码处劲射被施瓦泽没收
46'曼联球员范佩西拼抢犯规,对手获得控球权.                   44'第44分钟，克莱维利传球，范佩西20码处劲射被施瓦泽没收
48'富勒姆球员贝尔德一脚直塞球给德贾加,但是边裁举旗显示后者已经越位.                   48'第48分钟，纳尼左路传中，范佩西8码处缺乏力量和角度的头球攻门被施瓦泽摘下
49'射门!!!曼联球员范佩西大禁区中央头球,被对方守门员横身扑出.给他传球的是纳尼.                   48'第48分钟，纳尼左路传中，范佩西8码处缺乏力量和角度的头球攻门被施瓦泽摘下
49'里瑟为富勒姆在左路,赢得一个任意球.                   48'第48分钟，纳尼左路传中，范佩西8码处缺乏力量和角度的头球攻门被施瓦泽摘下
49'曼联球员拉斐尔拼抢犯规,对手获得控球权.                   48'第48分钟，纳尼左路传中，范佩西8码处缺乏力量和角度的头球攻门被施瓦泽摘下
51'富勒姆球员德贾加手球犯规,对手获得球权.                   48'第48分钟，纳尼左路传中，范佩西8码处缺乏力量和角度的头球攻门被施瓦泽摘下
56'曼联球员拉斐尔大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是鲁尼.                   56'第56分钟，鲁尼传球，拉斐尔禁区弧顶外左脚射门偏出左上角
58'曼联球员卡里克一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   56'第56分钟，鲁尼传球，拉斐尔禁区弧顶外左脚射门偏出左上角
66'曼联换人,埃尔南德斯换下瓦伦西亚                   66'第66分钟，拜尔德禁区前对瓦伦西亚犯规被罚黄牌，范佩西25码处任意球射门被没收
67'射门!!!曼联球员范佩西大禁区外左脚射门,被对方守门员横身扑出.给他传球的是鲁尼.                   66'第66分钟，拜尔德禁区前对瓦伦西亚犯规被罚黄牌，范佩西25码处任意球射门被没收
67'富勒姆球员贝尔德拼抢犯规,对手获得控球权.                   66'第66分钟，拜尔德禁区前对瓦伦西亚犯规被罚黄牌，范佩西25码处任意球射门被没收
67'范佩西为曼联在对方半场,赢得一个任意球.                   66'第66分钟，拜尔德禁区前对瓦伦西亚犯规被罚黄牌，范佩西25码处任意球射门被没收
68'富勒姆换人,埃马纽尔森换下卡拉古尼斯                   66'第66分钟，拜尔德禁区前对瓦伦西亚犯规被罚黄牌，范佩西25码处任意球射门被没收
69'里瑟将球处理出底线,曼联获得角球.                   66'第66分钟，拜尔德禁区前对瓦伦西亚犯规被罚黄牌，范佩西25码处任意球射门被没收
71'射门!!!富勒姆球员里特大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是德贾加.                   71'第71分钟，德贾加传球，里德尔禁区右侧的射门又被德赫亚扑出，但布莱恩-鲁伊斯补射打偏
71'富勒姆球员鲁伊斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   71'第71分钟，德贾加传球，里德尔禁区右侧的射门又被德赫亚扑出，但布莱恩-鲁伊斯补射打偏
75'曼联换人,吉格斯换下克莱维利                   73'第73分钟，埃尔南德斯14码处凌空抽射打空
76'埃文斯将球处理出底线,富勒姆获得角球.                   73'第73分钟，埃尔南德斯14码处凌空抽射打空
77'富勒姆球员鲁伊斯球门线跟前头球,被防守球员封堵.给他传球的是贝尔德.                   77'第77分钟，达夫开出角球，拜尔德头球摆渡，布莱恩-鲁伊斯小禁区边缘头球攻门被拉斐尔在门线前救出
77'鲁伊斯为富勒姆在对方半场,赢得一个任意球.                   77'第77分钟，达夫开出角球，拜尔德头球摆渡，布莱恩-鲁伊斯小禁区边缘头球攻门被拉斐尔在门线前救出
77'曼联球员埃文斯拼抢犯规,对手获得控球权.                   77'第77分钟，达夫开出角球，拜尔德头球摆渡，布莱恩-鲁伊斯小禁区边缘头球攻门被拉斐尔在门线前救出
78'富勒姆球员贝尔德大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是罗达莱加,后者的直接任意球差点形成助攻.                   77'第77分钟，达夫开出角球，拜尔德头球摆渡，布莱恩-鲁伊斯小禁区边缘头球攻门被拉斐尔在门线前救出
79'进球啦！！！曼联球员鲁尼大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是埃文斯. 富勒姆 0-1 曼联.                   77'第77分钟，达夫开出角球，拜尔德头球摆渡，布莱恩-鲁伊斯小禁区边缘头球攻门被拉斐尔在门线前救出
80'曼联球员卡里克一脚直塞球给埃尔南德斯,但是边裁举旗显示后者已经越位.                   77'第77分钟，达夫开出角球，拜尔德头球摆渡，布莱恩-鲁伊斯小禁区边缘头球攻门被拉斐尔在门线前救出
79'进球啦！！！曼联球员鲁尼大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是埃文斯. 富勒姆 0-1 曼联.                   79'曼联第79分钟打破僵局，埃文斯长传，鲁尼突入禁区左侧12码处射入远角，阿隆-休斯未能封堵皮球
80'曼联球员卡里克一脚直塞球给埃尔南德斯,但是边裁举旗显示后者已经越位.                   79'曼联第79分钟打破僵局，埃文斯长传，鲁尼突入禁区左侧12码处射入远角，阿隆-休斯未能封堵皮球
81'费迪南德将球处理出底线,富勒姆获得角球.                   79'曼联第79分钟打破僵局，埃文斯长传，鲁尼突入禁区左侧12码处射入远角，阿隆-休斯未能封堵皮球
81'富勒姆球员罗达莱加大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是达夫.                   79'曼联第79分钟打破僵局，埃文斯长传，鲁尼突入禁区左侧12码处射入远角，阿隆-休斯未能封堵皮球
82'富勒姆换人,佩特里奇换下德贾加                   79'曼联第79分钟打破僵局，埃文斯长传，鲁尼突入禁区左侧12码处射入远角，阿隆-休斯未能封堵皮球
83'曼联球员纳尼一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   83'第83分钟，鲁尼斜传，纳尼禁区右侧头球摆渡，无人防守的范佩西10码处凌空扫射高出
84'曼联换人,维尔贝克换下纳尼                   83'第83分钟，鲁尼斜传，纳尼禁区右侧头球摆渡，无人防守的范佩西10码处凌空扫射高出
85'富勒姆球员埃马纽尔森拼抢犯规,对手获得控球权.                   83'第83分钟，鲁尼斜传，纳尼禁区右侧头球摆渡，无人防守的范佩西10码处凌空扫射高出
85'埃尔南德斯为曼联在右路,赢得一个任意球.                   83'第83分钟，鲁尼斜传，纳尼禁区右侧头球摆渡，无人防守的范佩西10码处凌空扫射高出
