5'鲁能泰山队右路进攻到中场，对方犯规                   5'开场5分钟，山东鲁能错失得分良机
35'蒿俊闵开角球到禁区内，程月磊托了一下，从另一侧出边线                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
35'界外球发出来，吴兴涵右路下底横传，被挡出底线                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
36'鲁能泰山队继续角球机会                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
36'蒿俊闵发角球到禁区内，吉尔头球顶门，被程月磊打出来，塔尔德利底线回传，吉尔再次头球顶门，程月磊打出底线                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
37'蒿俊闵再发角球到禁区内，阿洛伊西奥打门，被挡出底线                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
37'鲁能泰山队继续角球                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
37'角球发到后点，戴琳头球顶门，顶高啦！                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
38'汪嵩右路横传禁区，对方破坏出来                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
38'广州富力队在前场积极啊                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
38'广州富力队到禁区内，吉尔把球挡出来                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
43'塔尔德利突破传禁区，程月磊出击没能打到，球到了塔尔德利脚下！再传球直接传出底线                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
43'塔尔德利犯了两个错误：第一次可以直接打门，他选择横传被挡出！第二次是斜传球直接出底线                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
43'塔尔德利横向带球，直传球没能过去                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
44'鲁能泰山队快速反击，阿洛伊西奥带球到禁区内，没能及时传球，被对方破坏出底线                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
45'角球机会                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
45'角球发到禁区内，对方头球顶出来                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
45'郑铮超远打门，打高啦                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
45'上半场要补时 1 分钟                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
46'阿洛伊西奥强突！张贤秀犯规                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
46'鲁能泰山队得到前场任意球机会                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
46'现场的球迷在呼唤戴琳！                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
46'下半场比赛开始                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
46'于洋后场得球，塔尔德利前插逼抢，于洋把球破坏出边线                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
46'阿洛伊西奥接球转身传禁区 ，对方将球破坏                   43'第43分钟，山东鲁能断球打出快速反击，尤西雷中场送出大斜线传中，塔尔德利边路快速插上形成突破之势并送出传中，跟进的球员射门被门将挡出，塔尔德利得球有些犹豫，送出一脚似传似射传中，但偏出球门
49'广州富力队右路下底横传禁区，吉安努打门偏出！                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
49'很危险啊！                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
49'此前戴琳铲球犯规，被出示了黄牌                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
50'鲁能泰山队换人：金敬道上场，换下王彤                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
50'王彤受伤了！                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
50'阿洛伊西奥中前场抢断，分到右路进攻                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
50'鲁能泰山队右路横传禁区，阿洛伊西奥包抄没能到位                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
50'塔尔德利左路得球，横传球被断                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
51'姜至鹏左路接球突破，对方解围，球打在姜至鹏身上出底线                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
52'吴兴涵横传球，对方铲球放倒了塔尔德利！任意球                   49'下半场易边再战，第49分钟，戴琳铲球犯规，主裁判示意继续进攻，卢琳边路弧线球传中，戴琳禁区内再失误，肖智做球，吉安努无人防守情况下推射远角高出
52'吴兴涵横传球，对方铲球放倒了塔尔德利！任意球                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
53'鲁能泰山队进球啦！王永珀！2-1                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
53'蒿俊闵虚晃，王永珀发任意球直接打门，越过人墙直接进入网内！！！                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
53'程月磊侧扑，没能扑到球                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
55'金敬道吊球到左路，被对方抢断下来                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
55'陈志钊右路带球突破，被尤西雷放倒                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
55'广州富力队右路斜传，后点回传，汪嵩抢点劲射，被韩镕泽没收！                   52'第52分钟，山东鲁能获得任意球机会，蒿俊闵虚晃一枪，王永珀弧线球射门直挂死角，山东鲁能2-1反超比分
59'斯文森中场滑了一下                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
59'阿洛伊西奥前场得球，左路横带到禁区内打门，打在对方身上被程月磊没收                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
59'阿洛伊西奥打得有些软啊                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
60'广州富力队攻到前场，回传，汪嵩一脚劲射，打偏啦                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
60'韩镕泽大脚开球到前场，塔尔德利抢到球，对方铲出边线                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
61'鲁能泰山队长传球，王永珀回传，阿洛伊西奥没能控到球                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
61'广州富力队快速反击，姜至鹏左脚远射，稍偏了一些                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
62'广州富力队进球啦！肖智！2-2                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
62'广州富力队左路直传球，张贤秀回传，姜至鹏横传禁区，肖智抢点头球顶门球进！                   59'第59分钟，阿洛伊西奥边路抢断张贤秀杀入禁区，但是面对塔尔德利、吴兴涵两人包抄并未传球，而是隔人强行射门被挡出，看到这一幕，场边的曼诺也显得很失望
62'广州富力队进球啦！肖智！2-2                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
62'广州富力队左路直传球，张贤秀回传，姜至鹏横传禁区，肖智抢点头球顶门球进！                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
63'广州富力队又进球啦！！！3-2！卢琳！                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
64'广州富力队左路横传禁区，卢琳抢点打门球进                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
64'鲁能泰山队攻势可以，但门将的防守太不堪一击啦！                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
65'鲁能泰山队又重新落后啦！                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
65'广州富力队右路长传球，对方破坏出边线                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
65'鲁能泰山队要换人啦                   62'第62分钟，陈志钊做球摆脱金敬道，姜至鹏跟进弧线球传中，肖智门前摆脱戴琳防守头球破门，场上比分变为2-2
67'鲁能泰山队右路横禁区，对方大脚破坏出来                   67'第67分钟，山东鲁能后防线再次出现漏洞，卢琳轻松在禁区外觅得远射机会，好在韩镕泽飞身将球挡出
68'肖智右路带球到前场，斜传禁区，跟上队员打门被韩镕泽没收                   67'第67分钟，山东鲁能后防线再次出现漏洞，卢琳轻松在禁区外觅得远射机会，好在韩镕泽飞身将球挡出
69'鲁能泰山队换人，蒙蒂略上场，换下吴兴涵                   67'第67分钟，山东鲁能后防线再次出现漏洞，卢琳轻松在禁区外觅得远射机会，好在韩镕泽飞身将球挡出
70'吉安努右路突破横传，陈志钊再传给吉安努                   67'第67分钟，山东鲁能后防线再次出现漏洞，卢琳轻松在禁区外觅得远射机会，好在韩镕泽飞身将球挡出
70'吉安努右路横传，汪嵩强突，蒿俊闵上抢有点推人                   67'第67分钟，山东鲁能后防线再次出现漏洞，卢琳轻松在禁区外觅得远射机会，好在韩镕泽飞身将球挡出
70'这是个合理动作                   67'第67分钟，山东鲁能后防线再次出现漏洞，卢琳轻松在禁区外觅得远射机会，好在韩镕泽飞身将球挡出
77'广州富力队攻到前场，从容打门，只是没能打正                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
77'韩镕泽大脚开球过中场，对方断下来打反击                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
77'广州富力队控球很从容啊！没有队员去追去抢                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
78'肖智右路横传禁区，跟上队员头球顶门，韩镕泽扑了一下出底线                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
78'广州富力队前场挑传禁区，越位                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
79'前场鲁能泰山队断球右路攻传，金敬道手球犯规                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
80'广州富力队右路横传禁区，尤西雷把球留下来                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
80'鲁能泰山队长传球，蒙蒂略紧追，追不上啊                   77'第77分钟，郑铮防守失位，广州富力边路传中，肖智后点轻松压过金敬道头球攻门，王大雷飞身将球挡出
48'广州富力队右路攻到前场，戴琳把球抢断下来                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
48'塔尔德利左路强突，张贤秀抗开塔尔德利，把球让出底线                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
49'广州富力队右路下底横传禁区，吉安努打门偏出！                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
49'很危险啊！                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
49'此前戴琳铲球犯规，被出示了黄牌                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
50'鲁能泰山队换人：金敬道上场，换下王彤                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
50'王彤受伤了！                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
50'阿洛伊西奥中前场抢断，分到右路进攻                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
50'鲁能泰山队右路横传禁区，阿洛伊西奥包抄没能到位                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
50'塔尔德利左路得球，横传球被断                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
51'姜至鹏左路接球突破，对方解围，球打在姜至鹏身上出底线                   48'补时第3分钟，王永珀边路送出妙传，吉尔门前包抄射门稍稍高出横梁
