2'富勒姆球员达夫拼抢犯规,对手获得控球权.                   1'第1分钟波澜不惊
70'贝尔巴托夫为富勒姆赢得一个任意球.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
70'切尔西球员罗梅乌拼抢犯规,对手获得控球权.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
70'黄牌！切尔西球员罗梅乌因为恶意犯规,被主裁判出示黄牌.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
71'富勒姆球员卡拉古尼斯拼抢犯规,对手获得控球权.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
71'阿兹皮里库塔为切尔西在右路,赢得一个任意球.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
73'里特为富勒姆在对方半场,赢得一个任意球.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
73'切尔西球员大卫-路易斯拼抢犯规,对手获得控球权.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
73'黄牌！切尔西球员大卫-路易斯因为恶意犯规,被主裁判出示黄牌.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
74'富勒姆换人,K-弗雷换下卡拉古尼斯                   74'第74分钟，路易斯对里特犯规，也被出示黄牌，贝尔巴托夫在门前22米处任意球被封堵
74'富勒姆球员贝尔巴托夫大禁区外右脚射门,被防守球员封堵.                   74'第74分钟，路易斯对里特犯规，也被出示黄牌，贝尔巴托夫在门前22米处任意球被封堵
75'射门!!!富勒姆球员里瑟大禁区外左脚射门,被对方守门员横身扑出.给他传球的是K-弗雷.                   74'第74分钟，路易斯对里特犯规，也被出示黄牌，贝尔巴托夫在门前22米处任意球被封堵
75'切赫将球处理出底线,富勒姆获得角球.                   74'第74分钟，路易斯对里特犯规，也被出示黄牌，贝尔巴托夫在门前22米处任意球被封堵
76'富勒姆球员里瑟一脚直塞球给罗达莱加,但是边裁举旗显示后者已经越位.                   74'第74分钟，路易斯对里特犯规，也被出示黄牌，贝尔巴托夫在门前22米处任意球被封堵
47'切尔西球员罗梅乌大禁区外右脚射门,被防守球员封堵.                   46'此后不到1分钟，富勒姆打出反击，弗雷左路回做，里瑟在门前24米处左脚大力低射被切赫倒地封出近门柱
81'富勒姆球员达夫拼抢犯规,对手获得控球权.                   81'第81分钟，弗雷左路切入禁区，在身后拉米雷斯防守下倒地，主裁判没有表示
81'拉米雷斯为切尔西赢得一个任意球.                   81'第81分钟，弗雷左路切入禁区，在身后拉米雷斯防守下倒地，主裁判没有表示
82'切尔西球员马塔大禁区外左脚射门,被防守球员封堵.给他传球的是托雷斯.                   81'第81分钟，弗雷左路切入禁区，在身后拉米雷斯防守下倒地，主裁判没有表示
82'切尔西换人,马林换下阿扎尔                   81'第81分钟，弗雷左路切入禁区，在身后拉米雷斯防守下倒地，主裁判没有表示
84'富勒姆换人,佩特里奇换下罗达莱加                   81'第81分钟，弗雷左路切入禁区，在身后拉米雷斯防守下倒地，主裁判没有表示
51'富勒姆球员卡拉古尼斯拼抢犯规,对手获得控球权.                   48'补时第3分钟，马塔左侧角球被破坏，阿斯皮利奎塔禁区前沿抽射偏出左门柱
51'罗梅乌为切尔西在对方半场,赢得一个任意球.                   48'补时第3分钟，马塔左侧角球被破坏，阿斯皮利奎塔禁区前沿抽射偏出左门柱
