1'上半场比赛开始了！                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
32'贝莱林吃到黄牌                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
32'弗雷泽传后点，戈斯林头球摆渡，切赫将球摘下                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
56'斯坦尼斯拉斯右路的带球，科斯切尔尼将球踢出边线                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
56'约书亚金右路传中被切赫扑了一下                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
57'阿特尔跟进劲射，打在了威尔逊的手入大门！                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
57'裁判示意是威尔逊手将球碰入大门，不算                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
57'阿森纳是逃过一劫啊                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
57'桑切斯左路带球交给了伊沃比                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
57'回给桑切斯，吊禁区                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
57'太高了，博鲁奇将球摘下                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
58'丹尼尔斯长传上来                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
58'贝莱林没有将球护好                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
59'弗雷泽背后将球拿球，推射，球穿过切赫小门入网                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
59'弗雷泽抢球是有犯规嫌疑                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
59'不过3：0的事实已经不能改变                   56'第56分钟，约书亚-金传中被解围，阿特尔禁区边缘外劲射打在威尔逊手上偏转入网，进球无效
50'张伯伦右路下底传中，吉鲁头球攻门，没有顶正球门                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
51'丹尼尔斯左路的突进被断下                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
51'但贝莱林的传球也不好                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
51'蒙雷亚尔左路上来交给桑切斯                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
51'挑传，伊沃比背身停球分边                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
51'贝莱林下底传中打在丹尼尔斯身上出底线                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
52'扎卡的角球发得太差了                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
52'都过不了第一点                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
52'吉鲁在对抗中被踩到脚                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
52'痛苦倒地                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
53'约书亚金在带球，吉鲁铲球后被对方踩了一下                   50'阿森纳5分钟连扳2球，第70分钟，张伯伦右路传中，吉鲁头球攻门偏转至远点，无人盯防的桑切斯近距离头球破门，1-3
82'弗朗西斯右路的带球，横传给了史密斯                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
82'戈斯林得球晃开角度打远角，打偏了                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
82'这球比较可惜                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
83'拉姆塞中场护球，弗朗西斯剪刀脚铲球                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
83'主裁判直接红牌将弗朗西斯罚下！                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
84'弗朗西斯走出场外                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
84'比赛继续                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
84'扎卡长传上来被阿克顶一下                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
85'穆斯塔菲长传，卢卡斯弧顶处停球转身抽射，打在后卫身上偏转出底线                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
85'张伯伦发角球，库克先顶一下，阿克顶第二点，                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
85'外围还是阿森纳控球                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
85'张伯伦传中，卢卡斯头球蹭薄了                   82'伯恩茅斯第82分钟险些再次拉开分差，斯坦尼斯拉斯传球，戈斯林扣过吉鲁后13码处射门偏出
92'桑切斯转移给穆斯塔菲                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
92'吉鲁头球破门！                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
92'吉鲁扳平了比分！！！                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
93'这是扎卡的助攻！                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
93'吉鲁是俩助攻一进球                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
93'穆斯塔菲回传球差点酿成大错                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
94'伯恩茅斯进攻，史密斯的突破，拉姆塞将球踢出边线                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
94'阿特尔带球进了禁区，小角度打门被切赫扑出                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
94'丹尼尔斯外围拿球回传，吉鲁手球犯规                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
95'切赫今天已经多次有精彩扑救                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
95'尽管球队丢了三球                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
95'拉姆塞交给桑切斯                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
95'阿森纳的机会                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
95'分给卢卡斯，传中被库克顶走                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
95'扎卡前场阻挡犯规                   92'阿森纳第92分钟扳平，扎卡斜传，吉鲁小禁区前头球蹭入大门，3-3
