3'J罗一脚长传球给前场左侧！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
17'里贝里带球遭到达胡德抢断！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
17'达胡德低平球给身前普利希奇！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
17'普利希奇直传球给到前场中路的达胡德！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
23'帕帕给到中圈达胡德！                   23'拜仁第23分钟又下一城
23'达胡德回传后场帕帕！                   23'拜仁第23分钟又下一城
23'莱万中场把球拦截！横敲给左侧跟进的J罗！                   23'拜仁第23分钟又下一城
24'J罗搓传给禁区内中路！                   23'拜仁第23分钟又下一城
24'穆勒插上右脚轻轻推射！                   23'拜仁第23分钟又下一城
24'GOOOOOOOOOOAL！！球进了！！！                   23'拜仁第23分钟又下一城
24'J罗助攻穆勒！拜仁3-0多特！                   23'拜仁第23分钟又下一城
25'多特前场右侧边线发球！                   23'拜仁第23分钟又下一城
25'给到中场卡斯特罗！                   23'拜仁第23分钟又下一城
25'卡斯特罗回传后场给帕帕！                   23'拜仁第23分钟又下一城
25'帕帕横敲给左侧施梅尔策！                   23'拜仁第23分钟又下一城
26'施梅尔策低平球推传前场中路普利希奇！                   23'拜仁第23分钟又下一城
26'里贝里回身把球抢下来！                   23'拜仁第23分钟又下一城
26'里贝里带球到前场！回传身后给阿拉巴！                   23'拜仁第23分钟又下一城
26'阿拉巴推传给中线上的博阿滕！                   23'拜仁第23分钟又下一城
26'博阿滕斜线球给右侧拉菲尼亚！                   23'拜仁第23分钟又下一城
44'帕帕一记长传给前场中路！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
44'莱万头球顶出了边线！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
44'多特左侧边线发球！被J罗拦截！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
44'J罗右路传中！皮球被防守球员顶出来解围！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
44'外围前沿左侧！里贝里把球得到！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
45'里贝里左侧突破！横向塞球给禁区内！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
45'双方一片争抢的混乱！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
45'皮球已经进入大门！！！GOOOOOOOOOAL！！！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
46'拜仁4-0多特蒙德！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
46'继续比赛！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
46'第四个进球归属莱万，莱万乱中把球碰进大门                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'J罗前场中路带球过来！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'分球给禁区前沿左侧罗本！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'罗本轻松写意的一脚挑射！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'GOOOOOOOOOAL！球又进了！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'多特蒙德中圈开球！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
46'拜仁中场换人，基米西换下阿拉巴                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
46'拜仁中圈开球！下半场比赛开始了！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
46'开球回传后场博阿滕！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'博阿滕分球给左侧里贝里！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'里贝里的球被皮什切克破坏出边线！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'拜仁左侧边线发球！发给后场中路博阿滕！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'博阿滕横敲右侧出了边线！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'巴舒亚伊带球推进过来！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
47'回敲一下身后的施梅尔策！                   44'拜仁第44分钟扩大战果，里贝里禁区左侧转身摆脱皮什切克，底线附近挑射被比尔基扑挡，但他用身体将球挡向中路，莱万推过门线，4比0
67'里贝里有些生气！去推了犯规在先的魏格尔一把！双方有些摩擦！裁判给了一人一张黄牌！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
67'拜仁换人，蒂亚戈换下J罗！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
67'达胡德向前场左侧给了一脚直塞球！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
67'普利希奇插上把球得到！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
67'分球禁区前沿格策！左侧底角打门！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
68'皮球击中立柱弹出来！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
68'博阿滕赶紧把球解围！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
68'给到中场左侧拉菲尼亚！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
68'回给后场胡梅尔斯！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
68'胡梅尔斯向前给了一脚直塞球！找到中场右侧罗本！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
69'罗本的球被格策断走！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
69'格策直传球直接传出了右侧底线！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
69'拜仁再次换人，鲁迪换下里贝里！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
70'乌尔赖希大脚开到前场左路给穆勒！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
70'穆勒给到中路马丁内斯！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
70'马丁内斯一记长传球给禁区中路！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
70'皮球被防守球员解围出来！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
70'外围左侧穆勒得球传中！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
70'这球被解围出了左侧底线！                   67'多特第67分钟错过安慰球，达胡德突破基米希传球，格策在门前20米处左脚推射击中左门柱
87'基米希回敲身后博阿滕！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
87'博阿滕给左侧拉菲尼亚！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
88'拉菲尼亚长传球给中场右侧基米希！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
88'基米希推进到禁区前沿右侧！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
88'横敲一脚低平球给禁区内后点！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
88'莱万跟进轻松推射空门！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
89'GOOOOOOOOOAL！！球进了！！！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
89'基米西助攻莱万！莱万拿下帽子戏法！拜仁6-0多特！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
89'基米希长传球给前场左路！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
90'双方争顶！球被皮什切克碰出边线！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
90'拜仁左侧边线发球！被菲利普拦截！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
90'菲利普推传给到中路达胡德！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
90'达胡德斜线球给左路施梅尔策！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
90'施梅尔策一脚直塞球给到前场左路许尔勒！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
90'许尔勒回给后场阿坎吉！                   87'莱万第87分钟往老东家伤口上再撒一把盐，基米希与穆勒打出踢墙配合，穆勒脚后跟传球，基米希禁区右侧下底传中，比尔基倒地扑球却漏过，莱万在门前3米处轻松推进空门，6比0
