14'大家好，枫浪姗姗来到啦                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
18'阿圭罗前场抢断，拿球进入禁区                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
18'迪亚比和科斯切尔尼的夹击将球拦截                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
19'席尔瓦前场拿球的直塞球，可惜没能过去                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
19'不过球还在曼城球员脚下                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
46'席尔瓦拿球过了中线，横传球过度给到辛克莱尔                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
46'下半场比赛开始                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
46'曼城首先做出了人员调整                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
46'17号罗德维尔登场亮相                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
47'亚亚图雷前场拿球直传找哲科，可惜传大啦                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
47'默特萨克后场抢断，大脚将球踢到前场                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
47'卡佐拉和萨巴莱塔争顶时球被顶出了边线                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
47'阿森纳左路的进攻获得角球机会                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
48'角球开出到后点，拉姆塞拿球皮球                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
48'拉姆塞右路拿球面对莱斯科特的防守想传中，被后者伸腿挡出                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
49'曼城右路进攻，亚亚图雷直传给到哲科                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
49'哲科假动作一扣，詹金森上抢时将哲科踢倒                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
49'曼城获得禁区右侧角球机会                   46'1分钟后，辛克莱尔挑传，席尔瓦禁区左侧的射门被默特萨克及时封堵
28'卡佐拉在克里希的干扰下，没能拿到球                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
28'球也是在争抢中直接出了底线                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
29'阿圭罗前场拿球面对三名防守球员短传球给到哲科                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
29'哲科和阿圭罗撞墙配合，阿圭罗禁区弧顶的远射，被后卫挡出                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
29'上半场比赛已经来到了30分钟，比分还是0-0                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
29'双方也是各有几次不错的进攻机会                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
30'阿尔特塔中场拿球，没机会只能将球回敲后场重新组织                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
30'科斯切尔尼的过顶球到左前场吉布斯                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
31'吉布斯拿球传中时被萨巴莱塔将球破坏出底线                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
31'阿森纳获得左侧角球机会                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
31'角球开出，乔哈特出击将球直接没收                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
31'席尔瓦前场拿球直塞给到辛克莱尔                   28'第28分钟，卡索拉直传小禁区右侧边缘的热尔维尼奥，前阿森纳边卫克里希做出关键拦截
34'辛克莱尔禁区右侧，左脚的传中                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
34'球稍微高了一点，从阿圭罗的头顶直接飞出了底线                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
34'阿森纳今天又中反客为主的意思                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
35'特别是吉布斯在左路的前插进攻意识很强                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
35'亚亚图雷中场的斜传球找左前的队友，可惜默契不足                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
35'后者根本没有跑动，看着球过来在启动，只能望球心叹啦                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
36'波多尔斯基后场拿球，过了中线斜传给到热鸟                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
36'热鸟禁区内拿球，面对萨巴莱塔的防守                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
36'热鸟直接闪开角度，右脚的抽射，球插着立柱出了底线                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
37'辛克莱尔右路拿球横带，突然的斜塞给到席尔瓦                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
37'席尔瓦拿球面对防守球员脚后跟横拨找萨巴莱塔                   34'第34分钟，孔帕尼禁区前对拉姆塞犯规，卡索拉25码处任意球直接射门穿过人墙被乔-哈特没收
40'曼城右侧角球传至门前，曼诺内出击失误，莱斯科特的头球冲顶直接砸进球门                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
41'上半场比赛进行到40分钟时，曼城终于开壶啦                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
41'曼城又是前场抢断，阿圭罗将球分给哲科                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
41'哲科禁区弧内的抽射，曼诺内单手将球托出横梁                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
42'这个落叶球打的很精彩，曼诺内的扑救同样给力                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
42'曼城再次获得角球机会                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
42'不过这次没能形成威胁                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
42'默特萨克后场抢断，将球过度给到阿尔特塔                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
43'阿尔特塔中场拿球斜传给到右路的热鸟                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
43'热鸟拿球下底传中被莱斯科特挡出                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
43'禁区外迪亚比拿球，过度给到卡佐拉                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
43'卡佐拉得球直接起脚打门，球偏出了右侧立柱出底线                   40'曼城第40分钟打破僵局，席尔瓦开出角球，曼诺内冒失出击，莱斯科特远点小禁区边缘抢在波多尔斯基之前力压科斯切尔尼头球破门
44'阿森纳的抢断，右路热鸟拿球再次反击                   44'第44分钟，卡索拉禁区边缘射门偏出
44'热鸟底线强突，禁区内将球横传给到迪亚比                   44'第44分钟，卡索拉禁区边缘射门偏出
44'可惜迪亚比没能第一时间起脚打门                   44'第44分钟，卡索拉禁区边缘射门偏出
44'迪亚比将球带出禁区，接着的传中又被曼城后卫破坏                   44'第44分钟，卡索拉禁区边缘射门偏出
45'上半场比赛也已经进入尾声                   44'第44分钟，卡索拉禁区边缘射门偏出
45'阿森纳右路的进攻，孔帕尼将球解围出边线                   44'第44分钟，卡索拉禁区边缘射门偏出
45'上半场补时1分钟                   44'第44分钟，卡索拉禁区边缘射门偏出
45'卡佐拉前场传球失误，席尔瓦的抢断                   44'第44分钟，卡索拉禁区边缘射门偏出
46'席尔瓦拿球过了中线，横传球过度给到辛克莱尔                   44'第44分钟，卡索拉禁区边缘射门偏出
46'下半场比赛开始                   44'第44分钟，卡索拉禁区边缘射门偏出
46'曼城首先做出了人员调整                   44'第44分钟，卡索拉禁区边缘射门偏出
46'17号罗德维尔登场亮相                   44'第44分钟，卡索拉禁区边缘射门偏出
47'亚亚图雷前场拿球直传找哲科，可惜传大啦                   44'第44分钟，卡索拉禁区边缘射门偏出
47'默特萨克后场抢断，大脚将球踢到前场                   44'第44分钟，卡索拉禁区边缘射门偏出
47'卡佐拉和萨巴莱塔争顶时球被顶出了边线                   44'第44分钟，卡索拉禁区边缘射门偏出
47'阿森纳左路的进攻获得角球机会                   44'第44分钟，卡索拉禁区边缘射门偏出
46'席尔瓦拿球过了中线，横传球过度给到辛克莱尔                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
46'下半场比赛开始                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
46'曼城首先做出了人员调整                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
46'17号罗德维尔登场亮相                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
47'亚亚图雷前场拿球直传找哲科，可惜传大啦                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
47'默特萨克后场抢断，大脚将球踢到前场                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
47'卡佐拉和萨巴莱塔争顶时球被顶出了边线                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
47'阿森纳左路的进攻获得角球机会                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
48'角球开出到后点，拉姆塞拿球皮球                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
48'拉姆塞右路拿球面对莱斯科特的防守想传中，被后者伸腿挡出                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
49'曼城右路进攻，亚亚图雷直传给到哲科                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
49'哲科假动作一扣，詹金森上抢时将哲科踢倒                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
49'曼城获得禁区右侧角球机会                   46'第46分钟，亚亚-图雷禁区右侧边缘外劲射偏出远角
46'席尔瓦拿球过了中线，横传球过度给到辛克莱尔                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
46'下半场比赛开始                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
46'曼城首先做出了人员调整                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
46'17号罗德维尔登场亮相                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
47'亚亚图雷前场拿球直传找哲科，可惜传大啦                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
47'默特萨克后场抢断，大脚将球踢到前场                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
47'卡佐拉和萨巴莱塔争顶时球被顶出了边线                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
47'阿森纳左路的进攻获得角球机会                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
48'角球开出到后点，拉姆塞拿球皮球                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
48'拉姆塞右路拿球面对莱斯科特的防守想传中，被后者伸腿挡出                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
49'曼城右路进攻，亚亚图雷直传给到哲科                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
49'哲科假动作一扣，詹金森上抢时将哲科踢倒                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
49'曼城获得禁区右侧角球机会                   46'1分钟后，阿森纳解围角球，萨巴莱塔禁区前射门偏出
56'慢镜回放显示，阿圭罗刚在禁区内的倒地，又被阿森纳后卫勾倒的嫌疑                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
56'曼城左路进攻，科斯切尔尼在阿圭罗之前将球解围出底线                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
56'曼城角球开到门前，曼诺内出击将球没收                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
57'波多尔斯基中场拿球，面对萨巴莱塔的上抢                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
57'波多尔斯基刹车不稳，将萨巴莱塔带倒在地                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
58'哲科和阿圭罗前场的二过二配合                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
58'哲科禁区弧顶直接起脚打门，球偏出球门出底线                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
59'阿森纳左路的进攻，卡佐拉传中被孔帕尼解围出边线                   56'第56分钟，席尔瓦开出角球，哈维-加西亚的头球攻门正入曼诺内下怀
68'曼城再次换人：哲科被换下，特维斯上                   68'第68分钟，特维斯替换哲科出场
68'哲科和默特萨克在德甲有过碰面，今天两人的比拼中，哲科也是占不到什么便宜                   68'第68分钟，特维斯替换哲科出场
69'特维斯前场拿球面对三名球员的反手，强突进入禁区                   68'第68分钟，特维斯替换哲科出场
69'可惜没有打门的空间，只能将球回敲给到亚亚图雷                   68'第68分钟，特维斯替换哲科出场
69'亚亚图雷禁区外迎球直接怒射，可惜瞄准器没装好，球打偏啦                   68'第68分钟，特维斯替换哲科出场
70'加西亚后场强度，大脚长传时打在了亚亚图雷身上                   68'第68分钟，特维斯替换哲科出场
70'大水冲了龙王庙，一家人不认一家人啊                   68'第68分钟，特维斯替换哲科出场
71'特维斯前场拿球短传给到亚亚图雷                   68'第68分钟，特维斯替换哲科出场
71'亚亚图雷在将球分边给到左路的萨巴莱塔                   68'第68分钟，特维斯替换哲科出场
71'萨巴莱塔下底传中，球直接飞出了底线                   68'第68分钟，特维斯替换哲科出场
71'这球与场地湿滑有关                   68'第68分钟，特维斯替换哲科出场
72'阿森纳换人：沃尔科特换下波多尔斯基                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
72'同时，用吉鲁德换下迪亚比                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
73'阿森纳一次性换下两人，看看进攻上能否带来改变                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
73'亚亚图雷禁区弧顶的直塞大身后                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
73'特维斯前插接应，可惜速度不够，球弹地后直接出了底线                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
74'全场比赛已经来到了73分钟，场上比分1-0，曼城领先                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
74'亚亚图雷后场防守中被吹罚拉人犯规                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
74'吉鲁德禁区弧顶的一脚冷射，球打在加西亚身上出底线                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
75'阿森纳获得左侧角球机会                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
75'角球开出，第一点被曼城球员解围                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
75'热鸟得到第二落点，直接起脚打门，乔哈特出击将球没收                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
75'亚亚图雷后场拿球失误，沃尔科特的抢断                   72'第72分钟，吉鲁和沃尔科特分别换下迪亚比和波多尔斯基
80'可惜没能成功，球还被孔帕尼给拦截下来                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
80'曼城反击，亚亚图雷拿球单骑闯关                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
80'亚亚图雷拿球进入弧内分球给到右边的阿圭罗                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
81'阿圭罗迎球怒射，球打在了科斯切尔尼身上出底线                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
81'阿圭罗也是出现了抽筋现象                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
81'科斯切尔尼为阿圭罗来治疗抽筋，很友好啊                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
81'曼城右侧角球机会                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
81'角球开到门前，默特萨克将球解围出禁区                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
82'阿森纳进攻，卡佐拉禁区弧顶的抽射                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
82'乔哈特将球奋力扑出底线                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
82'阿森纳获得角球机会                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
82'球进啦                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
82'科斯切尔尼~~~~~                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
83'阿森纳左侧角球开到门前，莱斯科特的头球解围直接顶给了科斯切尔尼，后者得球右脚的扫射得手                   80'第80分钟，亚亚-图雷反击中突破传球，阿圭罗禁区右侧12码处劲射被曼诺内扑出近角
84'曼城真是成也莱斯科特，败也莱斯科特啊                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
84'两队的6号分别为自己球队建功啦                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
85'曼城前场进攻，席尔瓦禁区外头球摆渡给到孔帕尼                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
85'孔帕尼禁区内的倒勾打门，曼诺内将球奋力扑出                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
85'科斯切尔尼门前的解围直接踢给了阿圭罗                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
85'阿圭罗停球直接起脚打远角，球滑门而出                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
86'两队的6号这是怎么了，都想上演助攻对手好戏啊                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
86'下半场比赛已经接近尾声，双方比分1-1                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
87'席尔瓦和卡佐拉中场争抢中被后者将球得到                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
87'卡佐拉将球过度给到阿尔特塔                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
87'阿尔特塔再将球分边给到左路的热鸟                   84'曼城第84分钟错失良机，沃尔科特头球解围，席尔瓦头球前顶，孔帕尼10码处倒钩射门被曼诺内扑出，科斯切尔尼勉强解围，阿圭罗小禁区边缘扫射擦右侧立柱偏出
90'而阿森纳这边目前还有一个换人名额可以使用                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
90'阿森纳前场进攻，热鸟禁区弧顶无人防守下的一脚抽射                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
90'直接放了飞机，非常好的机会啊                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
91'这球热鸟发力太猛，可惜脚法没控制好                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
91'阿森纳换人：热鸟被换下场                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
91'下半场补时3分钟                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
92'阿森纳换上一名防守球员来加强防守了，毕竟客场拿1分也是可以接受的                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
92'阿森纳右路直塞球找前插的詹金森                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
93'詹金森拿球，加西亚身后回追，直接一个抱摔将其放倒在地                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
93'哈维-加西亚被裁判出示黄牌警告                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
93'阿森纳获得前场右路的任意球机会                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
93'任意球开到禁区，第一点被曼城球员解围                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
93'曼城右路的进攻被吉布斯将球破坏出变心啊                   90'第90分钟，吉布斯传球，热尔维尼奥禁区边缘劲射偏出
