2'门兴球员扎卡拼抢犯规,对手获得控球权.                   1'第1分钟拜仁稍占优势，罗本头球被佐默没收，但门兴马上稳住阵脚
70'拜仁慕尼黑球员博阿滕大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是施魏因斯泰格.                   70'门兴第70分钟几乎扩大比分，施特兰茨尔直传禁区右侧，卡恩在门前13米处半凌空斜射，球被诺伊尔一扑击中近门柱弹回，诺伊尔将球抱住
70'拜仁慕尼黑换人,拉姆换下格策                   70'门兴第70分钟几乎扩大比分，施特兰茨尔直传禁区右侧，卡恩在门前13米处半凌空斜射，球被诺伊尔一扑击中近门柱弹回，诺伊尔将球抱住
70'射门!!!门兴球员哈恩大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是施特兰茨尔.                   70'门兴第70分钟几乎扩大比分，施特兰茨尔直传禁区右侧，卡恩在门前13米处半凌空斜射，球被诺伊尔一扑击中近门柱弹回，诺伊尔将球抱住
72'门兴换人,克鲁泽换下哈恩                   70'门兴第70分钟几乎扩大比分，施特兰茨尔直传禁区右侧，卡恩在门前13米处半凌空斜射，球被诺伊尔一扑击中近门柱弹回，诺伊尔将球抱住
73'赫尔曼为门兴赢得一个任意球.                   70'门兴第70分钟几乎扩大比分，施特兰茨尔直传禁区右侧，卡恩在门前13米处半凌空斜射，球被诺伊尔一扑击中近门柱弹回，诺伊尔将球抱住
73'拜仁慕尼黑球员罗德拼抢犯规,对手获得控球权.                   70'门兴第70分钟几乎扩大比分，施特兰茨尔直传禁区右侧，卡恩在门前13米处半凌空斜射，球被诺伊尔一扑击中近门柱弹回，诺伊尔将球抱住
77'进球啦！！！门兴球员拉斐尔大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是克拉默. 拜仁慕尼黑 0-2 门兴.                   77'第77分钟，赫尔曼直塞肋部，克拉默变线突入禁区右侧横传，拉斐尔在门前9米处推进，拜仁0比2落后
79'克拉默为门兴赢得一个任意球.                   77'第77分钟，赫尔曼直塞肋部，克拉默变线突入禁区右侧横传，拉斐尔在门前9米处推进，拜仁0比2落后
79'拜仁慕尼黑球员巴德施图伯拼抢犯规,对手获得控球权.                   77'第77分钟，赫尔曼直塞肋部，克拉默变线突入禁区右侧横传，拉斐尔在门前9米处推进，拜仁0比2落后
79'阿拉巴将球处理出底线,门兴获得角球.                   77'第77分钟，赫尔曼直塞肋部，克拉默变线突入禁区右侧横传，拉斐尔在门前9米处推进，拜仁0比2落后
47'门兴球员扎卡拼抢犯规,对手获得控球权.                   47'2分钟后，赫尔曼右路长传反击，克洛泽突入禁区左侧斜射被诺伊尔封出近角，这也是诺伊尔全场唯一扑救
47'阿隆索为拜仁慕尼黑赢得一个任意球.                   47'2分钟后，赫尔曼右路长传反击，克洛泽突入禁区左侧斜射被诺伊尔封出近角，这也是诺伊尔全场唯一扑救
48'拜仁慕尼黑球员施魏因斯泰格手球犯规,对手获得球权.                   47'2分钟后，赫尔曼右路长传反击，克洛泽突入禁区左侧斜射被诺伊尔封出近角，这也是诺伊尔全场唯一扑救
49'拜仁慕尼黑球员穆勒大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是施魏因斯泰格.                   47'2分钟后，赫尔曼右路长传反击，克洛泽突入禁区左侧斜射被诺伊尔封出近角，这也是诺伊尔全场唯一扑救
50'门兴球员哈恩拼抢犯规,对手获得控球权.                   47'2分钟后，赫尔曼右路长传反击，克洛泽突入禁区左侧斜射被诺伊尔封出近角，这也是诺伊尔全场唯一扑救
50'阿隆索为拜仁慕尼黑在对方半场,赢得一个任意球.                   47'2分钟后，赫尔曼右路长传反击，克洛泽突入禁区左侧斜射被诺伊尔封出近角，这也是诺伊尔全场唯一扑救
