3'金敬道后场得球，韩德明抢球犯规                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
56'角球发到禁区内，杨旭底线回做，阿洛伊西奥抢点打门球进！！！                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
60'鲁能泰山队右路进攻，伊斯梅洛夫把球破坏出边线                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
61'中场长春亚泰队直传球，杜震宇越位                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
61'中场胡兹蒂得球，乌索上抢犯规                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
61'任意球发出来，长春亚泰队右路进攻，对方把球破坏出边线                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
63'金敬道右路下底，杜震宇飞铲！！犯规！！                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
63'主裁判出示了黄牌！！                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
63'鲁能泰山队得到了角球附近的任意球机会                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
63'任意球发出来，鲁能泰山队右路进攻，对方犯规                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
62'鲁能泰山队和突破 ，对方把球破坏                   60'第60分钟，山东鲁能快速反击，阿洛伊西奥与杨旭踢墙式配合，阿洛伊西奥抢射被出击的宋振瑜扑出
64'任意球发出来，对方把球破坏出底线，鲁能泰山队角球机会                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
65'角球发到后点，队友过渡，阿洛伊西奥倒勾打门，危险动作！                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
66'长春亚泰队左路攻到前场，直传球没能过去                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
66'鲁能泰山队快速反击，到前场分到左路                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
66'鲁能泰山队前场丢球后又反抢回来，只是突破没能过去                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
67'马祖右路突破横传门前，戴琳头球顶出底线！！                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
67'这个头球咋看着象顶门呢？                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
67'角球发到禁区内前点，孙捷抢点打门，没能踢到球！！                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
64'乌索得球分到右咱，金敬道斜传禁区，对方破坏出来                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
64'刘彬彬右路突破下底横传，后点蒿俊闵一脚打门，打高啦！                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
66'长春亚泰队攻到前场，传球到禁区内，王大雷没收                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
67'鲁能泰山队有人受伤啦！                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
67'张驰被对方撞了一下，倒在地上                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
67'哟，受伤倒地的是杨旭！他是与自己的队友相撞！                   64'第64分钟，刘彬彬边路突破后送出妙传，后点的蒿俊闵凌空射门打高
70'王永珀在中前场抬脚过高！！                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
71'任意球发到禁区内，对方大脚解围！球权还在长春亚泰队手里                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
71'马祖右路强行突破到禁区内，戴琳把球铲出底线                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
72'角球发到禁区内，球没有出底线，长春亚泰队右路斜传门将，王大雷没收                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
72'王大雷手抛球，鲁能泰山队快速反击！对方犯规啦！                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
73'戴琳助攻到前强突，韩德明犯规！！黄牌                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
73'鲁能泰山队得到任意球机会                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
73'任意球发到禁区内，对方头球解围                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
71'蒿俊闵右路传球到禁区内后点，阿洛伊西奥头球顶门，打在边网上！                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
72'长春亚泰队右路挑传禁区，双方各一人相撞，倒在地上，主裁判没有什么表示！                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
72'双方无球缠在一块                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
72'角球发到禁区内，进攻队员犯规                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
73'鲁能泰山队攻到前场，二打三！！好机会啊，可惜传球晚了些                   70'第70分钟，蒿俊闵禁区前沿送出妙传，后点的阿洛伊西奥头球偏出
78'长春亚泰队长传前场右路，居然没有越位                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
78'马祖右路横传门前，王大雷没收                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
79'张笑飞后场抢球犯规，鲁能泰山队得到前场右翼任意球机会                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
79'王永珀快发任意球到禁区内，杨旭已经被两人包夹，宋振瑜把球没收                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
79'马祖右路突破，戴琳把球挡出底线                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
79'长春亚泰队再得到角球机会                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
80'角球发到禁区内后点，乱军中没能形成打门                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
80'鲁能泰山队右路进攻，王永珀越位回接！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
81'刘彬彬左路强突，胡兹蒂抢球犯规                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
78'阿洛伊西奥左路突破，被挡了一下，再抢球时撞到了伊斯梅洛夫脸上！出血啦！！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
78'主裁判给阿洛伊西奥出示了黄牌！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
78'悬！！！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
79'斐帅转向突破，面对王大雷一脚打门，被托出！！！！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
79'角球发到禁区内前点，对方破坏出来                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
80'蒿俊闵右路突破横传，杨旭横传，乌索撞门！！被宋振瑜挡回来，乌索打门偏出！！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
80'这怎么看怎么象打乒乓球！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
81'长春亚泰队传禁区，马祖争抢与王大雷相撞！！！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
81'王大雷受伤倒在地上                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
81'伊斯梅洛夫经过简单的治疗，回到场上！                   78'第78分钟，长春亚泰快速反击，裴帅与杜震宇二过一配合打穿山东鲁能后防线，但是裴帅最后射门被挡出底线
86'胡兹蒂抢球犯规！！鲁能泰山队得到前场任意球机会                   86'第86分钟，山东鲁能再次错失得分机会
86'郑铮发任意球直接大力打门，打在人墙上弹出底线，角球                   86'第86分钟，山东鲁能再次错失得分机会
87'鲁能泰山队进球啦！！王永珀！1-1                   86'第86分钟，山东鲁能再次错失得分机会
87'战术角球发出来，王永珀接队友传球横向突破到禁区内，一脚斜射，皮球从后点进球门！！                   86'第86分钟，山东鲁能再次错失得分机会
88'长春亚泰队右路直传球，对方截断！                   86'第86分钟，山东鲁能再次错失得分机会
88'中场长春亚泰队断球，马祖右路下底横传，戴琳挡出底线                   86'第86分钟，山东鲁能再次错失得分机会
89'角球发到禁区内，对方破坏出来                   86'第86分钟，山东鲁能再次错失得分机会
89'鲁能泰山队快速反击，中场斜传，乌索突破到禁区内，扣球过人一脚打门，被宋振瑜挡出底线！！！                   86'第86分钟，山东鲁能再次错失得分机会
86'长春亚泰队左路攻到前场，对方破坏出边线                   86'第86分钟，山东鲁能再次错失得分机会
87'蒿俊闵得球长传，乌索过门将了打门被挡出来，刘彬彬打门高啦！！                   86'第86分钟，山东鲁能再次错失得分机会
87'鲁能泰山队这次进攻好有威胁！！！打不进好难！                   86'第86分钟，山东鲁能再次错失得分机会
87'鲁能泰山队换人：韩鹏上场，换下阿洛伊西奥                   86'第86分钟，山东鲁能再次错失得分机会
88'鲁能泰山队现在打防反！！长春亚泰队后防受到了考验！                   86'第86分钟，山东鲁能再次错失得分机会
89'刘彬彬右路冷静突破，对方倒地后起来再去防，犯规啦                   86'第86分钟，山东鲁能再次错失得分机会
89'长春亚泰队换人：22号李尚上场换下马祖                   86'第86分钟，山东鲁能再次错失得分机会
90'鲁能泰山队得到角球机会                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
90'角球发到禁区内，球出底线                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
90'上半场比赛结束！双方战成了1-1！                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
90'鲁能泰山队发出战术任意球，下底回传，虽然进攻队员倒地，但并没有犯规                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
90'韩鹏得球横传，队友斜传，韩鹏侧身打门，被没收！                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
90'韩鹏这几脚球真是漂亮！                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
91'长春亚泰队右路传球到门前，王大雷出不来，张驰把球破坏                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
91'角球发到禁区内，跟上队员打门偏出，鲁能泰山队门球！                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
91'比赛已经进入补时阶段                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
92'长春亚泰队左路传球被断                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
92'鲁能泰山队反击，长传球打在防守队员后脑                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
92'长春亚泰队左路直传球，对方抢点把球破坏                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
93'长春亚泰队得到角球机会，发禁区内，跟上队员打门，王大雷在门线上把球得到！                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
93'鲁能泰山队长传反击，直传球，杨旭突破到禁区内，单刀，打门！被宋振瑜没收！                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
93'长春亚泰队左路进攻，对方把球破坏出边线                   90'第90分钟，杨旭禁区前弧线球传中，韩鹏后点胸部停球凌空扫射，球被门将扑住
94'补时4分钟的时间也快要到了                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
94'王大雷大脚开球到前场，对方争顶下来                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
95'乌索在中场犯规，吃到了黄牌                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
95'长春亚泰队最后一攻啦！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
95'任意球发到禁区内，打门被王大雷挡出来，长春亚泰队再补射，后卫在球门线上把球挡出！！！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
96'金敬道右路反击，被对方撞出边线！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
96'犯规的是邵帅！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
96'鲁能泰山队得到前场右路任意球机会                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
96'任意球发出来，杨旭在角球附近被包夹！！甩脚后跟传球！出底线                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
96'补时看来是要6分钟！！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
96'长春亚泰队右路进攻，对方犯规！！中场任意球                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
97'任意球发出来传到禁区内，对方把球破坏！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
97'全场比赛结束，最终鲁能泰山队在先丢球的情况下2-1逆转取胜！！                   94'第94分钟，长春亚泰最后时刻攻门被王大雷挡出，杜震宇跟进补射被鲁能防守队员在门线上将球挡出
