3'可惜了啊，托雷斯                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
58'这球如果直接跳过去，那绝对的空门机会啊                   55'第55分钟，奥斯卡单刀突入禁区扣过出击倒地的凯尔文-戴维斯后倒地，但主裁判阿特金森认定其假摔，掏出黄牌
58'英格兰主帅霍奇森也是现场观战本场比赛                   55'第55分钟，奥斯卡单刀突入禁区扣过出击倒地的凯尔文-戴维斯后倒地，但主裁判阿特金森认定其假摔，掏出黄牌
58'南安普敦前场进攻赢得左侧角球机会                   55'第55分钟，奥斯卡单刀突入禁区扣过出击倒地的凯尔文-戴维斯后倒地，但主裁判阿特金森认定其假摔，掏出黄牌
66'南安普敦后场过顶长传找兰伯特，特里抢点差点失误                   66'第66分钟，克莱因左路传中，兰伯特插到特里前面，在门前7米处头球被切赫没收
66'好在补防的卡希尔及时到位，将球化解                   66'第66分钟，克莱因左路传中，兰伯特插到特里前面，在门前7米处头球被切赫没收
68'尽管比分落后，但是南安普敦打的并不着急                   66'第66分钟，克莱因左路传中，兰伯特插到特里前面，在门前7米处头球被切赫没收
69'南安普敦左路的横传球到禁区弧顶，米克尔回防将球解围出底线                   66'第66分钟，克莱因左路传中，兰伯特插到特里前面，在门前7米处头球被切赫没收
69'南安普敦获得左侧角球机会，又被切尔西球员解围                   66'第66分钟，克莱因左路传中，兰伯特插到特里前面，在门前7米处头球被切赫没收
69'托雷斯拿球反击，中线地带被回防的南安普敦球员放倒                   66'第66分钟，克莱因左路传中，兰伯特插到特里前面，在门前7米处头球被切赫没收
83'米克尔中路抢断，横传转移给到阿扎尔，阿扎尔挑传身后，奥斯卡得球单刀赴会，面对戴维斯一脚低射，破门得分，锁定胜局！！1                   82'第82分钟，阿扎尔左路斜传过顶，奥斯卡大腿停球突入禁区左侧，在门前12米处左脚推射入近角，3比0
83'穆里尼奥的这次换人神了啊，上场的两人都有进球，而且三个进球全部与奥斯卡有着直接关系                   82'第82分钟，阿扎尔左路斜传过顶，奥斯卡大腿停球突入禁区左侧，在门前12米处左脚推射入近角，3比0
84'切尔西最后一次换人：埃辛换下阿扎尔                   82'第82分钟，阿扎尔左路斜传过顶，奥斯卡大腿停球突入禁区左侧，在门前12米处左脚推射入近角，3比0
84'南安普敦的一脚直塞球，力量太大，被出来的切赫轻松拿到                   82'第82分钟，阿扎尔左路斜传过顶，奥斯卡大腿停球突入禁区左侧，在门前12米处左脚推射入近角，3比0
85'阿兹皮利奎塔在和克莱恩的争抢中一个迎面的亮鞋跟放铲，将球拦截                   82'第82分钟，阿扎尔左路斜传过顶，奥斯卡大腿停球突入禁区左侧，在门前12米处左脚推射入近角，3比0
85'阿兹皮利奎塔在和克莱恩的争抢中一个迎面的亮鞋跟放铲，将球拦截                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
86'这个动作让克莱恩很不爽，有个转身踢球的报复动作                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
86'主裁判毫不含糊，吹停比赛，送给克莱恩一张黄牌                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
87'下半场比赛接近尾声，比分0-3，胜负没悬念啦                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
88'奥斯卡右路拿球，直塞找威廉                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
88'威廉拿球，面对逼抢，直接回传                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
88'双方也是无心恋战，切尔西也不主动攻，南安普敦也不怎么上抢                   85'第85分钟，克莱因遭阿兹皮利奎塔亮鞋钉飞铲，起身后推倒对方，被黄牌警告
