1'上半场比赛开始                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
27'任意球发出来，江苏舜天队右路突破，尤西雷把球抢断下来                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
28'阿洛伊西奥左路突破直传禁区！！多好的机会啊，杨旭插上，张思鹏出击把球破坏                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
28'这脚球塞得真漂亮！杨旭跑得也到位，双方对脚啦！                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
28'双方各有一名队员受伤倒在地上                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
29'杨旭站了起来，问题不大。江苏舜天队的受伤队员还没有起来                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
29'滨州小白 山东鲁能：鲁能不是不能丢球，只是丢球的方式也太业余了！[回复]怪后卫盯人不紧！没有干扰，让吴曦轻松打门                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
31'江苏舜天队直传球，尤西雷手球犯规！！又上镜啦                   31'第31分钟吉翔任意球攻门滑门而出
31'江苏舜天队得到前场中路任意球机会                   31'第31分钟吉翔任意球攻门滑门而出
32'任意球直接打门，皮球擦门而出！                   31'第31分钟吉翔任意球攻门滑门而出
32'王大雷大脚开球过中场，对方开了回来                   31'第31分钟吉翔任意球攻门滑门而出
32'尤西雷中场得球，垫传给阿洛伊西奥，后者回传球失误                   31'第31分钟吉翔任意球攻门滑门而出
32'萨米尔左路带球突破，在赵明剑的防守下球出边线                   31'第31分钟吉翔任意球攻门滑门而出
33'尤西雷长传前场右路，想给王永珀，力量大了点                   31'第31分钟吉翔任意球攻门滑门而出
34'后场江苏舜天队传球失误，鲁能泰山队断球，尤西雷控球被萨米尔推倒，主裁判并没有表示，判给了江苏舜天队后场界外球                   31'第31分钟吉翔任意球攻门滑门而出
34'王大雷大脚开球到前场，再传球给杨旭，被断                   31'第31分钟吉翔任意球攻门滑门而出
34'乌索中场断球，分到左路，传得太靠后了，传到了塔尔德利的身后                   31'第31分钟吉翔任意球攻门滑门而出
39'塞尔吉奥突破传球，卡尔坦森再传禁区，塞尔吉奥插上打门，被出击的王大雷挡了一下出底线！！                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
39'这次江苏舜天队的配合太好了，王大雷立功啦！                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
39'江苏舜天队角球机会                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
39'角球发到禁区内，对方破坏出来                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
40'中场塔尔德利断球，直传给杨旭，力量小了                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
40'王永珀右路突破没能成功，被包夹抢断，王永珀抢球犯规                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
41'任意球发到前场，鲁能泰山队把球争顶下来                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
41'后场乌索抢断，对方抢球犯规                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
42'鲁能泰山队在前场三角配合，不错，杨旭一脚远射，打高                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
42'阿洛伊西奥中场拼得不错，可惜横球出边线                   39'第39分钟，埃斯库德罗突破横传，卡尔坦森再传禁区，埃斯库德罗跟进打门被出击的王大雷挡了一下出底线
49'塔尔德利斜长传，金敬道接球，交给阿洛伊西奥                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
49'阿洛伊西奥一脚远射，打偏                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
50'塔尔德利中场左路得球，对方抢球犯规                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
50'中场鲁能泰山队长传球，刘彬彬越位                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
51'后场鲁能泰山队断球，左路组织进攻                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
51'塔尔德利中场得球回传给刘彬彬                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
51'蒿俊闵挑传身后球，对方护球交给张思鹏                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
52'阿洛伊西奥直传球被断                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
52'中场鲁能泰山队断球，鲁能泰山队在前场配合传球，金敬道右路下底，被抢断                   49'第49分钟阿洛伊西奥禁区前得球后大力抽射打偏
57'刘彬彬前场拿球，对方背后有动作，球出边线，还是判给了江苏舜天队后场球                   57'第57分钟近期深陷转会风波的孙可上场换下了卡尔坦森
57'鲁能泰山队长传球到禁区内，对方头球解围                   57'第57分钟近期深陷转会风波的孙可上场换下了卡尔坦森
57'萨米尔右路直传，想人球分过，对方两人关门把球断下来                   57'第57分钟近期深陷转会风波的孙可上场换下了卡尔坦森
59'萨米尔把球传到右路，吉翔斜传禁区，直接出底线                   57'第57分钟近期深陷转会风波的孙可上场换下了卡尔坦森
60'后场尤西雷得球，鲁能泰山队没有快速反击，而是层层推进                   57'第57分钟近期深陷转会风波的孙可上场换下了卡尔坦森
65'刘彬彬左路突破到禁区内！小角度打门，张思鹏用身体把球挡出来！                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
65'孙可右路突破，郑铮铲球犯规，在大禁区线上的任意球机会                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
66'任意球发到后点，皮球弹地出底线                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
67'任航倒地禁区内，主裁判是不会吹的，对方并没有犯规                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
67'只是我的想象：裁判主场哨也太明显了吧！[回复]新生裁判吧，裁判也是人                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
68'蒿俊闵左路突破传球，阿洛伊西奥横带，再传球丢啦                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
68'[互动话题]目前鲁能泰山队2-1领先江苏舜天队，大家来预测一下最后结果吧！A、江苏舜天队胜 B、鲁能泰山队三分 C、双方战平[qiangda]                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
68'江苏舜天队攻到前场，禁区线上的打门高出                   65'第65分钟刘彬彬左路突破到禁区内，小角度打门，张思鹏用身体将球挡出
79'萨米尔右路突破到禁区内一脚斜射，王大雷把球扑住                   79'第79分钟萨米尔右路突破到禁区内一脚斜射，王大雷将球扑出
80'江苏舜天队再次换人：50号戈伟上场换下22号吴曦                   79'第79分钟萨米尔右路突破到禁区内一脚斜射，王大雷将球扑出
81'鲁能泰山队换人：蒙蒂略上场换下阿洛伊西奥！                   79'第79分钟萨米尔右路突破到禁区内一脚斜射，王大雷将球扑出
81'塔尔德利右路接球，回传，三角配合再组织进攻                   79'第79分钟萨米尔右路突破到禁区内一脚斜射，王大雷将球扑出
88'江苏舜天队长传球到前场，巴力抢点打门，打高啦                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
89'微笑之鹤 山东鲁能：感觉尤西雷不错，尤其是防守[回复]对于后防不怎么牢固的鲁能泰山队来说，有尤西雷的加入非常有利                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
89'下半场要补时 3 分钟                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
89'江苏舜天队挑传球到禁区内，王大雷出击没收                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
90'尤西雷中后场断球，头球过渡，鲁能泰山队组织进攻                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
90'刘彬彬右路横传，乌索头球顶门，皮球弹地后偏出！                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
90'乌索太用力了一些                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
91'江苏舜天队右路组织进攻，对方断球反击                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
91'中场江苏舜天队断球左路反击，到前场又被断                   88'江苏舜天在第88分钟意外扳平——鲁能回传球力量有些小，王大雷出击竟然踢空
93'标准绝杀！！                   93'山东鲁能93分钟绝杀——蒙蒂略前场直传，张思鹏出击，刘彬彬突破调整好脚法推射空门球进，3-2
93'中场球没有发出！主裁判就吹哨了！                   93'山东鲁能93分钟绝杀——蒙蒂略前场直传，张思鹏出击，刘彬彬突破调整好脚法推射空门球进，3-2
93'全场比赛结束，最终凭借刘彬彬的绝杀，鲁能泰山队3-2战胜江苏舜天队全取三分！                   93'山东鲁能93分钟绝杀——蒙蒂略前场直传，张思鹏出击，刘彬彬突破调整好脚法推射空门球进，3-2
