1'上半场比赛开始！！                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
73'罗马准备也是错过了一次机会                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
73'皇马右路起球送后点                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
73'C罗头球顶远点                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
74'也是差了一点点啊                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
86'0-2！！！                   86'第86分钟，摩德里奇反击传球，赫塞突入禁区右侧距门13米处低射穿过迪涅裆下入远角，2比0
86'赫塞！！                   86'第86分钟，摩德里奇反击传球，赫塞突入禁区右侧距门13米处低射穿过迪涅裆下入远角，2比0
87'赫塞右路带球突破进了禁区，突然低射远端，斯琴斯尼扑救不及啊！                   86'第86分钟，摩德里奇反击传球，赫塞突入禁区右侧距门13米处低射穿过迪涅裆下入远角，2比0
87'罗马换人，弗洛伦齐下，托蒂上！                   86'第86分钟，摩德里奇反击传球，赫塞突入禁区右侧距门13米处低射穿过迪涅裆下入远角，2比0
88'罗马丢的第二个球有些伤士气                   86'第86分钟，摩德里奇反击传球，赫塞突入禁区右侧距门13米处低射穿过迪涅裆下入远角，2比0
89'皇马换人，C罗下，卡塞米罗上！                   86'第86分钟，摩德里奇反击传球，赫塞突入禁区右侧距门13米处低射穿过迪涅裆下入远角，2比0
