7'胡尔克拿球反击，顾操回防，战术犯规，勾倒了胡尔克                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
52'胡尔克和奥斯卡站在球前！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
52'球进了，1-1！！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
52'胡尔克的任意球直接破门！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
53'胡尔克原地直接右脚任意球轰门，越过人墙，直接窜入球门左上角！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
53'这球的球速太快了，吴龑毫无反应啊！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
54'多奇卡尔前场拿球，摆脱蔡慧康的逼抢                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
54'禁区弧顶起脚远射，打在了队友冯卓毅的身上                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
54'边裁举旗，冯卓毅的越位在先！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
54'艾哈迈多夫中场的过顶球到禁区                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
55'陈灏的卡位，胡尔克刹车不及，撞翻了陈灏                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
55'陈灏也是和出击的吴龑撞在一起！！                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
56'胡尔克的身体太强壮，陈灏貌似撞在了坦克上                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
57'上港前场进攻，奥斯卡的机会，可惜犹豫了，射门没什么力量                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
57'巴索戈前场拿球，强突被贺惯放倒在地！！                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
57'建业获得前场左路的任意球机会！！                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
57'巴索戈任意球斜传禁区，被解围！！                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
58'多奇卡尔左路拿球，再传禁区，被贺惯头球解围                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
58'胡尔克外围拿球，被放倒！！                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
58'胡尔克快发任意球，多奇卡尔干扰                   55'第55分钟武磊前场断球后分到左侧，吕文君起脚就打，但球被吴龑挡出
59'主裁判给多奇卡尔出示了黄牌警告！！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
59'王燊超前场左路拿球，强突下底                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
59'传中到后点，武磊的头球，顶偏！！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
59'巴索戈前场拿球，被魏震放倒在地！！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
60'上港中场抢断，奥斯卡的过顶球                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
60'2-1！！！武磊！！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
61'奥斯卡中场过顶打身后，武磊前插接应，单刀赴会，面对吴龑，小禁区右上角的推射，穿了吴龑的小门进网！！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
61'奥斯卡中圈拿球，分球右侧给到张一                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
61'张一是下半场一开始被换上，换下了蔡慧康！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
62'张一右路强突，横传武磊                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
62'武磊再给中间的奥斯卡，起脚打门，被后卫挡出！！                   59'第59分钟上港再次打出快速反击，奥斯卡在中圈附近传出身后球，武磊摆脱后卫干扰，单刀杀入禁区，吴龑出击，武磊射门打出穿档球，2比1，上港领先
61'奥斯卡中场过顶打身后，武磊前插接应，单刀赴会，面对吴龑，小禁区右上角的推射，穿了吴龑的小门进网！！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
61'奥斯卡中圈拿球，分球右侧给到张一                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
61'张一是下半场一开始被换上，换下了蔡慧康！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
62'张一右路强突，横传武磊                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
62'武磊再给中间的奥斯卡，起脚打门，被后卫挡出！！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
63'建业换人：29号杜长杰上，换下了2号龙成！！！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
63'杜长杰右路拿球，强突内切                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
64'遭遇夹击，球被魏震破坏出底线！！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
64'建业获得了右侧角球机会！！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
64'多奇卡尔角球开出到门前！！                   61'第61分钟上港险些打进第三球，但奥斯卡中路射门轻得不可思议，被吴龑成功接住来球
67'胡尔克右路拿球内切，路尧放铲，将球破坏出边线！！                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
67'冯卓毅前场左路内切横传                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
67'球被挡了出来，冯刚外围再拿                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
68'回传给到多奇卡尔，再给过顶球，直接出底线！！                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
68'武磊前场右路拿球，内切到禁区                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
69'起脚打门，被挡出！！                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
69'吕文君禁区左侧再补，太正，被吴龑拿到！！                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
70'冯卓毅前场中路拿球，分球右侧多奇卡尔                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
70'多奇卡尔内切，摆脱王燊超，起脚打门，打在边网上！！                   67'第67分钟胡尔克禁区中路强行转身射门，球打在防守队员身上弹到另一侧，吕文君抢射又被吴龑扑出
74'胡尔克倒地，摸摸自己的后脑勺！！                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
74'巴索戈前场中路拿球，分球左侧给柯钊                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
74'柯钊不停球，横传多奇卡尔                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
75'多奇卡尔迎球打门，打在冯刚身上弹回！！                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
75'多奇卡尔凌空再射，颜骏凌侧扑封堵出来！！                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
76'上港前场进攻，武磊的打门，被挡出！                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
76'柯钊这边受伤倒地，上港球员将球踢出边线！！                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
77'柯钊简单处理后，起身继续比赛！！                   74'第74分钟多奇卡尔乱战中接杜长杰回做球，直接起左脚凌空怒射，颜骏凌飞身把球打出
79'冯刚右路拿球，内切打门，被挡出！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
79'武磊前场拿球，分球胡尔克                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
79'胡尔克强突，路尧放铲犯规！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
80'路尧被主裁判出示了黄牌警告！！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
80'上港再进一球！！3-1！！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
80'奥斯卡的进球！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
81'武磊前场右路拿球，横传胡尔克，再给左侧的奥斯卡，奥斯卡带球进禁区，起脚抽射，打进！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
82'上港换人：21号于海上，换下了11号吕文君！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
82'于海左路强突，将球趟出了边线！！                   79'第79分钟路尧中圈附近对胡尔克连推带铲吃到黄牌
81'武磊前场右路拿球，横传胡尔克，再给左侧的奥斯卡，奥斯卡带球进禁区，起脚抽射，打进！！                   81'第81分钟吕文君被于海换下
82'上港换人：21号于海上，换下了11号吕文君！！                   81'第81分钟吕文君被于海换下
82'于海左路强突，将球趟出了边线！！                   81'第81分钟吕文君被于海换下
87'冯刚前场中路拿球，强突直塞送禁区，冯卓毅插上拿球，劲射破门！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
88'冯卓毅和巴索戈被换下，换上龙威和陈子介！！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
88'上港前场进攻，赢得中路的任意球机会！！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
89'胡尔克任意球直接轰门，穿过人墙！！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
89'直奔球门，被吴龑倒地没收！！！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
89'于海左路拿球，强突横传                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
89'胡尔克禁区外的远射，吴龑将球封堵！！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
90'冯刚前场中路拿球，强突被放倒在地！！                   87'第87分钟上港再获得禁区前沿任意球机会，胡尔克打出急坠电梯球，但这次被吴龑成功扑出
49'吕文君脚后跟回敲，奥斯卡跟进，迎球怒射，打偏！！                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
50'冯卓毅前场中路拿球，强突遭遇夹击                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
50'一脚直塞打身后，球到禁区                   49'比赛补时4分钟，第91分钟上港传球入禁区，胡尔克准备开打，顾操将其踢倒，点球
