1'上半场比赛开始！！                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
15'争抢头球的时候似乎是碰到了面部                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
15'克洛普也是利用暂停的时间赶紧把队员叫过来                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
18'斯托克城这边获得角球机会                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
18'角球送前点被顶出                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
18'沃尔特斯禁区弧顶拿球分到右路                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
18'禁区内斯托克城有机会                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
19'禁区内推射被米尼奥莱扑出                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
19'二点克劳奇这边有打空门的机会                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
19'慢了半拍啊                   18'斯托克城第18分钟险些扩大比分，乔-艾伦突入禁区右侧低射被米尼奥莱扑出，但克劳奇错过补射空门机会
34'马内被叫到场边                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
34'克洛普也是交代了几句                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
35'马内右路拿球到了禁区                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
35'1-1！！！                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
35'拉拉纳！！！                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
36'马内右路接球后到了禁区，轻轻推了一下给到拉拉纳，拉拉纳停球下来角度很小，几乎是0角度的推射远角破门得分！！                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
36'利物浦也是先扳平了比分                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
36'裁判这边掏牌了                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
36'给了乔阿伦一张黄牌！                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
36'乔阿伦边路上抢凶狠的放倒了维纳尔杜姆                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
37'今天杰拉德也是来到了比赛现场                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
37'米尔纳禁区外围远射一脚                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
37'效果上并不理想                   34'利物浦第34分钟扳平，马内右路传中被挡，拉拉纳小禁区右侧小角度劲射破门，1-1
44'米尔纳第一下没有控制住                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
44'2-1！！！                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
44'菲尔米诺！！！                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
45'米尔纳左路拿球给到禁区，菲尔米诺接球后稍作调整，低射远角，球击中远端立柱后反弹到另一侧立柱内侧后弹入球网！！                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
45'这球也是比较运气啊                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
45'利物浦在上半场结束前反超了比分                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
46'上半场补时3分钟！！                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
46'利物浦中场拿球控一下                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
46'拉拉纳拿球被侵犯                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
47'马内禁区内接球                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
47'起左脚推射一脚                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
47'球擦着立柱出了底线                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
46'下半场比赛开始！！                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
46'下半场比赛由斯托克城开球                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
47'中场休息的时候双方都没有进行人员调整                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
47'维纳尔杜姆边路拿球回敲                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
47'亨德森中场上抢犯规                   44'利物浦第44分钟反超比分，米尔纳传球，菲尔米诺禁区左肋14码处低射，皮球击中右侧立柱又打中左侧立柱内侧入网，2-1
59'3-1！！                   59'利物浦第59分钟扩大比分，因布拉头球解围，亨德森前场断球后突破直传，奥里吉禁区左侧传中，防守马内的因布拉近距离将皮球捅入自家大门，3-1
60'亨德森前场送直塞给到左路，奥里吉接球横敲到远端门柱，后卫这边解围不慎将球碰到自家球门！！                   59'利物浦第59分钟扩大比分，因布拉头球解围，亨德森前场断球后突破直传，奥里吉禁区左侧传中，防守马内的因布拉近距离将皮球捅入自家大门，3-1
60'打进乌龙的是因布拉                   59'利物浦第59分钟扩大比分，因布拉头球解围，亨德森前场断球后突破直传，奥里吉禁区左侧传中，防守马内的因布拉近距离将皮球捅入自家大门，3-1
61'这球因布拉不碰的话马内也能将球捅进球门                   59'利物浦第59分钟扩大比分，因布拉头球解围，亨德森前场断球后突破直传，奥里吉禁区左侧传中，防守马内的因布拉近距离将皮球捅入自家大门，3-1
70'奥里吉下，斯图里奇上！                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
70'利物浦是连换两人                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
70'也是为下一轮的联赛留力了                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
70'4-1！！！                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
71'斯图里奇！！！                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
71'斯托克城后场回敲直接给到了斯图里奇，斯图里奇禁区内晃过门将后推射空门得分！！                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
71'这球斯托克城也是送上一份大礼                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
72'利物浦大范围转移出界                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
73'利物浦后场拿球给到边路                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
73'边路拿球给到斯图里奇                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
73'斯图里奇禁区内挑传被后卫头球解围                   70'第70分钟，肖克罗斯回传失误，斯图里奇晃过门将入空门，4-1
