1'上半场比赛开始了                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
56'前场左路！！拉拉纳带球一条龙！！一脚起球传中！！这球被钱伯斯头球解围！！外围维纳尔杜姆头球一顶！！边上斯图里奇把球分给左边的拉拉纳！！拉拉纳带球突入禁区！！到了小禁区左侧！！一脚劲射！！皮球直入球门！！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
56'现在利物浦3-0大比分领先了                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
57'米利奥莱！！单拳把球击出！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
57'禁区前沿位置！！库蒂尼奥外围突施冷箭！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
57'呼呼呼呼呼呼！！皮球直取球门！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
58'皮球到了外围双方拼抢！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
58'bibibibi~~ 裁判一声哨响！！示意利物浦队员抢球犯规！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
58'双方拼抢！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
58'bibibibi~~ 裁判一声哨响！！示意米尔纳后场抢球犯规了！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
58'米堡前场右路的定位球！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
59'皮球到了中圈弧附近！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
59'克莱恩把球拿到！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
59'拉拉纳！！把球再给左路的米尔纳！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
59'米尔纳一记摆渡！！皮球来到了右侧！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
