6'威克姆为桑德兰在右路,赢得一个任意球.                   6'第6分钟，亚当-约翰逊右侧开出任意球，奥谢在门前7米处顶出弹地球偏出右门柱
28'曼城阿圭罗受伤倒地,比赛暂停                   28'第28分钟，阿圭罗禁区右侧被布朗铲倒表情痛苦，主裁判阿特金森无动于衷，慢镜显示布朗鞋底踹到阿圭罗右脚踝上，桑德兰打出反击，博里尼在门前25米处低射偏出左门柱
29'暂停结束,球员们重新开始比赛.                   28'第28分钟，阿圭罗禁区右侧被布朗铲倒表情痛苦，主裁判阿特金森无动于衷，慢镜显示布朗鞋底踹到阿圭罗右脚踝上，桑德兰打出反击，博里尼在门前25米处低射偏出左门柱
31'博里尼将球处理出底线,曼城获得角球.                   28'第28分钟，阿圭罗禁区右侧被布朗铲倒表情痛苦，主裁判阿特金森无动于衷，慢镜显示布朗鞋底踹到阿圭罗右脚踝上，桑德兰打出反击，博里尼在门前25米处低射偏出左门柱
43'曼城球员科拉罗夫球门左侧小角度尝试左脚射门,可惜皮球偏出球门.给他传球的是纳斯里.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+1'马科斯-阿隆索为桑德兰赢得一个任意球.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+1'曼城球员内格雷多拼抢犯规,对手获得控球权.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+2'桑德兰球员约翰逊大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是贝尔吉尼.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+2'桑德兰球员布朗拼抢犯规,对手获得控球权.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+2'内格雷多为曼城在对方半场,赢得一个任意球.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+5'曼城球员纳斯里大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是费尔南迪奥.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
45'+5'上半场结束,曼城 1-0 桑德兰,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，阿圭罗禁区左侧突破奥谢和维克汉姆夹防倒地，阿特金森没有中断比赛，曼城继续进攻，科拉罗夫突入禁区左侧小角度抽射偏出近门柱
63'桑德兰球员科尔巴克拼抢犯规,对手获得控球权.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
63'哈维-加西亚为曼城在右路,赢得一个任意球.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
64'射门!!!曼城球员约维蒂奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是纳斯里.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
64'马科斯-阿隆索为桑德兰赢得一个任意球.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
64'曼城球员内格雷多拼抢犯规,对手获得控球权.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
65'桑德兰球员马科斯-阿隆索拼抢犯规,对手获得控球权.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
65'米尔纳为曼城在右路,赢得一个任意球.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
65'黄牌！桑德兰球员马科斯-阿隆索因为恶意犯规,被主裁判出示黄牌.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
65'曼城球员约维蒂奇大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是纳斯里.                   63'第63分钟，约维蒂奇穿裆过掉卡特莫尔，但没能打上力量，曼诺内轻松拿到
69'曼城换人,哲科换下内格雷多                   69'第69分钟，维克汉姆传球，布朗争顶偏出
69'桑德兰换人,Ignacio Scocco换下博里尼                   69'第69分钟，维克汉姆传球，布朗争顶偏出
69'桑德兰球员布朗大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是威克姆.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
70'马科斯-阿隆索为桑德兰赢得一个任意球.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
70'曼城球员米尔纳拼抢犯规,对手获得控球权.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
71'马科斯-阿隆索为桑德兰赢得一个任意球.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
71'曼城球员米尔纳拼抢犯规,对手获得控球权.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
72'射门!!!桑德兰球员科尔巴克球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是约翰逊.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
72'乔哈特将球处理出底线,桑德兰获得角球.                   69'第69分钟，维克汉姆传球，布朗争顶偏出
77'曼城球员约维蒂奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是费尔南迪奥.                   77'第77分钟，约维蒂奇远射偏出右门柱
79'桑德兰球员科尔巴克拼抢犯规,对手获得控球权.                   77'第77分钟，约维蒂奇远射偏出右门柱
79'约维蒂奇为曼城在左路,赢得一个任意球.                   77'第77分钟，约维蒂奇远射偏出右门柱
79'曼城球员约维蒂奇大禁区中央右脚射门,被防守球员封堵.给他传球的是费尔南迪奥.                   77'第77分钟，约维蒂奇远射偏出右门柱
80'曼城球员哲科大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是科拉罗夫.                   77'第77分钟，约维蒂奇远射偏出右门柱
80'曼城球员哲科大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是科拉罗夫.                   80'第80分钟，科拉罗夫左路突破3名后卫底线回敲，哲科左脚推射偏出近门柱
82'桑德兰球员科尔巴克拼抢犯规,对手获得控球权.                   80'第80分钟，科拉罗夫左路突破3名后卫底线回敲，哲科左脚推射偏出近门柱
82'米尔纳为曼城在右路,赢得一个任意球.                   80'第80分钟，科拉罗夫左路突破3名后卫底线回敲，哲科左脚推射偏出近门柱
83'布朗将球处理出底线,曼城获得角球.                   80'第80分钟，科拉罗夫左路突破3名后卫底线回敲，哲科左脚推射偏出近门柱
83'进球啦！！！桑德兰球员威克姆大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是贾凯里尼. 曼城 1-2 桑德兰.                   80'第80分钟，科拉罗夫左路突破3名后卫底线回敲，哲科左脚推射偏出近门柱
56'桑德兰球员马科斯-阿隆索拼抢犯规,对手获得控球权.                   55'，维克汉姆10分钟打进2球，已超过他此前37场英超的进球总数
56'萨巴莱塔为曼城赢得一个任意球.                   55'，维克汉姆10分钟打进2球，已超过他此前37场英超的进球总数
57'曼城换人,约维蒂奇换下阿圭罗                   55'，维克汉姆10分钟打进2球，已超过他此前37场英超的进球总数
90'曼城球员纳斯里大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是约维蒂奇.                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
90'+1'德米凯利斯将球处理出底线,桑德兰获得角球.                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
90'+2'Ignacio Scocco为桑德兰赢得一个任意球.                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
90'+2'曼城球员萨巴莱塔拼抢犯规,对手获得控球权.                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
90'+2'黄牌！曼城球员萨巴莱塔因为恶意犯规,被主裁判出示黄牌.                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
90'+3'桑德兰球员奥谢一脚直塞球给威克姆,但是边裁举旗显示后者已经越位.                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
90'+5'下半场结束,曼城 2-2 桑德兰                   90'第90分钟，第90分钟，曼城制造禁区乱战，纳斯里接到约维蒂奇做球，在门前8米处左脚推射掠过横梁
