5'小禁区附近埃弗顿破坏出底线！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
22'挑传至禁区！右侧米拉拉斯调整一下！右脚起脚抽射！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
22'德赫亚侧扑将球挡出底线！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
22'右侧角球！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
23'吊向禁区！贾吉尔卡中路！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
23'倒钩！进了！！！！！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
24'埃弗顿首开记录！！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
24'让我们继续看比赛！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
24'中场林加德拿到！斜传左侧伊布！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
25'低平直塞向前！被贾吉尔卡拦截下来！一脚开出去！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
25'中圈卡里克拿到！直传前场中路！                   22'埃弗顿第22分钟取得领先，盖耶长传，米拉拉斯禁区右侧小角度射门被德赫亚堵出近角
30'禁区前点！还是卢卡库出脚解围！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
30'外围拼抢！米拉拉斯犯规！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
30'大禁区外右侧定位球机会！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
31'布林德直接兜一脚弧线！霍埃尔侧扑出去！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
31'禁区右侧埃雷拉补射！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
31'横梁啊。。。。                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
31'埃弗顿门球！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
32'中圈罗霍拿到！给身前拜利！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
33'再分右路阿什利杨！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
33'往前突！回敲中路卡里克！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
33'转移到左路林加德！再低平球往前给！失误了！                   30'曼联第30分钟险些扳平，米拉拉斯禁区前无球跑动时拉人犯规，布林德任意球直接射门，罗布莱斯勉强扑挡后撞上立柱，埃雷拉小角度补射空门却击中横梁弹出
94'给到中圈附近！犯规了！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'前场右路博格巴往前带一步！直接被贝恩斯断了！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'低平球给中路贝恩斯！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'再分前场巴克利！遭遇围抢！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'卡里克把球断下！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'右路埃雷拉横敲给身旁林加德！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'直塞禁区！贾吉尔卡大脚破坏！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'前场右路伊布拿到！横敲小禁区右侧！威廉姆斯一脚拦截！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'外围左路阿什利杨拿到！往前突！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'大禁区左侧被放倒了！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'犯规了！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
97'曼联外围定位球！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
97'后点！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
97'霍埃尔出击拿到！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
97'大脚开出去！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'裁判没吹犯规啊！门球！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'中圈姆希塔良拿下来！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'直接起球到禁区！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'威廉姆斯前点解围！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
94'大禁区外卢克肖直接射一脚！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'还是威廉姆斯拦截下来！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'打在了威廉姆斯手上！！！！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'点球！！！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'裁判给了点球！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
95'伊布主罚！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'助跑！进了！稳稳罚入球门右侧！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'绝杀扳平！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
96'裁判也直接吹响了全场比赛结束的哨音！                   94'曼联第94分钟扳平比分，阿什利-威廉姆斯小禁区边缘用手封堵卢克-肖射门被红牌罚下，伊布主罚点球命中，1-1
