16'图维尔发门球出来                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
70'法布雷加斯过顶长传到禁区右侧，威廉前插脚后跟传球                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
70'中路莫拉塔跟进推射打进！                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
71'法布雷加斯挑传，威廉是头球后蹭，莫拉塔顺势打球门上方球进！                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
71'时隔一年，莫拉塔再次打进欧战进球                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
72'菲奥拉控球交给尼戈，传中，被克里斯滕森解围                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
72'阿扎尔左路带球，交给埃默森                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
72'回传给阿扎尔                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
72'变向过人，连续过人，交给巴克利                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
72'打门击中了朱斯斯                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
72'球了底线                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
73'阿扎尔发前点，巴克利后蹭被解围                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
73'萨帕科斯塔外围远射打在斯托皮拉脚跟出底线                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
73'战术角球                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
73'威廉杀入禁区被破坏                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
73'米拉诺夫带球，威廉与埃默森夹击，埃默森犯规                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
76'转移给克里斯滕森                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
76'交给阿扎尔                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
76'再交给埃默森                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
76'直传，菲奥拉将球铲出底线                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
76'这球应该是铲到脚了                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
76'主裁判给了任意球，靠近底线的任意球                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
77'阿扎尔轻搓前点                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
77'巴克利狮子摇头，顶到了横梁                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
78'维迪奥顿换人，10号科瓦茨换下了9号胡斯蒂                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
78'萨帕科斯塔直传，阿扎尔转移给埃默森                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
78'直传，直接交给了图维尔                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
79'法布雷加斯拿球，交给巴克利                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
79'分左侧的埃默森                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
79'回给阿扎尔                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
79'斜塞被维尼修斯破坏                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
79'尼科洛夫左路得球交给斯托皮拉，摩西将球破坏出边线                   76'第76分钟，阿扎尔左路任意球传中，巴克利前点近距离头球攻门打中横梁
