1'比赛开始了，西布朗率先开球                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
31'阿扎尔这下伤的不轻啊，不过是硬伤，没什么大问题                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
31'定位球长传过来                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
31'埃文斯头球解围                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
31'左侧卡希尔拿球，在给到佩刀，尼奥姆拉人犯规                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
76'阿隆索给到坎特，分左侧路易斯，在给小法                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
76'中路给马蒂奇，搓起来，，未能够过顶啊，被解围出去                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
76'右侧坎特交给身前威廉，带到禁区边缘                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
76'换到左脚，搓起来，第一点被解围                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
77'小法得球，在给阿斯皮利奎塔，传中被埃文斯挡出底线                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
77'右侧角球，送到门前                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
77'双方拼抢造成混乱，但最后被福斯特没收                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
77'切尔西终于是打破了僵局                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
78'刚刚上场的小法送出助攻，科斯塔的得分                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
79'小法右侧交给科斯塔，科斯塔内切突破扛开麦考利，禁区右肋小角度爆射轰入上角                   76'切尔西第76分钟打破僵局，小法前传，科斯塔抢断麦考利后切入禁区右侧10码处劲射远角入网
