1'上半场比赛开始！！                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
46'.下半场比赛开始！！                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'皇家社会来开球                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
47'巴萨后场大脚出球                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
47'直接出了边线                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
62'控球上巴萨还是占据一定的优势                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
62'皇家社会前场送直塞到禁区                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
62'1-1！！！                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
62'胡安米！！                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
63'皇家社会前场送直塞给到禁区，巴萨后卫转身慢了，胡安米高速前插后面对门将倒地滑铲破门！！                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
63'两队的比分来到了1-1                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
63'巴萨中圈重新开球                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'梅西中场拿球转过身来                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'将球分到左侧                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'巴萨连续的配合                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'到了禁区里                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'2-1！！！                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'阿尔巴！！！                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
64'巴萨马上再次超出比分                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
65'梅西前场拿球分左侧，阿尔巴接球到了禁区里，一个内切后推射远角破门！！                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
65'登贝莱似乎出现在了射门的轨迹上                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
65'裁判也是跟VAR来核实一下进球是否有效                   62'皇家社会第62分钟扳平，梅里诺送出直传，反越位成功的胡安米小禁区前扫射入网，1-1
