2'皇马边线发球给右路萨乌尔！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
44'继续比赛！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'莫拉塔分球给中场右路阿里亚斯！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'阿里亚斯的球被克罗斯抢断！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'挑传球给前场中路！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'戈丁回防把球断下来！分球身边的埃尔南德斯！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'长传球到前场右侧！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'科雷亚把球卸下来！横做给禁区内莫拉塔！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
45'回传跟进禁区的科雷亚！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
54'库尔图瓦开球给中场左侧！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
54'克罗斯摆渡下来！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
54'希门尼斯把球拦截！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
54'反击长传球给前场中路！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
54'莫拉塔插上得球！！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
54'禁区外围右侧起脚打门！！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
55'GOOOOOOOOOOAL！！！球进了！！！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
55'但是主裁判要听取视频助理裁判的意见！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
56'这球最终是确认莫拉塔越位接球！进球无效！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
57'皇马换人，维尼修斯换下贝尔！                   54'第54分钟，格列兹曼直传，莫拉塔单刀突破至禁区边缘挑射破门，但因越位在先被判无效
74'皇马开球给中场左侧！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
74'戈丁把球破坏！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
74'格列兹曼得球推进！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
74'回传给身后的阿里亚斯！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'再给中场右路托马斯！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'分球被贝尔抢断！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'贝尔给前场中路本泽马！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'再给身边的莫德里奇！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'斜传球给前场左路贝尔！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'贝尔带球内切！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'禁区内推射打门！！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'GOOOOOOOOOOOOOAL！球进了！！！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
75'贝尔的破门！皇马3比1领先马竞！                   74'皇马第74分钟扩大比分，摩德里奇反击中斜传，贝尔突入禁区左侧8码处斜射远角入网，3-1
80'克罗斯回给中路卡塞米罗！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
80'低平球给前场本泽马！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
80'倒脚给身后的莫德里奇！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
81'莫德里奇的分球被比托洛拦截！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
81'再给中场左路的埃尔南德斯！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
81'托马斯争抢犯规！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
81'裁判过来！掏出了一张黄牌！但是两黄变一红！托马斯被罚下！                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
83'球场边已经有马竞球迷退场了。                   80'马竞第80分钟遭遇打击，托马斯对克罗斯犯规累计两张黄牌被罚下
