6'尼古拉-穆勒为美因茨在对方半场,赢得一个任意球.                   6'开场6分钟，盖斯任意球长传，贝尔头球高出
44'进球啦！！！美因茨球员帕克大禁区中央右脚射门,球从中路飞进球门,球进了! 拜仁慕尼黑 0-1 美因茨.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'拜仁慕尼黑球员穆勒大禁区中央左脚射门,被防守球员封堵.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+1'美因茨球员诺韦斯基拼抢犯规,对手获得控球权.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+1'罗本为拜仁慕尼黑在右路,赢得一个任意球.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+1'拜仁慕尼黑球员穆勒大禁区中央左脚射门,被防守球员封堵.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+1'胡里奥-迪亚斯将球处理出底线,拜仁慕尼黑获得角球.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+2'拜仁慕尼黑球员罗本大禁区外左脚射门,被防守球员封堵.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+2'美因茨球员盖斯大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是波斯皮耶赫.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'+3'上半场结束,拜仁慕尼黑 0-1 美因茨,稍事休息,我们一会来看看下半场两队的表现.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
45'拜仁慕尼黑换人,格策换下拉菲尼亚                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
47'拜仁慕尼黑球员曼朱基齐大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿拉巴.                   44'拜仁第44分钟首先失球，帕克中线起动接应鲍姆加特林格后场长传，博阿滕凌空解围却外脚背垫给帕克，帕克单刀突入禁区趟过出击的诺伊尔，在右侧距门9米处小角度推入近角，1比0
47'拜仁慕尼黑球员曼朱基齐大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿拉巴.                   47'第47分钟，阿拉巴传中，曼朱基奇推射偏出左门柱
50'进球啦！！！拜仁慕尼黑球员罗本大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是格策. 拜仁慕尼黑 1-1 美因茨.                   47'第47分钟，阿拉巴传中，曼朱基奇推射偏出左门柱
47'拜仁慕尼黑球员曼朱基齐大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿拉巴.                   47'仅过2分钟，拉姆右路传中，格策前点回做，罗本捅给中路的穆勒，穆勒在门前9米处推进右下角，拜仁2比1反超
50'进球啦！！！拜仁慕尼黑球员罗本大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是格策. 拜仁慕尼黑 1-1 美因茨.                   47'仅过2分钟，拉姆右路传中，格策前点回做，罗本捅给中路的穆勒，穆勒在门前9米处推进右下角，拜仁2比1反超
66'美因茨球员尼古拉-穆勒大禁区右侧右脚射门,被防守球员封堵.给他传球的是盖斯.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
66'阿拉巴将球处理出底线,美因茨获得角球.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
66'射门!!!美因茨球员舒波-莫廷大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是帕克.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
66'拉姆将球处理出底线,美因茨获得角球.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
67'美因茨球员舒波-莫廷大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是盖斯.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
67'美因茨换人,莫里茨换下鲍姆加特林格                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
68'美因茨球员莫里茨大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是尼古拉-穆勒.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
69'进球啦！！！拜仁慕尼黑球员曼朱基齐大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是格策. 拜仁慕尼黑 3-1 美因茨.                   66'第66分钟，美因茨打出精妙角球配合，帕克底线回挑，舒波-莫廷在门前9米处凌空抽射被诺伊尔托出底线，角球开出后，舒波-莫廷头球偏出右门柱
69'进球啦！！！拜仁慕尼黑球员曼朱基齐大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是格策. 拜仁慕尼黑 3-1 美因茨.                   69'第69分钟，穆勒直传禁区右侧，格策回敲中路，曼朱基奇在门前9米处推射入网，3比1
70'射门!!!拜仁慕尼黑球员克罗斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗本.                   69'第69分钟，穆勒直传禁区右侧，格策回敲中路，曼朱基奇在门前9米处推射入网，3比1
70'韦特克洛将球处理出底线,拜仁慕尼黑获得角球.                   69'第69分钟，穆勒直传禁区右侧，格策回敲中路，曼朱基奇在门前9米处推射入网，3比1
71'拜仁慕尼黑球员穆勒大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是克罗斯.                   69'第69分钟，穆勒直传禁区右侧，格策回敲中路，曼朱基奇在门前9米处推射入网，3比1
72'美因茨球员贝尔拼抢犯规,对手获得控球权.                   69'第69分钟，穆勒直传禁区右侧，格策回敲中路，曼朱基奇在门前9米处推射入网，3比1
72'格策为拜仁慕尼黑赢得一个任意球.                   69'第69分钟，穆勒直传禁区右侧，格策回敲中路，曼朱基奇在门前9米处推射入网，3比1
77'尼古拉-穆勒为美因茨在对方半场,赢得一个任意球.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
77'拜仁慕尼黑球员基希霍夫拼抢犯规,对手获得控球权.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
77'黄牌！拜仁慕尼黑球员基希霍夫因为恶意犯规,被主裁判出示黄牌.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
78'射门!!!美因茨球员盖斯大禁区外右脚射门,被对方守门员横身扑出.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
78'帕克为美因茨在对方半场,赢得一个任意球.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
78'拜仁慕尼黑球员克罗斯拼抢犯规,对手获得控球权.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
79'美因茨换人,扎勒换下帕克                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
79'阿拉巴将球处理出底线,美因茨获得角球.                   77'第77分钟，基希霍夫对尼科莱-穆勒犯规吃到黄牌
81'美因茨球员诺韦斯基犯规,致使对方获得点球.                   81'第81分钟，罗本挑传禁区左侧，小猪被身后的诺韦斯基推倒，点球
81'点球,施魏因斯泰格在禁区内被侵犯,拜仁慕尼黑获得点球.                   81'第81分钟，罗本挑传禁区左侧，小猪被身后的诺韦斯基推倒，点球
82'进球啦！！！拜仁慕尼黑球员穆勒右脚射门,球从左下角飞进球门,球进了! 拜仁慕尼黑 4-1 美因茨.                   81'第81分钟，罗本挑传禁区左侧，小猪被身后的诺韦斯基推倒，点球
