7'天津泰达的进攻，赢得角球机会                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
60'可惜球过人未过，再次争抢时乌塔卡被吹拉人犯规啦                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
69'乌塔卡前插接应，可惜还是慢了，被宗磊出击拿到                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
69'李本舰中场拿球，和上抢的查尔顿争抢                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
69'李本舰在出球后勾倒了查尔顿，主裁判吹罚了李本舰的犯规                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
69'这球泰达球员很不满，不过无力改变                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
70'泰达进球啦！！！                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
70'胡人天的左脚撩射，打进！！！                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
71'申鑫中场失误，王新欣拿球反击，王新欣禁区外左脚挑传禁区，孙凯冒顶，乔尼转身再踢，踢空，球落在胡人天脚下，后者左脚撩射打进球门左上角！！！                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
72'阿里汗在场上争抢中受伤了，在队医陪伴下一瘸一拐的出场了                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
72'李玮峰在场边做着热身，准备出场啦                   69'第69分钟攻势占优的泰达终于进球，先是申鑫左后卫孙凯助攻传中被泰达队拿住球权，接着泰达队快攻到前场，王新欣禁区外起左脚撮传，快速回防的雅伊尔顿飞身解围没踢到球，而且他还阻挡了乔尼的补防，无人干扰的胡人天近距离左脚推远角得分，1比0，天津泰达领先
73'泰达被迫换人：李玮峰上，换下受伤的阿里汗                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
73'王赟前场拿球，直塞找右侧切入的姜嘉俊                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
73'聂涛回防，将球破坏出底线，角球                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
74'孙凯主罚，角球开出，第一点被泰达球员解围                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
74'于涛外围拿球，再次组织，胡人天上抢犯规                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
74'申鑫前场右路的任意球机会，孙凯主罚                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
74'孙凯任意球斜传禁区，乔尼脚后跟一个弹射，宗磊跪在门线上将球拿到                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
75'后卫线上的乔尼，做出了超级前锋的射门动作，厉害角色啊                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
76'安德烈齐尼奥左路拿球，横切，过度给到胡人天                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
76'胡人天和安德烈齐尼奥2过1，安德烈齐尼奥得球，直接起脚抽射                   73'第73分钟孙凯右路任意球开到禁区，乔尼很有想法的后脚跟射门可惜太正
79'吹停比赛后，乔尼跑过来向裁判示意，泰达球员拖延时间                   79'第79分钟申鑫用24号张煜东换下叶重秋
79'全场比赛79分钟，比分1-0，泰达领先                   79'第79分钟申鑫用24号张煜东换下叶重秋
80'申鑫中场传球失误，杜震宇抢断再传                   79'第79分钟申鑫用24号张煜东换下叶重秋
80'打在上来的唐家庶身上弹出了边线                   79'第79分钟申鑫用24号张煜东换下叶重秋
80'泰达又有球员倒在了地上，是进球的胡人天                   79'第79分钟申鑫用24号张煜东换下叶重秋
80'现场球迷也是嘘声一片，对于泰达球员的平凡倒地很不满啊                   79'第79分钟申鑫用24号张煜东换下叶重秋
81'申鑫第二个换人 ：24号张煜东上，换下13号叶重秋                   79'第79分钟申鑫用24号张煜东换下叶重秋
81'泰达的胡人天被担架抬出场外接受治疗，比赛继续                   79'第79分钟申鑫用24号张煜东换下叶重秋
82'张煜东前场拿球，强突禁区，犹豫中球被白岳峰回来破坏                   79'第79分钟申鑫用24号张煜东换下叶重秋
82'杨家威再抢，横传找乌塔卡，李玮峰伸脚解围出底线                   79'第79分钟申鑫用24号张煜东换下叶重秋
86'下半场比赛40分钟了，比分还是0-1，申鑫落后                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
86'申鑫第三次换人：20号王赟被换下，职业生涯300战谢幕，换上的是41号麦嘉健                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
87'杨家威右路的传中，泰达禁区内混战中                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
87'埃弗顿的攻门，被利马顶出                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
87'杜震宇前场左路拿球，斜传球，被申鑫球员破坏出底线                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
88'泰达的角球，开出到禁区，刘殿座出击将球拿到                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
88'刘殿座准备手抛球发动快攻，李玮峰干扰刘殿座出球                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
88'李玮峰被主裁判出示了黄牌警告！！！                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
88'这张黄牌有点自己找的意思啊                   85'第85分钟申鑫用麦嘉健换下王S，来自广东的麦嘉健实现中超处子秀
50'王赟中圈拿球，带了两步，挑传找杨家威                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
50'杨家威头球一顶，球刚好落在乌塔卡脚下                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
50'乌塔卡面对阿里汗，变向强突，可惜自己趟大啦                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
51'李本舰中圈拿球，直塞找到安德烈齐尼奥                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
51'安德烈齐尼奥拿球，横拨再给瓦伦西亚                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
51'瓦伦西亚虚晃一下，强突，分边左侧找杜震宇                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
52'结果传球传在了杜震宇身后                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
52'杜震宇转身再接，慢了点，球先出了边线                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
52'申鑫前场的进攻，赢得角球机会                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
52'这是下半场双方的第一个角球机会                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
53'战术角球开出，杨家威接应，进入禁区内脚底拉球横传                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
53'打在聂涛身上变向，被宗磊控制住                   50'比赛补时5分钟，第91分钟聂涛拖延时间也吃到黄牌
