1'比赛开始了，切尔西率先开球                   1'双方第1分钟均显得小心谨慎
46'科斯塔激情拥抱孔蒂，，科斯塔脸上的血印依旧清晰，变身刀疤男啊                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'德莱尼长传向前                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'摩西右路断下，自己往前走                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'中路横敲被卡巴耶断下                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'下半场开搞，水晶宫开球                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'扎哈回敲给丹恩，长传到前场                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'路易斯力压本特克头球顶出                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'界外球给到沃德，左侧传中进去                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
46'中路无人碰到，弹地之后飞出底线                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
84'德莱尼毫无疑问的吃到黄牌                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
84'中路定位球机会，射程内                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
84'阿隆索主罚，左脚暴走，绕过人墙，弧线球直奔右上角                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
84'嘭，，，击中横梁弹出                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
85'小法门前倒地补射，在后卫干扰下力量太小，被门将没收                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
85'阿扎尔左路遮天蔽日，继续冲                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
85'横拨中间科斯塔，在给到插上的阿隆索                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
86'左侧传中进去，禁区内又是小法，右脚弹射，被亨尼西没收                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
86'小法上来真活跃啊                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
86'这球裁判是先吹了小法的犯规，接传中球时候打手了                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
87'定位球开出，前场扎哈争顶被干翻。。左路前场水晶宫拿到定位球                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
87'汤森德主罚，送入禁区中央                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
87'第一点被伊万顶出                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
87'外围在给进来，小禁区前丹恩头球顶偏                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
87'库尔图瓦大脚开出                   84'第84分钟，阿隆索25码处任意球击中横梁弹回，卡希尔小禁区前头球攻门缺乏力量，亨尼西没收
