2'华夏后场断球给到右路                   2'第2分钟，阿洛伊西奥远射打偏
27'好危险啊                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
27'廖均健右路低平球送禁区，高准翼插上自己把球碰出底线                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
28'李提香前场干倒高准翼吃到一张黄牌                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
29'高准翼横敲姆比亚                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
29'再给到左路                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
40'李超后场失误送给对手一个边线球                   40'第40分钟，阿洛伊西奥在永昌禁区内突然转身摆脱，获得了小角度面对门将攻门的机会，但他的射门被关震封出
41'阿洛伊西奥禁区内得球，面对关震打门被关震胸口阻挡                   40'第40分钟，阿洛伊西奥在永昌禁区内突然转身摆脱，获得了小角度面对门将攻门的机会，但他的射门被关震封出
41'华夏右路定位球传前点被解围                   40'第40分钟，阿洛伊西奥在永昌禁区内突然转身摆脱，获得了小角度面对门将攻门的机会，但他的射门被关震封出
43'永昌后场分左路                   40'第40分钟，阿洛伊西奥在永昌禁区内突然转身摆脱，获得了小角度面对门将攻门的机会，但他的射门被关震封出
43'中圈打长传，杨程把球没收                   40'第40分钟，阿洛伊西奥在永昌禁区内突然转身摆脱，获得了小角度面对门将攻门的机会，但他的射门被关震封出
50'华夏右路打配合，姜宁右侧横传，被鲁本解围出边线                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
50'华夏破门                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
50'华夏右路传中，阿洛伊西奥中路抢点头球破门                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
51'阿洛伊西奥在庆祝踢倒角旗杆，自己又扶了起来                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
52'李春郁中场附近踢倒姆比亚吃到一张黄牌                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
52'姆比亚还倒在地上                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
53'鲁本右侧突破被居吕姆踢倒                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
53'鲁本以为是黄牌，没想到裁判掏了喷雾                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
53'马修斯任意球给到中路，禁区内被华夏球员解围                   50'第50分钟，河北华夏取得入球：廖均健右路送出斜传，阿洛伊西奥力压防守球员在门前头球破门
55'冯绍顺质疑对手假摔，居吕姆上来和冯绍顺顶撞被黄牌警告                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
56'马修斯突破倒地                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
56'裁判给了边线球                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
56'认为马修斯假摔                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
57'永昌换人，门迪替下毛里西奥                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
58'毛剑卿左路突破内切打门被封堵，马修斯跟进打门踢飞                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
58'毛剑卿左路再来，自己直接打门，擦着横梁飞出底线                   55'永昌阵型前提，场上火药味也明显提升，李春郁侵犯姆比亚领到黄牌；第55分钟，冯绍顺被判定侵犯阿洛伊西奥，冯绍顺不满判罚领到黄牌，居吕姆因上前推开冯绍顺的动作也领到黄牌
61'永昌左路进攻                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
61'直接起球到禁区，门迪头球攻门，角度稍正被杨程没收                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
62'阿洛伊西奥受伤倒在地上                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
62'阿洛伊西奥走到场边                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
63'李行后场被断球，反抢犯规吃到一张黄牌                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
64'马修斯右路定位球传后点，直接出了底线                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
64'杨程大脚开出门球                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
64'双方前场右路争顶，被踢出边线                   61'第61分钟，糜昊伦左路送出高质量传中，门迪禁区内甩头攻门角度过正，杨程将球没收
69'华夏前场中路送禁区，阿洛伊西奥禁区内回做，董学升打门偏出                   69'第69分钟，阿洛伊西奥禁区左侧向中路巧妙做球，董学升攻门打偏错过得分良机
70'华夏换人，热尔维尼奥替下姜宁                   69'第69分钟，阿洛伊西奥禁区左侧向中路巧妙做球，董学升攻门打偏错过得分良机
72'永昌左路传中被破坏                   69'第69分钟，阿洛伊西奥禁区左侧向中路巧妙做球，董学升攻门打偏错过得分良机
72'后场永昌控球                   69'第69分钟，阿洛伊西奥禁区左侧向中路巧妙做球，董学升攻门打偏错过得分良机
72'给到右路                   69'第69分钟，阿洛伊西奥禁区左侧向中路巧妙做球，董学升攻门打偏错过得分良机
72'门迪倒地了                   69'第69分钟，阿洛伊西奥禁区左侧向中路巧妙做球，董学升攻门打偏错过得分良机
78'毛剑卿禁区左侧打门被杨程扑出，禁区内华夏解围出禁区，鲁本外围远射被杨程扑出                   78'第78分钟，永昌扳平比分：毛剑卿左路劲射被杨程扑出，河北华夏防线解围不远，鲁本劲射又被杨程扑出，罗森文解围失误并手球犯规，被判定点球；马修斯操刀破门
78'罗森文禁区内手球送点                   78'第78分钟，永昌扳平比分：毛剑卿左路劲射被杨程扑出，河北华夏防线解围不远，鲁本劲射又被杨程扑出，罗森文解围失误并手球犯规，被判定点球；马修斯操刀破门
79'马修斯点球扳平比分                   78'第78分钟，永昌扳平比分：毛剑卿左路劲射被杨程扑出，河北华夏防线解围不远，鲁本劲射又被杨程扑出，罗森文解围失误并手球犯规，被判定点球；马修斯操刀破门
81'华夏左路丁海峰横传                   78'第78分钟，永昌扳平比分：毛剑卿左路劲射被杨程扑出，河北华夏防线解围不远，鲁本劲射又被杨程扑出，罗森文解围失误并手球犯规，被判定点球；马修斯操刀破门
81'永昌断球打反击，马修斯右路回敲                   78'第78分钟，永昌扳平比分：毛剑卿左路劲射被杨程扑出，河北华夏防线解围不远，鲁本劲射又被杨程扑出，罗森文解围失误并手球犯规，被判定点球；马修斯操刀破门
