7'射门!!!国际米兰球员胡安大禁区右侧头球,被对方守门员横身扑出.给他传球的是沙奇里.                   7'开场7分钟，沙奇里开出角球，小胡安后点头球被索伦蒂诺扑出底线
57'特尔奇将球处理出底线,国际米兰获得角球.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
58'康斯坦特将球处理出底线,国际米兰获得角球.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
59'国际米兰球员帕拉西奥大禁区中央左脚射门,被防守球员封堵.给他传球的是胡安.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
59'达普雷拉将球处理出底线,国际米兰获得角球.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
59'国际米兰球员拉诺齐亚球门线跟前头球,命中门柱横梁.给他传球的是沙奇里.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
60'国际米兰球员伊卡尔迪大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是沙奇里.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
64'Achraf Lazaar将球处理出底线,国际米兰获得角球.                   64'第64分钟，瓜林右路下底传中，帕拉西奥前点头球一蹭，伊卡尔迪在门前13米处抽射被后卫伸腿一挡入左下角，2比0
65'进球啦！！！国际米兰球员伊卡尔迪大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是帕拉西奥. 国际米兰 2-0 巴勒莫.                   64'第64分钟，瓜林右路下底传中，帕拉西奥前点头球一蹭，伊卡尔迪在门前13米处抽射被后卫伸腿一挡入左下角，2比0
66'达普雷拉为巴勒莫赢得一个任意球.                   64'第64分钟，瓜林右路下底传中，帕拉西奥前点头球一蹭，伊卡尔迪在门前13米处抽射被后卫伸腿一挡入左下角，2比0
66'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   64'第64分钟，瓜林右路下底传中，帕拉西奥前点头球一蹭，伊卡尔迪在门前13米处抽射被后卫伸腿一挡入左下角，2比0
66'巴勒莫换人,Andrea Belotti换下加拉洛                   64'第64分钟，瓜林右路下底传中，帕拉西奥前点头球一蹭，伊卡尔迪在门前13米处抽射被后卫伸腿一挡入左下角，2比0
88'进球啦！！！国际米兰球员伊卡尔迪球门线跟前头球,球从右上角飞进球门,球进了!助攻的是瓜林. 国际米兰 3-0 巴勒莫.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
89'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
89'国际米兰球员多多拼抢犯规,对手获得控球权.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
89'胡安将球处理出底线,巴勒莫获得角球.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
90'+1'巴勒莫球员巴斯克斯大禁区外左脚射门,被防守球员封堵.给他传球的是E-巴雷托.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
90'+1'巴勒莫球员巴斯克斯拼抢犯规,对手获得控球权.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
90'+1'拉诺齐亚为国际米兰赢得一个任意球.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
90'+3'巴勒莫球员巴斯克斯拼抢犯规,对手获得控球权.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
90'+3'梅德尔为国际米兰赢得一个任意球.                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
90'+4'下半场结束,国际米兰 3-0 巴勒莫                   88'第88分钟，瓜林禁区右侧变速过人底线传中，伊卡尔迪在门前4米处冲顶入远角，这是他本赛季联赛第13球，继续改写个人意甲单赛季进球纪录，本赛季意甲主场打进10球，排名第一
