1'比赛开始了，阿森纳率先开球                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
17'加布里埃尔中路冲刺，带的有点多啊                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
17'再分边路，给的不到位，维尔贝克拼抢对罗霍犯规                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
17'曼联左路进攻，挑传给德佩，传大了                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
29'马塔回做埃雷拉，中路再分右侧的巴雷拉                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
29'曼联进球了                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
30'18岁的小将，拉什福德。哇塞，曼联难道又挖掘了一个天才少年吗                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
30'此时此刻值得来杯嘉士伯                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
31'巴雷拉右侧45度斜吊禁区中央，科斯切尔尼前点冒顶，小禁区前的加布里埃尔解围不远，拉什福德后面跟上迎球怒射，势大力沉破网                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
31'小将拉什福德迎来英超处子球，在老大哥们停赛的情况下拉什福德迎来梦幻的一周                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
32'曼联越打越顺，禁区前沿小配合传起来了                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
32'话音未落，曼联再入一球啊                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
32'又是拉什福德，我滴个天呀！！！！                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
32'此时此刻值得来杯嘉士伯                   29'曼联第29分钟取得领先，埃雷拉前场断球，巴雷拉右路传中被加布里埃尔勉强挡出，无人防守的拉什福德10码处射门，皮球被切赫扑挡后偏转入网
32'曼联越打越顺，禁区前沿小配合传起来了                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
32'话音未落，曼联再入一球啊                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
32'又是拉什福德，我滴个天呀！！！！                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
32'此时此刻值得来杯嘉士伯                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
34'曼联还是从右路撕开了口子，林加德右侧横敲马塔，马塔搓一个底线，巴雷拉头球回给身旁的林加德，林加德从容传中，拉什福德头球砸入远角                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
34'欧联杯梅开二度，紧接着联赛也梅开二度，拉什福德2场已经4球了，而且本场比赛才刚刚30多分钟而已                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
35'在赛前，有记者跟温格提到了拉什福德，但温格回应，我不认识谁是拉什福德。相信这场过后教授会认识的                   32'曼联第32分钟扩大比分，马塔直传，巴雷拉头球回顶，林加德禁区右侧传中，无人防守的拉什福德小禁区前头球破门，2-0
40'阿森纳现在进攻组织不起来，通过中场不顺畅                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
40'曼联后场防守犯规                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
40'272主罚中路的定位球，但是不够射程                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
40'阿森纳迅速扳回一城                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
41'272的助攻，维尔贝克攻破旧主                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
42'272定位球准确的送入禁区中央，罗霍身高吃了亏，维尔贝克看准来球，侧对球门轻轻一甩，弹地砸入网窝                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
42'此时此刻值得来杯嘉士伯                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
42'这个球在时间节点上看，很关键，很适时                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
43'拉姆塞送一记身后，卡里克把球拦下                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
43'科奎林中圈附近带球被埃雷拉放倒                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
43'阿森纳右路进攻，贝莱林禁区边缘直塞                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
43'力量太大，沃尔科特没有追上                   40'阿森纳第40分钟扳回一城，厄齐尔任意球传中贡献本赛季第18次助攻，罗霍冒顶，维尔贝克10码处头球破门，1-2
65'阿森纳进攻未果，巴雷拉得球给德佩来反击                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
65'曼联再入一球，来自于埃雷拉，助攻的是拉什福德                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
65'此时此刻值得来杯嘉士伯                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
66'曼联反击，德佩拿球给到了禁区内的拉什福德，拉什福德突破一下，转身回来，横拨到弧顶附近，埃雷拉拍马赶到，大力推射，击中科斯切尔尼变线入网                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
67'这个球对于切赫来说是无解的，电光火石之间，没办法了                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
68'阿森纳的进攻，左侧蒙雷亚尔                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
68'传中被曼联挡出                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
68'曼联后场断球，门萨拿球反击                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
68'门萨中路倒地前把球分出来给德佩                   65'曼联第65分钟再次拉开差距，拉什福德禁区右侧回传，埃雷拉禁区弧第一时间劲射，皮球打中科斯切尔尼胸部偏转入网，3-1
