1'射门!!!乌迪内斯球员迪纳塔莱大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是吉列尔梅.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
58'梅克斯将球处理出底线,乌迪内斯获得角球.                   58'第58分钟，迪纳塔莱右侧开出角球，德容前点解围却碰到后点，平齐在门前12米处抽射钻入近角，1比0
58'进球啦！！！乌迪内斯球员平齐大禁区中央右脚射门,球从左下角飞进球门,球进了! 乌迪内斯 1-0 AC米兰.                   58'第58分钟，迪纳塔莱右侧开出角球，德容前点解围却碰到后点，平齐在门前12米处抽射钻入近角，1比0
61'射门!!!乌迪内斯球员巴杜大禁区外右脚射门,被对方守门员横身扑出.给他传球的是吉列尔梅.                   58'第58分钟，迪纳塔莱右侧开出角球，德容前点解围却碰到后点，平齐在门前12米处抽射钻入近角，1比0
61'AC米兰球员苏索大禁区外左脚射门,被防守球员封堵.给他传球的是博纳文图拉.                   58'第58分钟，迪纳塔莱右侧开出角球，德容前点解围却碰到后点，平齐在门前12米处抽射钻入近角，1比0
74'AC米兰换人,德斯特罗换下博纳文图拉                   74'但乌迪内斯第74分钟再下一城，吉列尔梅禁区右侧低传，巴杜前点距门4米处铲入近角，2比0，这是他100场意甲第6球
74'射门!!!乌迪内斯球员迪纳塔莱大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿兰.                   74'但乌迪内斯第74分钟再下一城，吉列尔梅禁区右侧低传，巴杜前点距门4米处铲入近角，2比0，这是他100场意甲第6球
74'进球啦！！！乌迪内斯球员巴杜球门线跟前右脚射门,球从右下角飞进球门,球进了!助攻的是吉列尔梅. 乌迪内斯 2-0 AC米兰.                   74'但乌迪内斯第74分钟再下一城，吉列尔梅禁区右侧低传，巴杜前点距门4米处铲入近角，2比0，这是他100场意甲第6球
76'乌迪内斯球员阿兰拼抢犯规,对手获得控球权.                   74'但乌迪内斯第74分钟再下一城，吉列尔梅禁区右侧低传，巴杜前点距门4米处铲入近角，2比0，这是他100场意甲第6球
76'安东内利为AC米兰赢得一个任意球.                   74'但乌迪内斯第74分钟再下一城，吉列尔梅禁区右侧低传，巴杜前点距门4米处铲入近角，2比0，这是他100场意甲第6球
88'进球啦！！！AC米兰球员帕齐尼大禁区中央头球,球从左下角飞进球门,球进了!助攻的是切尔奇. 乌迪内斯 2-1 AC米兰.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
89'平齐为乌迪内斯在左路,赢得一个任意球.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
89'AC米兰球员Marco Van Ginkel拼抢犯规,对手获得控球权.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'平齐为乌迪内斯在对方半场,赢得一个任意球.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'AC米兰球员德斯特罗拼抢犯规,对手获得控球权.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+3'乌迪内斯球员泰罗拼抢犯规,对手获得控球权.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+3'安东内利为AC米兰赢得一个任意球.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+3'乌迪内斯球员Iván Piris拼抢犯规,对手获得控球权.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+3'切尔奇为AC米兰在右路,赢得一个任意球.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+3'P-科内为乌迪内斯赢得一个任意球.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+3'AC米兰球员Marco Van Ginkel拼抢犯规,对手获得控球权.                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
90'+4'下半场结束,乌迪内斯 2-1 AC米兰                   88'AC米兰第88分钟追回一分，切尔奇禁区右角挑传，帕齐尼在门前9米处顶出弹地球入左下角，1比2，这是AC米兰全场首次射正
