3'佩格罗将球处理出底线,AC米兰获得角球.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
36'博阿滕为AC米兰在左路,赢得一个任意球.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
36'菲利佩为锡耶纳赢得一个任意球.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
36'AC米兰球员帕齐尼拼抢犯规,对手获得控球权.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
49'维尔加索拉为锡耶纳在对方半场,赢得一个任意球.                   49'下半时开始4分钟，安布背后放倒韦尔加索拉，被黄牌警告
49'AC米兰球员安布罗西尼拼抢犯规,对手获得控球权.                   49'下半时开始4分钟，安布背后放倒韦尔加索拉，被黄牌警告
49'黄牌！AC米兰球员安布罗西尼因为恶意犯规,被主裁判出示黄牌.                   49'下半时开始4分钟，安布背后放倒韦尔加索拉，被黄牌警告
49'德尔格罗索为锡耶纳赢得一个任意球.                   49'下半时开始4分钟，安布背后放倒韦尔加索拉，被黄牌警告
49'AC米兰球员帕齐尼拼抢犯规,对手获得控球权.                   49'下半时开始4分钟，安布背后放倒韦尔加索拉，被黄牌警告
56'AC米兰换人,博扬换下诺切里诺                   56'第56分钟，罗西纳分球，德尔格罗索左路传中碰后卫变线，罗西纳在门前8米处左脚抽射被阿比亚蒂神奇封出
56'射门!!!锡耶纳球员罗西纳大禁区中央左脚射门,被对方守门员横身扑出.                   56'第56分钟，罗西纳分球，德尔格罗索左路传中碰后卫变线，罗西纳在门前8米处左脚抽射被阿比亚蒂神奇封出
56'阿比亚蒂将球处理出底线,锡耶纳获得角球.                   56'第56分钟，罗西纳分球，德尔格罗索左路传中碰后卫变线，罗西纳在门前8米处左脚抽射被阿比亚蒂神奇封出
58'锡耶纳换人,雷吉纳尔多换下罗西纳                   56'第56分钟，罗西纳分球，德尔格罗索左路传中碰后卫变线，罗西纳在门前8米处左脚抽射被阿比亚蒂神奇封出
59'AC米兰球员帕齐尼大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是博阿滕.                   56'第56分钟，罗西纳分球，德尔格罗索左路传中碰后卫变线，罗西纳在门前8米处左脚抽射被阿比亚蒂神奇封出
59'AC米兰球员沙拉维小禁区左侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是帕齐尼.                   56'第56分钟，罗西纳分球，德尔格罗索左路传中碰后卫变线，罗西纳在门前8米处左脚抽射被阿比亚蒂神奇封出
59'AC米兰球员帕齐尼大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是博阿滕.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
59'AC米兰球员沙拉维小禁区左侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是帕齐尼.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
61'锡耶纳球员内托拼抢犯规,对手获得控球权.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
61'沙拉维为AC米兰在左路,赢得一个任意球.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
61'帕齐将球处理出底线,AC米兰获得角球.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
62'AC米兰球员博阿滕一脚直塞球给帕齐尼,但是边裁举旗显示后者已经越位.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
62'锡耶纳球员博格达尼拼抢犯规,对手获得控球权.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
62'阿切尔比为AC米兰赢得一个任意球.                   59'沙拉维第59分钟再次错过机会，博扬分球，博阿滕右路传中，帕齐尼前点错过身体滑进网窝，沙拉维后点距门7米处冲顶贴远门柱而出
67'进球啦！！！AC米兰球员博扬大禁区中央头球,球从右下角飞进球门,球进了!助攻的是博阿滕. AC米兰 1-0 锡耶纳.                   67'AC米兰第67分钟打破僵局
68'AC米兰球员阿切尔比一脚直塞球给安东尼尼,但是边裁举旗显示后者已经越位.                   67'AC米兰第67分钟打破僵局
70'锡耶纳换人,博尔佐尼换下达戈斯蒂诺                   67'AC米兰第67分钟打破僵局
70'锡耶纳球员博尔佐尼拼抢犯规,对手获得控球权.                   67'AC米兰第67分钟打破僵局
70'蒙托利沃为AC米兰赢得一个任意球.                   67'AC米兰第67分钟打破僵局
70'锡耶纳球员德尔格罗索被主裁判出示了一张黄牌.                   67'AC米兰第67分钟打破僵局
73'AC米兰球员博扬一脚直塞球给帕齐尼,但是边裁举旗显示后者已经越位.                   73'第73分钟，帕齐尼冲撞门将佩戈洛，费利佩上前质问，帕齐尼作出回击对方的动作，被黄牌警告
73'AC米兰球员帕齐尼被主裁判出示了一张黄牌.                   73'第73分钟，帕齐尼冲撞门将佩戈洛，费利佩上前质问，帕齐尼作出回击对方的动作，被黄牌警告
74'AC米兰球员博扬大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是蒙托利沃.                   73'第73分钟，帕齐尼冲撞门将佩戈洛，费利佩上前质问，帕齐尼作出回击对方的动作，被黄牌警告
76'菲利佩为锡耶纳赢得一个任意球.                   73'第73分钟，帕齐尼冲撞门将佩戈洛，费利佩上前质问，帕齐尼作出回击对方的动作，被黄牌警告
76'AC米兰球员帕齐尼拼抢犯规,对手获得控球权.                   73'第73分钟，帕齐尼冲撞门将佩戈洛，费利佩上前质问，帕齐尼作出回击对方的动作，被黄牌警告
79'锡耶纳球员菲利佩犯规,致使对方获得点球.                   79'第79分钟，帕齐尼禁区左侧被费利佩放倒，点球
79'点球,帕齐尼在禁区内被侵犯,AC米兰获得点球.                   79'第79分钟，帕齐尼禁区左侧被费利佩放倒，点球
80'锡耶纳换人,保卢奇换下瓦利亚尼                   79'第79分钟，帕齐尼禁区左侧被费利佩放倒，点球
80'进球啦！！！AC米兰球员帕齐尼右脚射门,球从左下角飞进球门,球进了! AC米兰 2-0 锡耶纳.                   79'第79分钟，帕齐尼禁区左侧被费利佩放倒，点球
87'进球啦！！！锡耶纳球员保卢奇大禁区中央头球,球从左下角飞进球门,球进了!助攻的是安杰洛. AC米兰 2-1 锡耶纳.                   87'第87分钟，安热洛右路传中，保卢奇在门前7米处头球入远角，1比2
90'锡耶纳球员雷吉纳尔多拼抢犯规,对手获得控球权.                   87'第87分钟，安热洛右路传中，保卢奇在门前7米处头球入远角，1比2
90'蒙托利沃为AC米兰赢得一个任意球.                   87'第87分钟，安热洛右路传中，保卢奇在门前7米处头球入远角，1比2
90'锡耶纳球员内托被主裁判出示了一张黄牌.                   87'第87分钟，安热洛右路传中，保卢奇在门前7米处头球入远角，1比2
90'+4'下半场结束,AC米兰 2-1 锡耶纳                   87'第87分钟，安热洛右路传中，保卢奇在门前7米处头球入远角，1比2
