6'右路张文涛套上下底传中，球直接出了底线                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
38'池忠国吃到黄牌                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
39'巴尔克斯拉到边上，斜长传交给了特纳塞                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
39'又来了，内切转移给了禁区右犄角上的巴尔克斯                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
40'巴尔克斯扣过了乔尼再用左脚搓远角，弧度没有打起来被张一诺扑住                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
40'巴尔克斯扣过了乔尼再用左脚搓远角，弧度没有打起来被张一诺扑住                   40'第40分钟，巴尔克斯禁区角上扣过乔尼，左脚弧线球射远端被张一诺扑住
41'申鑫的巴兰特斯尝试打远射，打高了                   40'第40分钟，巴尔克斯禁区角上扣过乔尼，左脚弧线球射远端被张一诺扑住
42'右路胡鸣飞的传中打在吕伟身上                   40'第40分钟，巴尔克斯禁区角上扣过乔尼，左脚弧线球射远端被张一诺扑住
43'泰达反击的机会，莫特扎断球交给左路的特纳塞                   40'第40分钟，巴尔克斯禁区角上扣过乔尼，左脚弧线球射远端被张一诺扑住
43'巴尔克斯中路接应，对方三人包夹将球解围                   40'第40分钟，巴尔克斯禁区角上扣过乔尼，左脚弧线球射远端被张一诺扑住
47'巴尔克斯已经造成对方两人吃到黄牌                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
47'上半场比赛结束！                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
47'巴尔克斯禁区左犄角上左脚正脚背劲射，球稍稍高出横梁                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
47'乔尼大脚往中场开，莫特扎头球顶向前                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
47'白岳峰得球，横传时被池忠国断下                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
47'泰达前场积极地反抢                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
48'张文涛直传有点急，还好莫特扎背后踢倒了巴兰特斯                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
48'申鑫分右路，杨家威传中踢在了聂涛身上出底线                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
48'申鑫得到一个右路的角球机会                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
48'巴兰特斯 发前点，太低了聂涛头球解围                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
50'巴兰特斯右路斜长传找骊了吴毅臻                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
50'吴毅臻勉强打门被卢卡斯挡出来                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
50'莫特扎接应杨启鹏传球                   47'第47分钟，巴尔克斯左路拿球内切，在三名后卫夹防下抽射，皮球稍稍高出横梁
62'特纳塞左路突进到禁区左侧小角度打门                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
62'打偏了                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
62'申鑫左路组织进攻                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
63'斜长传到前场右路，聂涛将球解围出边线                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
63'吴毅臻左路得球交给了池忠国                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
63'杨家威接应回传给池忠国                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
63'池忠国绕一圈分右路，传大了，杨家威停球出边线                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
64'特纳塞左路接应长传护球，张文涛踢倒了特纳塞                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
64'泰达获得一个前场左路的任意球机会                   61'第61分钟，巴兰特斯被后卫阻挡，他在身后挥拳击中郭皓被判犯规
65'特纳塞快发交给巴尔克斯，巴尔克斯传中，莫特扎甩头攻门顶偏了                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
66'回头申鑫有机会，杨家威右路倒三角传中，巴兰特斯跟进打门稍稍偏出                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
66'回复：闲在小子  解说员，这场进三球了，阿里汉什么表情（有点笑容了）                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
66'池忠国带球推进，交给胡鸣飞                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
67'奇玛背身护球回传                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
67'杨家威左脚打弧线球攻门，杨启鹏向右侧扑将球扑出底线                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
67'池忠国角球球到禁区，比较远离球门，张文涛推人犯规                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
68'天津泰达权健换人，28号范柏群替下了22号郭皓                   65'第65分钟，卢卡斯大脚解围，塔纳塞插上断下皮球形成反击，张文涛背后将其放倒
67'奇玛背身护球回传                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
67'杨家威左脚打弧线球攻门，杨启鹏向右侧扑将球扑出底线                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
67'池忠国角球球到禁区，比较远离球门，张文涛推人犯规                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
68'天津泰达权健换人，28号范柏群替下了22号郭皓                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
69'郭皓是被担架抬出场外的                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
69'胡鸣飞将球解围出边线                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
70'聂涛掷界外球，巴尔克斯回做                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
70'申鑫断球反击，杨家威带球被聂涛铲出边线                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
70'巴兰特斯分给于涛，于涛直传                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
70'吴毅臻得球传中力量给小了                   67'第67分钟，杨家威右路低平球传中，巴兰特斯跟上低射，皮球稍稍偏出远端门柱
72'胡人天来到右路接应停球出边线                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
72'泰达前场断球，胡人天斜塞，特纳塞小角度打门偏出                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
72'巴尔克斯右路得球组织分给胡人天                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
73'再做给巴尔克斯，肋部护球，带出了底线                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
73'巴兰特斯控球，交给了于涛                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
73'于涛站到了中后卫的位置                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
73'埃弗顿左路拿球横传，接应的巴兰特斯被踢倒                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
74'申鑫获得一个位置不错的任意球机会                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
74'埃弗顿任意球打门击中了人墙                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
75'泰达反击，巴尔克斯直传，白岳峰得球横传，胡人天中路接应转身打门击中横梁下檐入网                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
75'这下泰达是锁定胜局了                   72'第72分钟，塔纳塞禁区左侧再次小角度施射，皮球稍稍偏出
75'泰达反击，巴尔克斯直传，白岳峰得球横传，胡人天中路接应转身打门击中横梁下檐入网                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
75'这下泰达是锁定胜局了                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
76'泰达继续进攻，巴尔克斯直传被叶重秋踢出禁区                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
76'池忠国斜长传找到了，吴毅臻                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
77'直传，埃弗顿得球传中，第一点被吕伟顶出禁区                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
77'巴兰特斯再交到右路                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
77'奇玛一扣被聂涛挡出底线                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
78'泰达反击，胡人天斜传禁区左侧，巴尔克斯得球没有射门角度                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
78'绕一圈转身打门，力量不够被对方后卫护空门                   75'第75分钟，天津队打出漂亮反击，巴尔克斯直传，白岳峰右路插上助攻横传中路，胡人天拿球转身抽射，皮球击中横梁下沿落入球网点击观看进球视频
78'泰达反击，胡人天斜传禁区左侧，巴尔克斯得球没有射门角度                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
78'绕一圈转身打门，力量不够被对方后卫护空门                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
79'于涛横传不好，张文涛与胡人天争球踢倒了对方                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
79'主裁判过来向张文涛掏出黄牌并示意他在几个位置都已经有动作较大的犯规！                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
80'张文涛两黄变一红下场                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
80'泰达获得一个对方禁区右犄角上的任意球机会                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
80'特纳塞直接小吊门了，下坠慢了一点越过了横梁                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
81'申鑫换人，19号贾天子换下了8号池忠国                   78'第78分钟，胡人天右路插上反击传到后点无人盯防的巴尔克斯脚下，巴尔克斯转身晃开张一诺吊门，回防的后卫头球顶出
84'巴兰特斯回到后腰位置拿球回传给于涛长传                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
84'找奇玛，孤掌难鸣啊                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
86'巴兰特斯交给了贾天子                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
86'申鑫也很难推进                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
86'奇玛左路拿球进了禁区传中路被吕伟拦下                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
86'特纳塞长传前场左路，巴尔克斯拿好球回传被贾天子断下                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
87'贾天子来一脚远射，有折射，但折射后还是比较正，杨启鹏将球抱住                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
87'周通站到了场边准备上场                   84'第84分钟，吕伟回传门将被丹尼尔踢中脚跟倒地
90'周通左路再有机会，被胡鸣飞踢倒                   90'第90分钟，周通禁区左侧得球后起脚打飞
90'泰达左路的任意球机会                   90'第90分钟，周通禁区左侧得球后起脚打飞
90'比赛进入伤停补时阶段，需要补3分钟                   90'第90分钟，周通禁区左侧得球后起脚打飞
91'现场泰达的球迷今天是很高兴了                   90'第90分钟，周通禁区左侧得球后起脚打飞
91'因为泰达已经快4个月没有赢球了                   90'第90分钟，周通禁区左侧得球后起脚打飞
91'周通左边底线前停好球传中，传高了，球直接绕出底线                   90'第90分钟，周通禁区左侧得球后起脚打飞
92'10打11落后三球，申鑫是很难了                   90'第90分钟，周通禁区左侧得球后起脚打飞
92'奇玛拉到左路，内切交给巴兰特斯                   90'第90分钟，周通禁区左侧得球后起脚打飞
93'往左路分，刘俊楠扣一下左脚传中，奇玛头球攻门力量小了，杨启鹏将球没收                   90'第90分钟，周通禁区左侧得球后起脚打飞
93'泰达前场周通得球，分到右路                   90'第90分钟，周通禁区左侧得球后起脚打飞
93'莫特扎的传中                   90'第90分钟，周通禁区左侧得球后起脚打飞
93'全场比赛结束！                   90'第90分钟，周通禁区左侧得球后起脚打飞
