2'帕尔马球员帕波恩大禁区左侧左脚射门,被防守球员封堵.给他传球的是加洛帕.                   2'开场2分钟，帕冯突入禁区左侧射门被阿比亚蒂得到
52'AC米兰球员博阿滕大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是博扬.                   50'下半时开始5分钟，米兰打出反击，博扬中路突破分球到左侧，沙拉维加速趟过扎卡尔多，在禁区左侧距门9米处左脚斜射入网，1比0
52'帕尔马换人,贝尔福迪尔换下帕波恩                   50'下半时开始5分钟，米兰打出反击，博扬中路突破分球到左侧，沙拉维加速趟过扎卡尔多，在禁区左侧距门9米处左脚斜射入网，1比0
53'射门!!!AC米兰球员诺切里诺大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博阿滕.                   50'下半时开始5分钟，米兰打出反击，博扬中路突破分球到左侧，沙拉维加速趟过扎卡尔多，在禁区左侧距门9米处左脚斜射入网，1比0
54'戈比为帕尔马赢得一个任意球.                   54'帕尔马第54分钟几乎追平，尼尼斯右路传中被阿比亚蒂一托到远门柱，戈比左脚推射被诺切里诺挡出底线
54'AC米兰球员博扬拼抢犯规,对手获得控球权.                   54'帕尔马第54分钟几乎追平，尼尼斯右路传中被阿比亚蒂一托到远门柱，戈比左脚推射被诺切里诺挡出底线
54'帕尔马球员戈比小禁区左侧左脚射门,被防守球员封堵.                   54'帕尔马第54分钟几乎追平，尼尼斯右路传中被阿比亚蒂一托到远门柱，戈比左脚推射被诺切里诺挡出底线
54'诺切里诺将球处理出底线,帕尔马获得角球.                   54'帕尔马第54分钟几乎追平，尼尼斯右路传中被阿比亚蒂一托到远门柱，戈比左脚推射被诺切里诺挡出底线
57'帕尔马球员穆萨奇大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是戈比.                   54'帕尔马第54分钟几乎追平，尼尼斯右路传中被阿比亚蒂一托到远门柱，戈比左脚推射被诺切里诺挡出底线
48'帕尔马球员穆萨奇拼抢犯规,对手获得控球权.                   46'1分钟后，博阿滕右路突破劲射被米兰特飞身封出近门柱
48'萨帕塔为AC米兰在右路,赢得一个任意球.                   46'1分钟后，博阿滕右路突破劲射被米兰特飞身封出近门柱
62'射门!!!AC米兰球员德希利奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博扬.                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
63'帕尔马球员加洛帕拼抢犯规,对手获得控球权.                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
63'德容为AC米兰赢得一个任意球.                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
64'帕尔马换人,比亚比亚尼换下阿里安度-罗西                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
64'AC米兰换人,蒙托利沃换下安布罗西尼                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
64'AC米兰球员阿比亚蒂被主裁判出示了一张黄牌.                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
65'尼尼斯为帕尔马在对方半场,赢得一个任意球.                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
65'AC米兰球员蒙托利沃拼抢犯规,对手获得控球权.                   62'第62分钟，德希利奥在门前25米处抽射被米兰特倒地没收
66'进球啦！！！帕尔马球员加洛帕左脚射门,球从右下角飞进球门,球进了! 帕尔马 1-1 AC米兰.                   66'帕尔马第66分钟追平比分
68'射门!!!AC米兰球员博扬大禁区外右脚射门,被对方守门员横身扑出.给他传球的是蒙托利沃.                   66'帕尔马第66分钟追平比分
68'射门!!!AC米兰球员博扬大禁区外右脚射门,被对方守门员横身扑出.给他传球的是蒙托利沃.                   68'第68分钟，博扬禁区外射门被米兰特得到
70'AC米兰换人,罗比尼奥换下博阿滕                   68'第68分钟，博扬禁区外射门被米兰特得到
79'帕尔马球员比亚比亚尼拼抢犯规,对手获得控球权.                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
79'耶佩斯为AC米兰赢得一个任意球.                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
79'射门!!!帕尔马球员帕罗洛大禁区外右脚射门,被对方守门员横身扑出.给他传球的是尼尼斯.                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
79'阿比亚蒂将球处理出底线,帕尔马获得角球.                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
80'射门!!!AC米兰球员沙拉维大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博扬.                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
81'帕尔马球员加洛帕大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是帕罗洛.                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
81'AC米兰换人,帕齐尼换下博扬                   79'第79分钟，帕罗洛远射被阿比亚蒂封出右门柱
84'射门!!!AC米兰球员蒙托利沃大禁区外右脚射门,被对方守门员横身扑出.给他传球的是德容.                   84'第84分钟，帕齐尼赢得任意球，蒙托利沃在门前30米处主罚被米兰特扑出远门柱
84'米兰特将球处理出底线,AC米兰获得角球.                   84'第84分钟，帕齐尼赢得任意球，蒙托利沃在门前30米处主罚被米兰特扑出远门柱
85'射门!!!AC米兰球员沙拉维大禁区外右脚射门,被对方守门员横身扑出.给他传球的是耶佩斯.                   84'第84分钟，帕齐尼赢得任意球，蒙托利沃在门前30米处主罚被米兰特扑出远门柱
87'帕尔马球员卢卡雷利拼抢犯规,对手获得控球权.                   84'第84分钟，帕齐尼赢得任意球，蒙托利沃在门前30米处主罚被米兰特扑出远门柱
87'罗比尼奥为AC米兰赢得一个任意球.                   84'第84分钟，帕齐尼赢得任意球，蒙托利沃在门前30米处主罚被米兰特扑出远门柱
48'帕尔马球员穆萨奇拼抢犯规,对手获得控球权.                   47'补时第2分钟，罗比尼奥任意球被人墙挡出
48'萨帕塔为AC米兰在右路,赢得一个任意球.                   47'补时第2分钟，罗比尼奥任意球被人墙挡出
50'进球啦！！！AC米兰球员沙拉维大禁区左侧左脚射门,球从中路飞进球门,球进了!助攻的是博扬. 帕尔马 0-1 AC米兰.                   47'补时第2分钟，罗比尼奥任意球被人墙挡出
