6'上港的机会啊，麦克布林的小进度左脚劲射，张烈将球封堵                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
29'于海左路拿球，汪佳捷的上抢带倒了于海                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
29'人和左路进攻再次获得任意球机会                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
39'上半场38分钟，比分还是0-2，主场作战的人和落后                   39'第39分钟张成林禁区内勉强头球远远偏出
39'武磊前场拿球，分边右路给上来的李运秋                   39'第39分钟张成林禁区内勉强头球远远偏出
39'张成林上抢将球拦截，直传找拉法                   39'第39分钟张成林禁区内勉强头球远远偏出
40'阿多上来将球拦截，横传交给伊班                   39'第39分钟张成林禁区内勉强头球远远偏出
40'伊班的大脚解围，直接踢出了边线                   39'第39分钟张成林禁区内勉强头球远远偏出
41'人和的前场进攻，于海的传中                   39'第39分钟张成林禁区内勉强头球远远偏出
41'张成林包抄打门，放了高射炮                   39'第39分钟张成林禁区内勉强头球远远偏出
41'孙乐大脚开球到前场找麦克布林                   39'第39分钟张成林禁区内勉强头球远远偏出
41'孙继海争顶，身后撞倒了麦克布林，犯规                   39'第39分钟张成林禁区内勉强头球远远偏出
42'吕文君左路拿球，面对陈昌源的防守，强行下底传中                   39'第39分钟张成林禁区内勉强头球远远偏出
42'陈昌源伸腿将球挡出了边线                   39'第39分钟张成林禁区内勉强头球远远偏出
45'孙凯禁区线上得球，直接起脚打门，被后卫挡出                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
45'上半场已经进入尾声，比分0-2，人和亚历山大啊                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
45'上半场补时1分钟                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
46'米西莫维奇前场拿球，连续的转身摆脱，被朱峥嵘伸腿绊倒                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
46'米西莫维奇任意球给到于海                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
46'于海斜传球到禁区，穆斯利头球没能顶到                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
47'禁区左侧的张成林包抄，倒地的垫射，踢飞啦                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
47'这个点和萨利抢到了一起，互有干扰                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
46'下半场比赛开始，白衣黑裤的人和开球                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
46'人和后场传接，上港两名球员前场逼抢                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
47'下半场开始上港就在前场凶狠逼抢，这是要组织人和的反击啊                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
48'上港前场进攻，赢得左侧角球机会                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
48'吕文君角球开到前点，被人和球员解围                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
48'武磊抢到第二落点，甩头攻门，出了边线                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
48'不好意思，是武磊甩头攻门出了底线                   45'第45分钟孙继海右路传中，前点穆斯利，后点萨利抢射都没有碰到皮球，张成林底线附近垫射打高
53'人和的前场进攻，米西莫维奇的大范围斜传球到右路给陈昌源                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
54'陈昌源跑动中，不停球，直接右脚传中，出了底线                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
54'于海前场拿球，面对上港多名球员的围抢，横切被蔡慧康伸腿绊倒                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
54'人和获得前场中路的任意球机会                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
54'米西莫维奇的任意球攻门，直接打在了人墙上弹出                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
55'张烈后场的解围差点失误，好在第二反应不错，及时将球解围出边线                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
56'客户端用户 2013-07-14 20:40:40保持自己的打发，就会有好的成绩（这点很重要，各队都需要有自己的打法）                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
56'人和的前场进攻，杨昊禁区外的打门，被后卫挡出边线                   53'第53分钟于海带球强行突破制造中路任意球机会，但米西莫维奇的射门打在人墙上弹出
58'新浪用户1002:人和打法简单粗暴，就会冲吊啊（这也是人和高举高打的体系，人员配合）                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
58'孙乐门球大脚开到前场，麦克布林的头球后蹭                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
59'武磊争抢第二落点时和人和队员相撞倒地                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
60'和武磊争抢的是陈昌源，倒在地上等到队医进场处理                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
60'武磊也是表情痛苦，一瘸一拐的下场接受队医处理                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
60'全场比赛60分钟，比分还是0-2，人和主场落败                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
60'人和主场2球落后，时间还有，看看他们如何应对                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
61'人和的主场这个赛季还是相当不错，除赛季首轮输给青岛，之后主场一直不败                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
61'上港的进攻，李春郁身后上抢，踢倒了麦克布林                   58'第58分钟武磊和陈昌源拼抢中双双倒地不起
62'上港获得前场的任意球机会，分边右路                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
62'李运秋拿球，和队友的配合，失误了                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
62'不过上港球员拼劲十足，前场反断，反击                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
63'麦克布林接到武磊的传球，横传中路                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
63'包抄的朱峥嵘起脚打门，踢偏了                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
63'人和的中场再次失误，上港反击                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
63'后场长传到前场，朱峥嵘停球给到麦克布林                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
64'麦克布林禁区左侧拿球，穿裆球往中路送                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
64'可惜力量轻了，被人和球员抢断                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
64'人和再次换人：范云龙上，换下陈昌源                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
65'人和的前场进攻，拉法再被吹越位在先                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
65'目前越位对比：人和5次，上港2次                   62'第62分钟上港前场截取球反击，武磊带球中往左转移，麦克布林随即右脚把球推向中路，但朱峥嵘左脚抽射打高
64'麦克布林禁区左侧拿球，穿裆球往中路送                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
64'可惜力量轻了，被人和球员抢断                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
64'人和再次换人：范云龙上，换下陈昌源                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
65'人和的前场进攻，拉法再被吹越位在先                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
65'目前越位对比：人和5次，上港2次                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
66'于海左路拿球，面对两名上港球员的上抢，强突被对方将球破坏出边线                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
67'朱峥嵘边路和队友的配合，被张成林从侧方踢倒在地                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
67'上港的右边路任意球，李运秋斜传到后点                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
67'人和球员将球解围出来，反击机会                   64'第64分钟拉法禁区外吊射，被孙乐稳稳接住
70'李春郁禁区得到第二落点，再次发炮，打在上港球员身上出底线                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
70'这次封堵，上港球员也是受伤了，被担架抬出场治疗                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
71'人和继续右侧角球，第一点再次被上港球员抢到                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
71'杨昊右路拿球，内切，横传给拉法                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
71'拉法的迎球推射，打在后卫身上出底线                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
72'上港换人：吴禹寅上，换下孙凯                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
73'之前受伤出场接受治疗的武磊也是回到了场上                   70'第70分钟孙继海后场长传准确找到杨昊，后者带球顺利切分，拉法跟上就射打在人堆里弹出
76'全场比赛76分钟了，比分还是0-2                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
76'人和替补席还坐着曲波，不知道何时登场了                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
77'上港再次换人：9号卡贝萨斯换下10号朱峥嵘                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
77'上港这个是对位的换人，换上外援前锋，高导不准备收啊                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
78'卡贝萨斯前场左路拿球，横带时被萨利伸腿解围                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
78'人和最后一次换人：曲波换下杨昊                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
78'看看曾经的追风少年能否为人和改变战局                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
78'人和的右侧角球，并没能形成威胁                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
79'游客2844:宫磊是拿着一把好牌不会打的家伙（助教面对曾经的主教，你说了）                   76'第76分钟米西莫维奇右路突然射门，皮球稍稍高出
77'上港再次换人：9号卡贝萨斯换下10号朱峥嵘                   77'第77分钟贵州队用曲波换下杨昊
77'上港这个是对位的换人，换上外援前锋，高导不准备收啊                   77'第77分钟贵州队用曲波换下杨昊
78'卡贝萨斯前场左路拿球，横带时被萨利伸腿解围                   77'第77分钟贵州队用曲波换下杨昊
78'人和最后一次换人：曲波换下杨昊                   77'第77分钟贵州队用曲波换下杨昊
78'看看曾经的追风少年能否为人和改变战局                   77'第77分钟贵州队用曲波换下杨昊
78'人和的右侧角球，并没能形成威胁                   77'第77分钟贵州队用曲波换下杨昊
79'游客2844:宫磊是拿着一把好牌不会打的家伙（助教面对曾经的主教，你说了）                   77'第77分钟贵州队用曲波换下杨昊
80'龙风疾影:为啥东亚门将换人了（门将换人，今天孙乐的表现不错啊）                   77'第77分钟贵州队用曲波换下杨昊
80'上港前场拿球，没有进攻机会，将球回传后场重新组织                   77'第77分钟贵州队用曲波换下杨昊
79'游客2844:宫磊是拿着一把好牌不会打的家伙（助教面对曾经的主教，你说了）                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
80'龙风疾影:为啥东亚门将换人了（门将换人，今天孙乐的表现不错啊）                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
80'上港前场拿球，没有进攻机会，将球回传后场重新组织                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
81'上港右路界外球进场，直接被人和队员抢断                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
81'可惜人和的连续传接还是失误了，曲波直接传出了边线                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
82'卡贝萨斯，差之毫厘啊！！                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
82'上港左路进攻，边路传中，麦克布林背身拿球，回敲给跟上的卡贝萨斯，无人防守下的推射远角，张烈倒地将球挡出                   79'第79分钟上港队前场反击，卡贝萨斯左路射门高出
83'张成林左路拿球，横切，禁区弧顶起脚怒射，球擦着横梁出底线                   83'第83分钟张成林内切到中路怒射稍稍踢高
84'人和的后场过顶长传到前场，穆斯利停球时被吹手球在先                   83'第83分钟张成林内切到中路怒射稍稍踢高
85'全场比赛85分钟，比分还是0-2，人和主场的不败估计要结束了                   83'第83分钟张成林内切到中路怒射稍稍踢高
85'曲波前场中路拿球，伊班上抢犯规，放倒了曲波                   83'第83分钟张成林内切到中路怒射稍稍踢高
85'人和获得前场的任意球机会                   83'第83分钟张成林内切到中路怒射稍稍踢高
86'米西莫维奇主罚，任意球传至门前，于海的头球攻门顶高                   83'第83分钟张成林内切到中路怒射稍稍踢高
86'上港中场失误，人和的进攻                   83'第83分钟张成林内切到中路怒射稍稍踢高
86'米西莫维奇主罚，任意球传至门前，于海的头球攻门顶高                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
86'上港中场失误，人和的进攻                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
87'人和中场过顶球到前场，穆斯利头球一点                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
87'接着转身的凌空打门，可惜太追求角度，打飞了                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
87'人和现在是围攻上港啊，不过都是开花不结果的事                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
88'张成林左边路再传中，球被孙乐在门前轻松收入怀中                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
88'麦克布林前场拿球，横传交给汪佳捷                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
88'汪佳捷传球失误，人和的反击                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
89'范云龙右路斜传球到禁区弧顶，武磊回防将球拿到                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
89'上港中场再次失误，不过人和前场也是不给力，失误送上                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
89'卡贝萨斯！！！                   86'第86分钟伊班头球解围顶到穆斯利身上弹下，穆斯利直接禁区外抽射打高
92'人和继续进攻，米西莫维奇的传中，孙乐将球拿到                   92'比赛最后时刻贵州也没放弃，第92分钟张成林内切后射门高出，张成林看上去显得格外恼火，最终上海上港客场3比0意外大胜贵州人和，拿到本赛季第二场客场胜利
93'这大局已定啦，人和主场输给了上港                   92'比赛最后时刻贵州也没放弃，第92分钟张成林内切后射门高出，张成林看上去显得格外恼火，最终上海上港客场3比0意外大胜贵州人和，拿到本赛季第二场客场胜利
93'人和还有右侧角球机会，不过还是没威胁啊                   92'比赛最后时刻贵州也没放弃，第92分钟张成林内切后射门高出，张成林看上去显得格外恼火，最终上海上港客场3比0意外大胜贵州人和，拿到本赛季第二场客场胜利
93'张成林左路拿球，虚晃，摆脱防守，再起脚打门，踢飞                   92'比赛最后时刻贵州也没放弃，第92分钟张成林内切后射门高出，张成林看上去显得格外恼火，最终上海上港客场3比0意外大胜贵州人和，拿到本赛季第二场客场胜利
