8'中圈右侧姜涛把球拦截                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
49'池忠国的犯规                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
49'下半场刚刚开始，一方就丢球了，打击比较大，刚刚追回一个看到希望，士气受挫                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'盖坦处理定位球                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'吊入禁区左侧，，，崔明安跟上                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'争顶，，出了底线                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'国安门球，，大脚开起来                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'中圈左侧拼抢，朱挺把球拦截                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'低球向前，国安把球破坏出界                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
50'一方左侧界外球，孙铂拿球                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
51'横敲周挺，遭到了逼抢，，球拼抢之后到了卡拉斯科脚下                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
51'分左侧，，被姜涛断下                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
51'后场一记长传，中圈右侧比埃拉得球，快步流星的推进                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
51'巴坎布跟上，，做配合，接球突入禁区                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
51'右侧护球转身，摔倒了，，裁判没表示                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
24'郭全博大脚开起来                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'前场右侧池忠国得球，回敲身后给奥古斯托                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'短传身前，，姜涛向前                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'周挺拦截，，斜长传                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'分到右侧，孙铂得球                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'横敲中间，，，同伴再分左路                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'池忠国上抢拦截                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
24'低球斜传，，找到于大宝                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
25'自己带球往前走，斜传，，禁区内被对手化解                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
25'一方回敲给门将，，张翀分左路王耀鹏                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
25'再给单鹏飞，对手逼抢把球捅出界外                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'一方界外球，短传身前，崔明安得球，遭遇逼抢，，吹了国安的犯规                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'一方前场右侧定位球                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'盖坦开起来，斜传到禁区内                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'左侧张瑀解围掉                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'前场盖坦再拿球，，再起，送到禁区                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'门前被门将打出来                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
26'后场左侧金泰延拿球，分中圈右侧，奥古斯托一记直塞                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
27'前场左侧巴坎布跟进，，速度很快啊                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
27'超车过来，，突入禁区，快速的一记推射                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
27'张翀倒地把球封堵出底线                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
27'左侧国安角球机会                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
27'开起来，禁区内中路，一方防守解围掉                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
27'中圈附近盖坦断下，短传身前，，里亚斯科斯得球                   24'在盖坦带动下一方形成连续冲击，但在第24分钟时险些被国安利用反击再下一城：国安三位外援形成配合，比埃拉的斜传助巴坎布再度形成单刀，但巴坎布攻门被张翀挡下
30'姜涛把球解围                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
30'外围左侧拼抢，，裁判哨响了，，，                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
30'卡拉斯科的犯规                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
31'国安这边，有调整，，于大宝被张稀哲替下了                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
31'国安左侧球权，横敲中间朴成                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
31'再分左路金泰延这边                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
31'短传身前，，张稀哲接球，回敲                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
31'双方拼抢，，张稀哲把球得到，，挑传                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
31'禁区左侧奥古斯托跟进，，杨善平解围出边线                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
32'国安边路进攻，再给底线插上的奥古斯托                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
32'小角度，，似传似射，，，居然进了                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
32'这个球，，，门将以为他要传球，，没有封前点啊。球鬼使神差，，进去了                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
33'这球裁判还看了下VAR没问题                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
33'前场左侧靠近底线处奥古斯托得球 一记似传似射给到门前，球划出一记弧线鬼使神差的进了                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
33'国安主场很稳的节奏啊                   30'而国安在第30分钟就换人调整，张稀哲换下于大宝
37'更正一下比分，，国安还是1-0，奥古斯托的天外飞仙由于巴坎布越位，，被判无效                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
37'虽然无效，但是不得不说，奥古斯托这一脚，确实很牛                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'国安继续进攻，右侧巴坎布拿球，转移                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'左侧给到张稀哲，，横敲，被杨善平拦截                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'中圈附近，，里亚斯科斯回撤拿球                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'张瑀身后放铲，犯规                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'凶狠的放铲，吃到了黄牌，张瑀                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'中圈附近，杨善平主罚定位球，示意同伴前压                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'长传吊向前场，右侧直接出界了                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
38'国安后场界外球给出                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
39'后场控制，，横敲一下找雷腾龙                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
39'再送长传，，到了前场左路                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
39'比埃拉跟进，，杨善平抢先解围                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
40'球没有踢远，，双方边路拼抢，出界                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
40'裁判给了一方的球权                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
40'界外球给出来，盖坦拼抢被吹了冲撞犯规                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
40'左侧中圈，国安定位球                   37'第37分钟，张瑀在背后侵犯里亚斯科斯，裁判向张瑀出示黄牌，情绪激动的盖坦指责了张瑀
45'跟进，，追不上了，，绊倒了身前的金泰延                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
45'国安定位球，，短传给到雷腾龙                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
45'在给到金泰延，横敲中路朴成                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
45'分右路，崔明安上抢拦截                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
45'长传放一脚                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
45'左路卡拉斯科得球，自己选择单干                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'突破杀到禁区左侧，，再强行的横敲                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'雷腾龙一脚解围，，，，踢进了自家大门                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'雷腾龙上半场表现的完美无瑕，但是晚节不保啊，，，进了一个乌龙                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'卡拉斯科前场左侧突入禁区左侧内！！一脚横敲！！雷腾龙门前解围把球踢进自家大门                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'上半场补时2分钟                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'左侧卡拉斯科拿球，分边跟插上的单鹏飞                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'回敲周挺，斜长传，，送到禁区右侧                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'金泰延把球解围                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'中圈位置，王耀鹏得球，短传给卡拉斯科                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
48'往右路盘带，，禁区附近在渗透进去                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
48'雷腾龙把球解围出来                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
48'裁判哨响，上半场结束了                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'裁判吹响了下半场开始的哨声                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'国安开球，回敲身后给池忠国                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'分到右侧姜涛，，低球向前，被拦截                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'卡拉斯科断球，横敲中间                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'崔明安过渡到左路                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'卡拉斯科拿球，向前再给                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
46'直接送出边线                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'后场国安发球，给左侧，姜涛横敲一下                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'池忠国得球，孙铂紧逼，犯规了                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'国安后场开球，中圈附近给到巴坎布                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
47'左侧再给奥古斯托                   45'第45分钟，一方扳回一球：卡拉斯科左路突破后将球打到门前，皮球线路较为刁钻，一方进攻球员并没有接应到位，而雷腾龙拦截皮球时不慎将球挡入自家球门，一方在半场结束时追为1-2
