6'德布劳内发角球，奥塔门迪前点摆渡                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
40'直传被拦截                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
40'京多安反抢成功                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
40'德布劳内过渡一下                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
40'右面沃克上来帮忙                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
40'往中路带球                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
41'德布劳内带球，科克拉人犯规                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
41'科克拉人犯规                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
42'科克吃到黄牌                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
42'曼城后场倒脚                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
42'沃克长传左侧的斯特林                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
55'京多安分右面的贝尔纳多                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
55'内切交给阿圭罗                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
55'阿圭罗再横传，有点传到斯特林身后                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
55'斯特林歪着身子打门打偏                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
55'德布劳内带球突进                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'顾着左右看，没有控制好球，趟大了                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'诺顿大脚解围                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'孔帕尼交给奥塔门迪                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'奥塔门迪控球，在观察                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'横传给孔帕尼                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'直传，京多安交给费尔南迪奥，再交给京                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
56'内切一扣再斜塞给斯特林                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'可惜差了一一点被诺顿伸脚拦截一下                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'曼城左路的角球                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'战术角球                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'倒出来                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'又是达尼洛，原地发力的打门，波佩将球托出横梁                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'曼城右面的角球                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'又是战术角球                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
57'德布劳内回传给贝尔纳多                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'再交给德布劳内，传中太低了被科克头球解围                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'这是沃克斯的头球解围                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'来自威尔士的中锋                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'沃克掷界外球                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'德布劳内回得小了，亨德里克将球踢出边线                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'沃克掷界外球                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'贝尔纳多得球回传给德布劳内                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'回传给孔帕尼                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'再交给埃德森                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'德布劳内接应                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
58'回传给孔帕尼，交给左右的奥塔门迪                   55'曼城第55分钟又错过机会，贝纳尔多和阿圭罗连续传球，阿圭罗10码处扫射高出
69'长传上来，球给太大了，球直接飞出底线                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
69'古德蒙特森左右内切横传                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
69'列侬劲射被埃德森托一下击中横梁                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
70'列侬再横传，沃克斯背对球门停球转身打新技术开发区飞了                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
70'埃德森今天是作出两次关键性扑救                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
71'德布劳内直传右肋部，贝尔纳多下底横扫后点                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
71'斯特林面对空门居然打偏了                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
71'斯特林坐在地上也是猛拍地面                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
72'横传的应该是沃克                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
72'这球是怎么打丢的呢                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
72'京多安分左侧的达尼洛                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
72'达尼洛带球传给贝尔纳多                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
72'费尔南迪奥分右面沃克                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
72'直传被断了                   69'伯恩利第69分钟险些扳平，杰克-科克横敲，列农禁区边缘内劲射被埃德森扑挡后击中横梁弹回，随后杰克-科克头球摆渡，沃克斯钩射高出
82'诺顿没有将球控制住                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
82'最后时刻，伯恩利尽力反扑                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
82'古德蒙特森扳平比分！                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
83'诺顿右路斜长传，古德蒙特森内切鹎以沃克身前面对埃德森近距离将球打进！                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
83'镜头对准了刚才空门打偏的斯特林                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
83'留给曼城的时间还有10分钟                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
84'贝尔纳多右面控球交给沃克                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
84'交给贝尔纳多，远射，打偏得不少                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
85'曼城中场倒脚                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
85'贝尔纳多转移给了迪亚兹                   82'伯恩利第82分钟扳平，洛顿右路斜传，格维兹门松小禁区边缘抢在沃克尔之前凌空垫射，埃德森扑挡后偏转入网，1-1
