4'贵州右路突破，起球，阿尔滨中路防守头球解围，凯塔得球反击被萨利拉倒。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
49'于汉超前场突破，同样摔倒，好在贵州球员素质比较高，直接将球踢出边线。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
48'李春郁干扰于大宝罚任意球，被裁判出示黄牌。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
48'贵州人和右路进攻。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
48'拉斐尔右路起球，21号于海禁区内冲撞阿尔滨出击门将张翀。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
49'于海被裁判出示黄牌，张翀受伤倒地，队医入场治疗。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
50'张翀问题不大，比赛继续进行。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
50'萨利后场控球，全场球迷嘘声不断，贵州人和以少打多频频回传，确实不应该。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
50'贵州人和前场获得角球。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
51'李春郁发出角球，陈雷禁区内解围。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
51'孙铂左路控球被于海抬脚放倒，于海侵犯后，快速逃跑，有一张黄牌在身了。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
51'裁判示意阿尔滨后场任意球。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
55'孙继海分球李春郁，李春郁策动右路进攻。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
55'李春郁防守犯规，阿尔滨后场任意球。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
56'贵州人和换人李春郁下场，6号范云龙上场，李春郁身背黄牌，场上动作也比较大，所以宫磊将其换下，也很正常。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
56'赵和靖右路突破被对方侵犯，阿尔滨获得前场任意球。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
57'阿尔滨任意球发出，孙铂右路得球，趟大了，球出底线。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
58'于汉超不惜力啊，前场勇猛拼抢，对方门将张烈仓促出脚，球被于大宝得到，于大宝直接起脚射门，近在咫尺的射门，球飞了。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
58'萨利碰到了皮球，所以阿尔滨获得角球。                   55'贵州人和在第55分钟进行换人，身背一张黄牌的李春郁被范云龙换下
64'贵州人和再次换人，曲波上场，16号闫相闯下场。                   64'第64分钟，贵州人和继续进行人员调整，曲波替换闫相闯上阵，与此同时，孙继海跑到第四官员身前示意看台上有球迷用激光笔对其进行干扰，日本裁判吉田哲朗将孙继海请回场内后向其出示黄牌示意其有拖延比赛时间之嫌
64'孙继海跑到第四官员位置，做什么解释吗？                   64'第64分钟，贵州人和继续进行人员调整，曲波替换闫相闯上阵，与此同时，孙继海跑到第四官员身前示意看台上有球迷用激光笔对其进行干扰，日本裁判吉田哲朗将孙继海请回场内后向其出示黄牌示意其有拖延比赛时间之嫌
66'陈昌源掷出前场界外球，阿尔滨全线退守。                   64'第64分钟，贵州人和继续进行人员调整，曲波替换闫相闯上阵，与此同时，孙继海跑到第四官员身前示意看台上有球迷用激光笔对其进行干扰，日本裁判吉田哲朗将孙继海请回场内后向其出示黄牌示意其有拖延比赛时间之嫌
66'贵州人和换上曲波，看来贵州要加强进攻了。                   64'第64分钟，贵州人和继续进行人员调整，曲波替换闫相闯上阵，与此同时，孙继海跑到第四官员身前示意看台上有球迷用激光笔对其进行干扰，日本裁判吉田哲朗将孙继海请回场内后向其出示黄牌示意其有拖延比赛时间之嫌
66'张翀大脚开出门球，阿尔滨前场没有什么球员。                   64'第64分钟，贵州人和继续进行人员调整，曲波替换闫相闯上阵，与此同时，孙继海跑到第四官员身前示意看台上有球迷用激光笔对其进行干扰，日本裁判吉田哲朗将孙继海请回场内后向其出示黄牌示意其有拖延比赛时间之嫌
67'赵和靖断球反击，贵州反抢。                   64'第64分钟，贵州人和继续进行人员调整，曲波替换闫相闯上阵，与此同时，孙继海跑到第四官员身前示意看台上有球迷用激光笔对其进行干扰，日本裁判吉田哲朗将孙继海请回场内后向其出示黄牌示意其有拖延比赛时间之嫌
73'贵州人和用完了3个换人名额。                   73'第73分钟，贵州人和做出最后一次换人，杨昊替下了米西莫维奇，随后，于汉超转身漂亮的摆脱了人和后卫陈昌源，陈昌源无奈犯规得黄牌
73'阿尔滨目前还没有人员变动，不知道阿尔滨主教练什么想法。                   73'第73分钟，贵州人和做出最后一次换人，杨昊替下了米西莫维奇，随后，于汉超转身漂亮的摆脱了人和后卫陈昌源，陈昌源无奈犯规得黄牌
74'于汉超漂亮的假动作晃过夏伟耶，对方绊倒于汉超，被裁判出示黄牌。                   73'第73分钟，贵州人和做出最后一次换人，杨昊替下了米西莫维奇，随后，于汉超转身漂亮的摆脱了人和后卫陈昌源，陈昌源无奈犯规得黄牌
74'今天真是黄牌漫天飞啊。                   73'第73分钟，贵州人和做出最后一次换人，杨昊替下了米西莫维奇，随后，于汉超转身漂亮的摆脱了人和后卫陈昌源，陈昌源无奈犯规得黄牌
75'张翀发出门球，力量很足啊，孙继海将球得到。                   73'第73分钟，贵州人和做出最后一次换人，杨昊替下了米西莫维奇，随后，于汉超转身漂亮的摆脱了人和后卫陈昌源，陈昌源无奈犯规得黄牌
79'罗申巴克防守犯规，贵州人和前场右路任意球。                   79'第79分钟，罗申巴克左路补防时犯规，于汉超一个人的人墙化解了贵州的这次任意球攻势
79'贵州任意球发出，于汉超一个人的人墙直接封死前点。                   79'第79分钟，罗申巴克左路补防时犯规，于汉超一个人的人墙化解了贵州的这次任意球攻势
80'这场比赛如果把于汉超的状态打回来，那对阿尔滨来说还是很值当的。                   79'第79分钟，罗申巴克左路补防时犯规，于汉超一个人的人墙化解了贵州的这次任意球攻势
81'孙继海传球失误，于汉超得球，不过没有体能了，控球失误了，球出界外。                   79'第79分钟，罗申巴克左路补防时犯规，于汉超一个人的人墙化解了贵州的这次任意球攻势
81'陈雷掷出界外球。                   79'第79分钟，罗申巴克左路补防时犯规，于汉超一个人的人墙化解了贵州的这次任意球攻势
81'阿尔滨替补都回到休息位置，看来这场比赛阿尔滨不打算换人了。                   79'第79分钟，罗申巴克左路补防时犯规，于汉超一个人的人墙化解了贵州的这次任意球攻势
48'贵州发出任意球，张翀出击将球打出禁区。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
49'于汉超前场突破，同样摔倒，好在贵州球员素质比较高，直接将球踢出边线。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
48'李春郁干扰于大宝罚任意球，被裁判出示黄牌。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
48'贵州人和右路进攻。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
48'拉斐尔右路起球，21号于海禁区内冲撞阿尔滨出击门将张翀。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
49'于海被裁判出示黄牌，张翀受伤倒地，队医入场治疗。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
50'张翀问题不大，比赛继续进行。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
50'萨利后场控球，全场球迷嘘声不断，贵州人和以少打多频频回传，确实不应该。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
50'贵州人和前场获得角球。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
51'李春郁发出角球，陈雷禁区内解围。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
51'孙铂左路控球被于海抬脚放倒，于海侵犯后，快速逃跑，有一张黄牌在身了。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
51'裁判示意阿尔滨后场任意球。                   48'3分钟后，阿尔滨用王君换下了孙铂，克鲁尼奇希望在10打11的情况下能在主场取得积分
47'吕鹏丢球后快速反抢，阿尔滨中路继续控球。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
47'陈雷倒地铲球犯规。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
47'陈雷被裁判出示黄牌。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
48'贵州发出任意球，张翀出击将球打出禁区。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
49'于汉超前场突破，同样摔倒，好在贵州球员素质比较高，直接将球踢出边线。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
47'密西莫维奇发出任意球，于大宝头球解围出边线，界外球。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
47'陈昌源掷出前场界外球，阿尔滨现在全线防守。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
47'中路李春郁挑传禁区，阿尔滨后卫解围，于大宝控球。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
48'李春郁干扰于大宝罚任意球，被裁判出示黄牌。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
48'贵州人和右路进攻。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
48'拉斐尔右路起球，21号于海禁区内冲撞阿尔滨出击门将张翀。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
49'于海被裁判出示黄牌，张翀受伤倒地，队医入场治疗。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
50'张翀问题不大，比赛继续进行。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
50'萨利后场控球，全场球迷嘘声不断，贵州人和以少打多频频回传，确实不应该。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
50'贵州人和前场获得角球。                   47'伤停补时第2分钟，阿尔滨用董学升换下了场上队长于大宝
