1'上半场比赛开始！！                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
18'谢尔盖耶夫！！                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
46'国安队左路带球进攻                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
46'亚泰这边先将球解围                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
46'下半场比赛开始！！                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
46'下半场比赛由长春亚泰开球                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
47'2-1！！！                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
47'莫雷罗                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
47'亚泰中场长传打到禁区弧顶，莫雷罗胸部停球下来后转身抽射破门！！                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
47'一脚世界波啊                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
49'看看国安队接下来怎么调整                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
49'亚泰下半场的开局非常不错                   46'1分钟后国安取得入球：伊尔马兹与于大宝策动流畅传递，谢尔盖耶夫冲入禁区右侧后扣球摆脱张笑飞，他在小角度突然采取攻门，皮球在门将祎凡与立柱之间窜入球门
21'亚泰这边传接上出现了一些问题                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'亚泰中场出球给到边路                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'这球给的也不好                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'国安队左路传球送禁区                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'这球太靠近门将了                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'亚泰中场拿球稳一下                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'国安队这边上抢断球了                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
22'直接长传打到前场                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
23'传了一个过顶                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
23'没有过去                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
23'马季奇之前有一张黄牌                   20'国安在前20分钟的控球率超过65%，李章洙在场边做出了要求亚泰前压的手势
32'二点的亚泰抢射被后卫挡了一下                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
32'亚泰这边角球机会                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
32'角球送后点                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
32'进攻球员争抢头球的时候压人犯规                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
34'亚泰后场控球                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
34'长传直接往前场送                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
34'克里梅茨先将球解围了                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
35'马季奇禁区外围远射                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
35'这球是打高了                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
35'没有压住                   32'第32分钟，范晓冬左路传中策动攻势，布鲁诺在禁区右侧再度采取回敲，莫雷罗的攻门碰国安球员高出横梁
46'国安队左路带球进攻                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
46'亚泰这边先将球解围                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
46'下半场比赛开始！！                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
46'下半场比赛由长春亚泰开球                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
47'2-1！！！                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
47'莫雷罗                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
47'亚泰中场长传打到禁区弧顶，莫雷罗胸部停球下来后转身抽射破门！！                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
47'一脚世界波啊                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
49'看看国安队接下来怎么调整                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
49'亚泰下半场的开局非常不错                   46'1分钟后莫雷罗右路低射打偏，门前倒地包抄的布鲁诺稍稍错过皮球线路
47'2-1！！！                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
47'莫雷罗                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
47'亚泰中场长传打到禁区弧顶，莫雷罗胸部停球下来后转身抽射破门！！                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
47'一脚世界波啊                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
49'看看国安队接下来怎么调整                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
49'亚泰下半场的开局非常不错                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
50'马季奇后场解围                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
50'见高不见远                   47'第47分钟，亚泰将比分超出：亚泰中后场发起长传攻势，莫雷罗在国安禁区弧内胸停调整，随之转身抽射攻破球门下角
52'亚泰前场右路定位球机会                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
52'任意球送后点                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
52'布鲁诺这边的打门被杨智封住                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
52'布鲁诺的头球顶得太正了                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
53'亚泰也是险些再次改写比分                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
53'李光边路上抢                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
53'亚泰后场快速出球打到前场                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
54'莫雷罗前场没有停球下来                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
55'蒋哲右路下底要角球                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
55'国安队这边碰了出界                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
55'张笑飞角球送中路                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
55'杨智双拳将球击出                   52'第52分钟，亚泰右侧任意球传中又在国安门前制造险情，布鲁诺在小禁区线内头球攻门被杨智挡出
63'国安队传球给到禁区内                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
63'伊尔马兹停球后小角度打门                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
64'这球被扑了出去                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
64'国安队的角球机会                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
64'角球送中路                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
64'克里梅茨没有顶到                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
64'禁区外围国安队再打                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
64'这球打偏了                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
66'国安队这边攻势也是渐渐起来了                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
66'伊尔马兹前场拿球                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
66'分左路给到了李磊                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
66'李磊停球的时候滑了一下                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
66'马季奇这边上抢犯规                   63'第63分钟，张稀哲直传亚泰禁区，伊斯梅洛夫解围失误，伊尔马兹禁区右侧攻门被挡偏出底线
68'亚泰这边又要准备换人                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
68'布鲁诺分球到左路                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
68'底线的下底给到中路                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
68'没有打门的机会                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
69'亚泰这边有球员受伤倒地                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
69'受伤的是韩德明                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
70'经过队医的检查，问题不大                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
70'比赛重新恢复进行                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
70'亚泰这边换人                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
70'布鲁诺下，奥尔西奇上！                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
71'国安队长传打到禁区内                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
71'祎凡出击将球得到                   68'第68分钟，亚泰左路将球传入禁区，布鲁诺凌空攻门被雷腾龙挡出
85'犯规后双方球员也是有些火药味                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
85'裁判给了双方各一张黄牌！                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
86'国安队直塞给到禁区                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
86'张池明捅射将球打高                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
87'国安队前场拿球到了禁区里                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
88'伊尔马兹禁区内接球捅射                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
88'裁判给了一个角球                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
88'蒋哲这边受伤倒地                   85'第85分钟，张呈栋与韩德明拼抢中发生摩擦，双双领到黄牌
47'2-1！！！                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
47'莫雷罗                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
47'亚泰中场长传打到禁区弧顶，莫雷罗胸部停球下来后转身抽射破门！！                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
47'一脚世界波啊                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
49'看看国安队接下来怎么调整                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
49'亚泰下半场的开局非常不错                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
50'马季奇后场解围                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
50'见高不见远                   47'2分钟后国安再次形成威胁攻势，谢尔盖耶夫将球塞到禁区中路，伊尔马兹停球前冲已是直面门将，蒋哲及时出脚将球破坏
47'2-1！！！                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
47'莫雷罗                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
47'亚泰中场长传打到禁区弧顶，莫雷罗胸部停球下来后转身抽射破门！！                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
47'一脚世界波啊                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
49'看看国安队接下来怎么调整                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
49'亚泰下半场的开局非常不错                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
50'马季奇后场解围                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
50'见高不见远                   47'补时第2分钟，国安角球攻势中张池明禁区内攻门被马季奇挡偏出底线，国安众将很激动地向裁判投诉马季奇手球，慢镜头并不能完全看清，皮球似乎是打在了马季奇身体上
