12'今天两支球队阵形一样，所以在人员位置上都有对位交锋                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
41'阿萨莫阿一脚远距离打门被后卫用身体挡出                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
41'国米反击形成了三打二了！！！！                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
41'科瓦契奇中路分给右边帕拉西奥                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
42'进入禁区面对斯托拉里右脚一脚劲射！！！！                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
42'高出横梁飞出！！！！！                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
42'国米开场后最好的机会                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
42'尤文很快打到前场，阿萨莫阿射门被挡下后                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
43'迅速插入禁区反抢成功，传球造成了角球机会                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
43'角球传到门前，应该是进攻球员犯规了                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
43'上半场比赛很快要打满了                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
56'洛伦特禁区里底线附近接到界外球拿球形成了转身                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
56'让给插上的博格巴，博格巴近距离射门！！！！！                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
56'汉达诺维奇倒地把球挡出！！！！                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
57'比达尔再次跟进！！！！有没有！！！                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
57'补射得手！！！比达尔3比0！！！                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
57'国米刚刚换上米利托加强进攻，没想到豆腐渣的防线再次被尤文攻破                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
58'泰德尔禁区外一脚远射偏出球门                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
58'博格巴中场护球被上抢的泰德尔踢了一下                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
59'国米再次换人 丹布罗希奥换下若纳坦                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
59'丹布罗希奥也是冬窗引进的球员                   56'第56分钟，尤文左侧掷入边线球，略伦特禁区前点胸部停球，博格巴内切射门被汉达诺维奇封出，但比达尔在门前7米处左脚抽射入网，3比0，他成为2007-08赛季卡莫拉内西之后，首位单赛季联赛与国米两次交锋都有进球的尤文球员，超越上赛季和2010-11赛季(勒沃库森)，创造个人单赛季联赛进球纪录(11球)
72'国米任意球给到前点，禁区里一片乱战                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
72'罗兰多人群之中先出一脚形成打门！！！！                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
72'球从人群之中穿过直奔死角！！！1比3，国米扳回一球！！！                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
73'后卫罗兰多插上为国米把比分迫近到1比3                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
73'国米再次形成角球                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
73'还是前点，帕拉西奥把球停了下来                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
73'转身打门！！！                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
73'后卫把球挡了出来                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
73'尤文反击，利希施泰纳左路高速突破                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
74'阿尔瓦雷斯拉人战术犯规，黄牌                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
74'尤文三球领先时太放松了                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
74'比赛应该还有20分钟，对国米来说时间还是够的                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
74'看看有没有机会                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
75'国米已经用满了三个换人名额                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
75'尤文只用了一个                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
75'博塔中场护球，比达尔抢球时犯规                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
75'米利托左路拿球回做                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
75'阿尔瓦雷斯传中到禁区                   72'第72分钟，国米左侧开出角球，坎帕尼亚罗回做，罗兰多在门前10米处左脚低射入右下角，1比3，这是他意甲第2球
80'高出球门，这球打门时在身前弹了一下                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
80'全场比赛进行到80分钟                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
81'博格巴正面防守帕拉西奥时犯规了                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
81'尤文中场断球反击了                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
82'皮尔洛分到右路高速插上的利希施泰纳                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
82'利希施泰纳刚进禁区一脚劲射偏出！！！                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
82'这球踢完师太就抽筋了，刚才就已经有征兆                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
82'尤文换人 伊斯拉换下了利希施泰纳                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
83'比达尔斜传到禁区里的特维斯，1对1面对罗兰多没有过去                   80'第80分钟，皮尔洛禁区左侧回传，特维斯在门前11米处左脚抽射高出
86'博格巴中场出现失误                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
86'国米中场拿球斜传到禁区                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
86'卡塞雷斯头球蹭到了后点，帕拉西奥无人盯防！！！                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
86'头球冲顶顶向远角！！！！！                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
86'竟然偏了！！！！帕拉西奥再失良机                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
87'武齐尼奇换下了洛伦特                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
87'冬季转会时武齐尼奇和瓜林的互换风波也是一波三折啊                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
87'最后的结局瓜林转会不成也不准备为国米出场了                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
88'而武齐尼奇回到尤文，这场被换上来也算是对国米的一种挑衅了                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
89'目前这支尤文可以说在意甲联赛当中还是很难碰到对手的                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
89'欧冠出局可惜了                   86'第86分钟，尤文头球解围未能顶出角球，帕拉西奥左侧距门6米处头球高出
47'上半场尤文两个边路相当活跃                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
47'半场最后时刻尤文仍然围攻着国米                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
47'基耶里尼插上和博格巴进行撞墙配合进入禁区                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
48'基耶里尼接球时手球了被裁判判罚                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
47'阿萨莫阿左路下底被若纳坦挡出底线                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
47'尤文的角球机会                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
47'皮尔洛给到前点，帕拉西奥头球解围，可是顶的不远                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
48'尤文外围比达尔顶踢到禁区                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
48'博格巴用身体杀出空当！！！基耶里尼插上射门！！！！                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
49'近距离打门再次洞穿国米大门！！！！                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
49'基耶里尼利用角球二次进攻的机会乱中得分                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
50'尤文下半场刚开始不久就凭借基耶里尼的进球2比0领先国米                   47'补时第2分钟，特维斯右路传中，武齐尼奇后点停球闪开胡安，在门前9米处抽射碰后卫击中近门柱外侧弹出
