12'1-0！！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
46'恒大开球，从画面的右侧向左进攻！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
46'拉米雷斯中场抢断，准备反击，被保利尼奥拉倒在地！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
47'曹海清左路拿球，强突内切                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
47'和张琳芃发生身体碰撞，摔倒在地                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
47'球被张琳芃控制，大范围转移球找李学鹏                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
47'李学鹏没能启动，球先出了边线！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
48'李学鹏也是向队友挥手，表示歉意！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
48'谢鹏飞禁区内拿球，转身回传给到拉米雷斯                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
48'拉米雷斯跟进左脚抽射，打在防守球员身上弹起                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
49'球到了越位位置的马丁内斯脚下                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
49'裁判没举旗，马丁内斯转身抽射，被曾诚封堵！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
49'曾诚很不满，向队友怒吼发泄！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
49'不过主裁判还是鸣哨，吹罚了马丁内斯的越位，给了恒大门球                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
78'郜林和刘建业围着裁判抗议！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
78'刘建业认为对方第二次了，应该出牌                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
78'郜林则是上前解释，裁判劝开，没理会，比赛继续！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
79'双方中场争抢，李学鹏和马丁内斯发生身体接触                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
79'李学鹏倒地，双方混战了！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
79'比赛暂时中断，裁判被双方球员逼着不断后退啊！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
80'双方球员都在围着裁判解释啊！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
80'苏宁球员示意是李学鹏的犯规，恒大则是把黄博文推出来，示意黄博文的犯规                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
81'裁判出牌了！！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
81'马丁内斯一张！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
81'李学鹏一张，两黄变一红，被罚下了！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
81'裁判出了红牌后，苏宁球员闪开了！！                   78'但第78分钟，马丁内斯与李学鹏发生冲突，两人均吃到黄牌，李学鹏被红牌罚下
85'慢镜回放显示：马丁内斯刚刚拿球强突，被李学鹏踢倒在地，保利尼奥上手捂着坐在地上的马丁内斯眼睛将其搂倒在地                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
86'恒大后场的长传，郜林前场争抢，和李昂发生摩擦！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
86'裁判吹停比赛，李昂和郜林各打五十大板，每人一张黄牌！！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
86'邹正前场逼抢，放铲绊倒了上来的拉米雷斯！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
87'邹正被主裁判出示了黄牌警告！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
87'领到黄牌的邹正大喊一声，给自己打气了！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
87'目前双方的脾气很大啊，火药味十足啊！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
87'陶源的强突传中，被刘健破坏出底线！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
87'苏宁获得左侧角球机会！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
87'特谢拉主罚，开出到禁区，没能形成威胁！！                   85'第85分钟，郜林与李昂发生冲突，两人也均被黄牌警告
90'郜林慢慢离场，陶源不满，发生口角！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
90'裁判过来警告一下，郜林继续慢慢走，马丁内斯准备过来推，被刘建业劝回！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
90'下半场比赛补时7分钟！！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
91'拉米雷斯禁区外的推射                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
91'禁区内人满为患，打在脚上弹了出来！！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
92'陶源右路拿球，强突传中，被于汉超挡出底线！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
92'苏宁获得右侧角球机会！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
92'谢鹏飞角球开出到禁区，李昂争抢头球，撞翻了冯潇霆                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
92'裁判鸣哨，吹罚了李昂的进攻犯规！！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
93'拉米雷斯中圈拿球，分球刘建业                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
93'刘建业再给谢鹏飞，谢鹏飞给到右侧陶源                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
93'陶源的斜传球到禁区，张琳芃头球解围！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
93'张琳芃右路再抢，球出了边线！！                   90'第90分钟，广州恒大再次换人，廖力生换下郜林
52'黄博文中场拿球，斜传右侧给郜林                   52'经过7分钟超长补时，广州恒大最终2-1取胜，但斯科拉里仍喋喋不休
53'郜林背身拿球，李昂身后上抢犯规！！                   52'经过7分钟超长补时，广州恒大最终2-1取胜，但斯科拉里仍喋喋不休
53'冯潇霆的后场过顶长传！！                   52'经过7分钟超长补时，广州恒大最终2-1取胜，但斯科拉里仍喋喋不休
54'郜林头球摆渡到禁区，于汉超插上迎球怒射，打飞！！                   52'经过7分钟超长补时，广州恒大最终2-1取胜，但斯科拉里仍喋喋不休
54'1-2！！！苏宁扳回一城！！！                   52'经过7分钟超长补时，广州恒大最终2-1取胜，但斯科拉里仍喋喋不休
54'进球的是谢鹏飞！！！                   52'经过7分钟超长补时，广州恒大最终2-1取胜，但斯科拉里仍喋喋不休
