4'伊班拿球过顶球给到卡贝萨斯，卡贝萨斯横传武磊                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
30'位置相当不错，就在大禁区弧内                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
31'球门的正前方，朱世玉主罚                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
31'朱世玉任意球攻门，打在人墙上弹出底线                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
31'中能的左侧角球，宋博主罚                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
31'宋博角球开出，刘健头球攻门                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
31'颜骏涛门前上将球没收，压在自己身下                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
32'这球颜骏涛的站位相当不错                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
32'卡贝萨斯前场左路拿球，自己往里突                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
32'结果趟了两步，摔倒在禁区里                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
33'球被中能球员解围                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
33'卡贝萨斯今天前场的失误真不少，还不如国内球员啊                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
33'青岛队换人啦：19号宋文杰上，换下5号许景杰                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
34'卡贝萨斯后场拿球，刘健身后上抢，直接放铲犯规                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
34'刘健被主裁判出示了黄牌警告                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
34'上港的前场任意球机会                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
35'禁区外靠近左侧位置                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
35'武磊的任意球攻门打近角，球弹地后被牟鹏飞没收                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
36'上港中场抢断，孙凯左路拿球，强突下底倒三角回传中路                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
36'可惜包抄的卡贝萨斯跑过了，球被中能球员解围                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
36'中能中场传球再次失误，阿多抢断，邹正反抢放翻了阿多，犯规                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
36'上港左路的直塞球打后卫身后                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
37'麦克布林前插接应，边裁举旗，越位在先                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
37'梅尔坎中路拿球，大范围斜传球被上港队员头球顶回                   34'第34分钟刘健铲球时铲飞卡贝萨斯，青岛队长吃到黄牌，武磊的任意球弹地后被牟鹏飞没收
44'卡贝萨斯停球，起脚劲射，牟鹏飞出击将球压在身下                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
44'这球卡贝萨斯打的漂亮，牟鹏飞的扑救也很给力                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
44'中能前场进攻再次获得任意球                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
45'运动战打不出来，定位球将是中能得分的重要手段                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
45'宋博任意球斜传禁区，刘健插上冲顶                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
45'球稍微顶高了一点点啊                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
45'上半场补时1分钟                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'麦克布林前场左路和宋博争抢时被吹推人犯规                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'梅尔坎后场直传给到前边的邹正                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'邹正拿球内切，左脚弧线球往后点送                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'可惜还是没能越过上港的防线                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'下半场比赛开始                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'红衣红裤的上港开球，从右向左进攻                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'下半场一开始，中能就是前场的不断围抢啊                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
47'权磊的登场，也是昭示着中能的进攻大旗将开始                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
47'中能前场进攻，赢得任意球机会                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
47'宋博右侧任意球斜传后点，前插的刘健头球攻门被颜骏涛封堵                   44'第44分钟青岛队获得前场任意球机会，宋博弧线球开到禁区，刘健人群中弯腰头攻，皮球稍稍高出界外
46'麦克布林前场左路和宋博争抢时被吹推人犯规                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
46'梅尔坎后场直传给到前边的邹正                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
46'邹正拿球内切，左脚弧线球往后点送                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
46'可惜还是没能越过上港的防线                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
46'下半场比赛开始                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
46'红衣红裤的上港开球，从右向左进攻                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
46'下半场一开始，中能就是前场的不断围抢啊                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
47'权磊的登场，也是昭示着中能的进攻大旗将开始                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
47'中能前场进攻，赢得任意球机会                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
47'宋博右侧任意球斜传后点，前插的刘健头球攻门被颜骏涛封堵                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
48'不过主裁判也鸣哨了，吹罚了刘健的越位在先                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
48'武磊！！！帽子戏法来啦！！！                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
49'孙凯左路拿球，大禁区外回传禁区弧，武磊拿球准备短传给麦克布林，中能后卫倒地一挡，球又到武磊脚下，武磊拿球摆脱，面对牟鹏飞，抽射打进                   46'第46分钟青岛获得前场任意球，宋博任意球开到禁区，刘健头球被颜骏凌飞身扑出
47'权磊的登场，也是昭示着中能的进攻大旗将开始                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
47'中能前场进攻，赢得任意球机会                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
47'宋博右侧任意球斜传后点，前插的刘健头球攻门被颜骏涛封堵                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
48'不过主裁判也鸣哨了，吹罚了刘健的越位在先                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
48'武磊！！！帽子戏法来啦！！！                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
49'孙凯左路拿球，大禁区外回传禁区弧，武磊拿球准备短传给麦克布林，中能后卫倒地一挡，球又到武磊脚下，武磊拿球摆脱，面对牟鹏飞，抽射打进                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
50'上港的进攻再来，麦克布林禁区弧拿球横传给武磊                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
50'武磊停球，转身再射一脚，打高                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
50'主裁判同时鸣哨，武磊越位位置回接                   47'而上港的第一波进攻就收到进球，第47分钟，朱峥嵘分球到左路，孙凯上前传中，禁区外的武磊拿球后打算传给中路的麦克布林，但他的送球打在古斯塔沃腿上弹出，第二反应神速的武磊再次拿球，快速闪开古斯塔沃逼抢后打球门远角，皮球碰了青岛队员身上后弹入球门，4比0
53'孙凯左路拿球，横带后的直塞球被邹正上来拦截                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
54'中能又有球员离开了替补席准备登场啦                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
54'卡贝萨斯中路拿球，横传找朱峥嵘，力量过轻                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
55'朱峥嵘转身，倒地一捅，球到了中能球员脚下                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
55'中能前场传接，可惜没传几下，就失误啦                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
55'上港的反击，后场长传给到卡贝萨斯                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
55'卡贝萨斯左路拿球横传，武磊插上一脚打门，被门将封堵                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
56'中能再次换人：15号朱建荣上，换下8号宋博                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
56'刘健后场的过顶长传到前场，没有队友接应啊                   53'第53分钟上港由卡贝萨斯左路传中，武磊跟进弹射被牟鹏飞打出
56'中能再次换人：15号朱建荣上，换下8号宋博                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
56'刘健后场的过顶长传到前场，没有队友接应啊                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
57'刘健后场抢断，右边路的强突，被上港球员将球挡出边线                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
57'上港再进一个！！！                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
57'卡贝萨斯的漂亮进球！！！                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
59'上港前场进攻，卡贝萨斯禁区左侧接到队友传球，挑球转身，接着左脚凌空的一脚撩射，球打进远角，非常漂亮                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
59'上港换人：19号李圣龙上，换下36号麦克布林                   56'果然第56分钟进球再次出现，朱峥嵘中路往左路转移，卡贝萨斯在禁区侧部拿球，颠了球一下后转身起脚吊射，皮球飞入大门后角
57'刘健后场抢断，右边路的强突，被上港球员将球挡出边线                   57'第57分钟上港用李圣龙换下麦可布林
57'上港再进一个！！！                   57'第57分钟上港用李圣龙换下麦可布林
57'卡贝萨斯的漂亮进球！！！                   57'第57分钟上港用李圣龙换下麦可布林
59'上港前场进攻，卡贝萨斯禁区左侧接到队友传球，挑球转身，接着左脚凌空的一脚撩射，球打进远角，非常漂亮                   57'第57分钟上港用李圣龙换下麦可布林
59'上港换人：19号李圣龙上，换下36号麦克布林                   57'第57分钟上港用李圣龙换下麦可布林
60'中场中场又是失误，上港的进攻                   57'第57分钟上港用李圣龙换下麦可布林
60'朱峥嵘中场拿球，面对逼抢，直接回传后场慢慢控制                   57'第57分钟上港用李圣龙换下麦可布林
65'全场比赛65分钟，比分5-0，中能能进球不                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
65'中能后场的过顶长传到左前场找宋文杰                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
65'李运秋上抢，在宋文杰之前将球破坏出边线                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
66'中能的机会啊，宋文杰的打门被挡出了底线                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
67'精彩回放：邹正右路拿球，横切到中路后的过顶球打后卫身后，宋文杰插上凌空打门，被上港回防球员破坏出底线                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
67'中能的右侧角球机会，并没有形成威胁                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
68'上港的前场传接球失误，直接传出了右边线                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
68'王燊超前场拿球，斜传转移球找右路的李运秋                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
68'被回防的中能球员抢先一步解围                   65'第65分钟完全被动的青岛队也找到机会，宋文杰接中场邹正送球，突入禁区射门，但被及时跟进的上港队员用身体挡出
73'上港前场抢断，林创益拿球横带，禁区弧内被古斯塔沃踢倒在地                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
73'上港获得禁区弧内的任意球机会                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
74'中能拍出了无人的人墙，林创益准备主罚                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
74'林创益的任意球攻门直接打在人墙上弹出                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
74'李运秋得到第二落点再射，直接放了高射炮                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
75'朱建荣前场拿球，准备过顶找卡巴耶罗被断掉                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
75'梅尔坎前场拿球，横传找宋文杰时被断                   72'第72分钟林创益左路带球一直内切到中路，古斯塔沃从侧将其放倒，但林创益的任意球打在人墙上谈出，李运秋跟上再射打高出界
81'之前邹正的一次防守也是被出示了黄牌警告                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
81'目前黄牌方面，中能3张对上上港的0张                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
81'上港最后一次换人：13号郑达伦上，换下9号卡贝萨斯                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
82'上港今天3分在手，还得到了锻炼小将的目的，一举多得啊                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
82'朱峥嵘前场中路拿球，带球到禁区外，面对中能的围抢，回传右路李运秋                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
83'郑达伦右路拿球，摆脱邹正的防守，接着人球分过过了刘健                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
83'接着直接小角度的打门，可惜是个高射炮                   80'第80分钟李圣龙远射偏出，此时上港第三次换人，郑达伦换下卡贝萨斯
84'还是年轻啊，这个球往门前传机会更好的                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
85'郑达伦中场拿球，宋龙的逼抢，抢不到，无奈之下伸脚踢翻了郑达伦                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
85'6-0！！！郑达伦！！！                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
86'上港后场过顶长传到前场，牟鹏飞出击没能拿到，郑达伦得球推射空门打进                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
86'中能左路的进攻赢得角球机会                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
87'权磊主罚，角球开出到门前，颜骏凌出击将球拿到                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
87'郑达伦中场接应颜骏凌的开球，被干扰了下倒地                   84'第84分钟宋龙在上港前场犯规，上港长传进攻，王龀把球送到右路，无人看守的郑达伦得球前冲，牟鹏飞出击拦截，郑达伦及时出脚推射，皮球滚入青岛大门，6比0
92'王燊超过顶转移球到右路给到郑达伦                   92'第92分钟青岛队扳回一球，权磊任意球开到禁区，卡巴雷罗头球中柱弹出，宋文杰用身体把球撞入门内，最终上海上港主场6比1战胜青岛中能
92'郑达伦带球突破，闪开角度直接起脚打门，射偏                   92'第92分钟青岛队扳回一球，权磊任意球开到禁区，卡巴雷罗头球中柱弹出，宋文杰用身体把球撞入门内，最终上海上港主场6比1战胜青岛中能
93'中能前场进攻赢得任意球机会                   92'第92分钟青岛队扳回一球，权磊任意球开到禁区，卡巴雷罗头球中柱弹出，宋文杰用身体把球撞入门内，最终上海上港主场6比1战胜青岛中能
94'中能进球，挽回颜面的一球啊！！！                   92'第92分钟青岛队扳回一球，权磊任意球开到禁区，卡巴雷罗头球中柱弹出，宋文杰用身体把球撞入门内，最终上海上港主场6比1战胜青岛中能
94'宋文杰的头球补射打进！！！                   92'第92分钟青岛队扳回一球，权磊任意球开到禁区，卡巴雷罗头球中柱弹出，宋文杰用身体把球撞入门内，最终上海上港主场6比1战胜青岛中能
94'权磊左路右路任意球斜传门前，卡巴耶罗头球击中横梁弹回，宋文杰跟上头球补射打进                   92'第92分钟青岛队扳回一球，权磊任意球开到禁区，卡巴雷罗头球中柱弹出，宋文杰用身体把球撞入门内，最终上海上港主场6比1战胜青岛中能
