2'皇马右路斜传球到左前场找C罗                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
69'皇马换人：本泽马换下伊瓜因                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
70'迪马利亚右边路拿球，阿布拉姆背后将其放倒在地                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
70'阿布拉姆被裁判出示黄牌警告                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
70'迪马利亚太瘦了，只要被对方一推或一踢那绝对会倒地的啦                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
71'皇马这段时间有点艰难，几乎被萨拉戈萨压着在打                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
71'魔力鸟坐在场边也是不满，连续几次起身想场上发出怒吼                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
72'厄齐尔的前场直传球找本泽马，可惜后者被吹越位在先                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
72'卡列洪脱掉了外套，准备登场啦                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
72'C罗禁区外的一脚远射，罗伯托将球稳稳的压在了身下                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
73'皇马再次换人：卡列洪换下迪马利亚                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
73'这样，本场比赛为皇马进球的；两人都坐在场下观战啦                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
74'皇马后场抢断，C罗拿球反击                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
74'C罗拿球过了中线，左边路的斜传球找本泽马                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
74'罗伯托出击，在本泽马之前将球没收                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
75'萨拉戈萨换人：哈维-阿拉莫换下维克多-罗德里格斯                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
75'阿拉莫身高190厘米，萨拉戈萨要打高空轰炸啦                   72'第72分钟，厄齐尔传球，C-罗纳尔多25码处低射被罗贝托没收
81'C罗后点包抄，越位在先                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
81'阿布拉姆左路拿球进入禁区，面对两名防守球员                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
82'禁区内右脚的一脚抽射，球踢飞啦                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
82'阿布拉姆也是一脸怒气，跪在地上捶地骂天                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
83'皇马最后一次换人：纳乔换下阿韦罗亚                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
83'卡卡次次进入替补席，可惜总被魔力鸟忽视，无语啊                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
84'卡列洪前场拿球被瑟普纳鲁放倒在地                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
84'皇马获得了前场任意球机会                   81'第81分钟，莫维利亚传球，阿布拉罕摆脱2人突入禁区左侧，但12码处面对埃辛飞铲封堵下劲射离谱偏出
84'卡列洪前场拿球被瑟普纳鲁放倒在地                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
84'皇马获得了前场任意球机会                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
85'C罗的任意球攻门，球打在横梁上弹出，运气不佳啊                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
86'罗伯托对于C罗的这脚任意球毫无办法，可惜后者踢得稍微高了点                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
86'厄齐尔前场左路拿球，横带至禁区弧顶                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
86'厄齐尔外脚背的斜传到禁区，可惜没有队友接应啊                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
87'C罗禁区右侧打门又被罗伯托奋力化解啦                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
87'卡列洪接着的短传找C罗，可惜后者处于越位位置还没回来了                   84'第84分钟，C-罗纳尔多30码处任意球劲射憾中横梁弹回
89'萨拉戈萨右边路的传中到门前，拉莫斯头球解围                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
89'阿拉莫右路拿球再次传中，还是被皇马球员解围                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
89'皇马的反击，本泽马拿球                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
90'进球啦                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
90'埃辛~~~~~                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
90'本泽马禁区弧顶拿球斜传禁区右侧，埃辛在C罗之前包抄打门得手                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
91'C罗也是一脸郁闷，这球漏过去，他也能进的，感叹上天不公啊，哈哈                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
92'梅西本轮没进球，是C罗追的好机会，可惜啦                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
92'莫德里奇~~                   89'皇马第89分钟锁定胜局，本泽马反击中横传，埃辛12码处推射破门，3-0
92'梅西本轮没进球，是C罗追的好机会，可惜啦                   92'第92分钟，摩德里奇右路传中，倒地的C-罗纳尔多10码处伸腿挡射被罗贝托扑出，C-罗纳尔多禁区左侧小角度再射仍被救出，卡列洪混战中回传，摩德里奇禁区弧边缘低射左下角入网，4-0
92'莫德里奇~~                   92'第92分钟，摩德里奇右路传中，倒地的C-罗纳尔多10码处伸腿挡射被罗贝托扑出，C-罗纳尔多禁区左侧小角度再射仍被救出，卡列洪混战中回传，摩德里奇禁区弧边缘低射左下角入网，4-0
93'莫德里奇斜传，C罗俯身冲顶被罗伯托挡出，莫德里奇禁区弧边补射得手                   92'第92分钟，摩德里奇右路传中，倒地的C-罗纳尔多10码处伸腿挡射被罗贝托扑出，C-罗纳尔多禁区左侧小角度再射仍被救出，卡列洪混战中回传，摩德里奇禁区弧边缘低射左下角入网，4-0
93'下半场补时3分钟，也马上到啦                   92'第92分钟，摩德里奇右路传中，倒地的C-罗纳尔多10码处伸腿挡射被罗贝托扑出，C-罗纳尔多禁区左侧小角度再射仍被救出，卡列洪混战中回传，摩德里奇禁区弧边缘低射左下角入网，4-0
93'C罗看着队友一个个进球，有点郁闷                   92'第92分钟，摩德里奇右路传中，倒地的C-罗纳尔多10码处伸腿挡射被罗贝托扑出，C-罗纳尔多禁区左侧小角度再射仍被救出，卡列洪混战中回传，摩德里奇禁区弧边缘低射左下角入网，4-0
93'裁判哨响，C罗也是第一个走进了更衣室，估计回去要痛苦啦                   92'第92分钟，摩德里奇右路传中，倒地的C-罗纳尔多10码处伸腿挡射被罗贝托扑出，C-罗纳尔多禁区左侧小角度再射仍被救出，卡列洪混战中回传，摩德里奇禁区弧边缘低射左下角入网，4-0
