6'一脚斜长传想找佩德罗，球给出了界外                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
64'阿尔巴的下底传中被后卫顶到，结果落到了苏亚雷斯的脚下，转身打门被门将扑了一下~梅西门前补射空门！                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
64'这球又跟苏牙有关                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
65'巴列卡诺换下桑切斯，换上17号马林                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
65'巴萨换下了伊涅斯塔                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
65'上来的是拉菲尼亚                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
65'小白今天状态不错，下场的时候接受了全场的掌声                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
66'阿尔维斯穿裆过人，过的漂亮~                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
66'直塞梅西~~                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
66'对方后卫有犯规                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
66'裁判鸣哨了                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
66'巴萨获得了一个禁区线前的定位球                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
66'正好是梅西的点                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
69'来自佩德罗的传中，低平球给进来~梅西连停带过，抹过后卫再过掉倒地的门将~~推射空门                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
69'如梦如梦1  巴萨守不住？---打错，是收不住~呵呵                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
70'巴萨逼得了一个角球                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
70'巴萨用阿德换下了阿尔巴                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
70'哈维角球传中~门将出击将球没收了                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
71'巴萨加强了前场的丢球反抢                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
71'可惜刚才梅西抢球下来，佩德罗越位了                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
72'阿尔维斯传中被对方后卫拦截                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
72'巴列卡诺的反击                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
72'前场几乎没人来接应啊                   69'第69分钟，佩德罗左路传中，梅西停球顺势从两名后卫之间穿过并在小禁区左侧晃过门将后射入空门，5-0
81'阿尔维斯作为最后一名后卫，铲倒了对方的前锋                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
81'点球罚入~~~                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
81'布埃诺~~~                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
82'点球罚向球门中路，布拉沃完全判断错了方向                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
82'月夜寒心: 巴萨的这个门将是买的 还是二号升上来的？---买来的                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'ellemea: 阿尔维斯合同谈好了没？---没有，他自己不想续约了                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'巴萨已经用光了换人名额                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'现在也只能坚持下去了                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'阿德到了右边路                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'漂亮的配合啊~                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'拉基蒂奇跟苏牙连续的传接~                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
83'苏亚雷斯禁区弧顶左脚搓射~被门将扑了出来                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
84'苏亚雷斯完全可以再带两步打门                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
84'前面已经只剩下门将                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
84'梅西~中场带球策动反击                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
84'阿基诺在身后拉人犯规                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
84'裁判掏出了黄牌~                   81'巴列卡诺第81分钟挽回颜面，阿尔维斯小禁区前背后铲倒布埃诺被红牌直接罚下，后者亲自主罚命中，1-5
91'苏亚雷斯~~~                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
91'Goooooooooooooooooal~~~                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
91'梅西投桃报李！禁区线上直塞苏亚雷斯~苏牙过掉了出击的门将，小角度打空门~                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
92'下半场补时3分钟                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
93'苏亚雷斯~~~                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
93'险些又一个~                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
93'又是梅西的斜塞~                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
93'苏牙面对门将，捅射被扑了出去                   91'第91分钟，梅西传球，苏亚雷斯小禁区右侧晃过门将射入空门，6-1
