1'上半场比赛开始！                   1'南安普敦第1分钟率先进入比赛节奏
19'鲁尼这边前场抢球犯规                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
34'马夏尔                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
34'1-1！！                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
34'此时此刻值得来杯嘉士伯                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
35'施奈德林前场头球点下来，禁区内马塔接球后被铲倒，第二点，马夏尔停球后摆脱推射将球打进！                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
35'但这球马塔接球的时候应该先越位了                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
35'看看南安普敦这边怎么攻                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
36'马塔中场带球被铲了一下                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
36'南安普敦左路带球进攻                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
36'塔格特带球先出了边线                   34'曼联第34分钟扳平比分，施奈德林前场头球前顶，马塔越位位置拿球突入禁区左肋，吉田麻也铲球勉强解围，马夏尔10码处拉球晃过范迪克后低射入网，1-1
50'1-2！！                   50'曼联第50分钟反超比分，吉田麻也回传失误，马夏尔禁区边缘内单刀推射破门，2-1
50'马夏尔！！                   50'曼联第50分钟反超比分，吉田麻也回传失误，马夏尔禁区边缘内单刀推射破门，2-1
50'此时此刻值得来杯嘉士伯                    50'曼联第50分钟反超比分，吉田麻也回传失误，马夏尔禁区边缘内单刀推射破门，2-1
51'南安普敦后场外脚背回传没有力量，马夏尔突然前插后形成单刀，面对门将推射将球打进！                   50'曼联第50分钟反超比分，吉田麻也回传失误，马夏尔禁区边缘内单刀推射破门，2-1
51'吉田麻也的回敲太过随意了                   50'曼联第50分钟反超比分，吉田麻也回传失误，马夏尔禁区边缘内单刀推射破门，2-1
52'南安普敦前场转移出现失误                   50'曼联第50分钟反超比分，吉田麻也回传失误，马夏尔禁区边缘内单刀推射破门，2-1
68'1-3！！                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
68'马塔！！                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
68'此时此刻值得来杯嘉士伯                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
68'施魏因斯泰格前场拿球给到禁区内，德佩禁区内一扣后打近角被门柱弹回来，马塔跟进推射将球打进！                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
69'曼联这边也是换人了                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
69'罗霍下，麦克奈尔上！                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
69'布林德这边挪到了左路                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
71'南安普敦拿球给到了左路                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
71'边路的传球被封堵                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
71'曼联这边反击的机会                   68'曼联第68分钟扩大优势，施魏因斯泰格传球，德佩禁区左侧扣过2人后11码处劲射击中近角立柱弹回，马塔14码处补射入网，3-1
86'第二落点还好是曼联的                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
86'2-3！！！                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
86'佩莱！！                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
86'此时此刻值得来杯嘉士伯                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
87'马内右路面对两人的防守将球传了出来，前点佩莱头球攻门将球顶进！                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
87'比赛的悬念又回来了                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
87'佩莱本场比赛也是进了2个球                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
88'南安普敦右路挑传没有送过去                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
88'曼联这段时间有些被动                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
89'南安普敦右路起球送禁区                   86'南安普敦第86分钟拉近差距，马内右路传中，麦克奈尔漏人，佩莱小禁区前头球破门，2-3
