1'上半场比赛开始！                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
24'之后又是一次倒地                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
24'裁判吹了进攻犯规                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
25'邵佳一中场接球被奥特森碰了一下                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
25'裁判给了国安队前场任意球                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
26'国安队将球传到禁区内                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
26'威胁不是很大                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
26'国安队目前联赛中排名第几？1、2；2、3[qiangda]                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
26'卡尔坦森前插的时候越位                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
37'国安队滑铲将球破坏                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
37'国安队马上组织反击                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
37'中场的直塞打边路                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
37'邵佳一拿球的时候越位了                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
39'舜天中场控球，吴曦拿球回敲                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
40'陈志钊左路突破被放倒                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
40'犯规的是刘建业                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
40'国安队这边有球员受伤倒地                   37'而国安在第37分钟几乎形成中线前插的反越位攻势，但邵佳一身位稍稍超过中线被判定越位
53'李磊右路起球送禁区后点                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
53'队友头球攻门没有顶上力量                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
53'张思鹏门线上将球拿到                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
54'埃斯库德罗左路拿球被拉                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
54'舜天前场左路获得任意球                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
54'任意球送中路                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
54'双方球员都没有碰到，漏了过去                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
55'舜天中场断球直接长传找孙可                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
55'这球传的深了点，没有拿到                   53'第53分钟，国安由河大成、陈志钊耐心运转出右路攻势，李运秋下底传中后费祖拉乌头球攻门被张思鹏没收；张思鹏试图前冲快发球时被于大宝干扰，张思鹏倒地
61'舜天挑传打到禁区内                   61'第61分钟，吴曦挑传国安防线身后，埃斯库德罗前插入禁区时对撞赵和靖造成后者倒地，埃斯库德罗被判定进攻犯规
61'埃斯库德罗前插到禁区内有一个撞人动作                   61'第61分钟，吴曦挑传国安防线身后，埃斯库德罗前插入禁区时对撞赵和靖造成后者倒地，埃斯库德罗被判定进攻犯规
62'裁判吹了进攻犯规                   61'第61分钟，吴曦挑传国安防线身后，埃斯库德罗前插入禁区时对撞赵和靖造成后者倒地，埃斯库德罗被判定进攻犯规
62'周挺争抢头球的时候放倒了卡尔坦森                   61'第61分钟，吴曦挑传国安防线身后，埃斯库德罗前插入禁区时对撞赵和靖造成后者倒地，埃斯库德罗被判定进攻犯规
63'萨米尔这边换了一双鞋                   61'第61分钟，吴曦挑传国安防线身后，埃斯库德罗前插入禁区时对撞赵和靖造成后者倒地，埃斯库德罗被判定进攻犯规
63'孙可上抢的时候犯规                   61'第61分钟，吴曦挑传国安防线身后，埃斯库德罗前插入禁区时对撞赵和靖造成后者倒地，埃斯库德罗被判定进攻犯规
67'左路再传又是被大脚解围                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
67'于大宝左路突破被放倒                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
67'裁判没有吹                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
67'于大宝起身后找边裁去理论                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
68'主动申请一张黄牌啊                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
68'德扬这边在做准备了                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
68'陈志钊左路想从两人缝隙中突破，没有成功                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
69'马季奇中场拿球转移到了左路                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
70'费祖拉乌右路突破被破坏                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
70'国安队换人，邵佳一下，德扬上！                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
70'邵佳一将队长袖标给到周挺                   67'第67分钟，于大宝右路强突与张晓彬接触时在禁区线上摔倒，裁判没有判罚；于大宝跑向边裁进行抗议并有身体接触，结果领到黄牌
73'萨米尔左路拿球挑传到禁区内                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
73'埃斯库德罗前插后没有卡住身位啊                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
73'陈志钊中场断球了                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
74'费祖拉乌拿球后，在禁区内捅射                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
74'这球被干扰了一下                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
74'张思鹏侧扑将球得到                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
75'卡尔坦森禁区内接球后打门被封堵                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
75'舜天这边角球机会                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
75'角球送中路，杨智拖了一下                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
75'禁区内舜天还有机会                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
76'孙可倒地滑铲又被杨智扑出                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
76'禁区内，于大宝受伤倒地                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
76'自己人撞一起了应该                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
76'国安队反击获得一个角球                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
76'张思鹏这边受伤倒地                   73'第73分钟，萨米尔挑传国安禁区，李磊以对撞动作对前插的埃斯库德罗做出拦截，埃斯库德罗倒地
75'卡尔坦森禁区内接球后打门被封堵                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
75'舜天这边角球机会                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
75'角球送中路，杨智拖了一下                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
75'禁区内舜天还有机会                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
76'孙可倒地滑铲又被杨智扑出                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
76'禁区内，于大宝受伤倒地                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
76'自己人撞一起了应该                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
76'国安队反击获得一个角球                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
76'张思鹏这边受伤倒地                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
77'国安队这边准备换上巴塔拉                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
77'陈志钊角球送中路                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
77'舜天拿到第一点顶了出来                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
77'舜天这边反击的机会                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
78'球员有些等球啊                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
78'国安队换人，费祖拉乌下，巴塔拉上！                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
78'舜天这边也要准备换人                   75'第75分钟，萨米尔再次向国安禁区塞球，卡尔坦森攻门时被赵和靖奋力封堵
80'国安队后场传球失误                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
80'顾文祥左路拿球                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
80'吴曦禁区内拿球后转身捅射被杨智扑了出去                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
80'舜天这边角球机会                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
80'角球送后点，周挺将球顶了出来                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
81'舜天继续角球机会                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
81'角球送前点，国安队将球捅出                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
82'比赛已经进入到了80分钟，这个时候进球基本上就是绝杀了                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
82'马季奇前场拿球分到右路                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
82'陈志钊想做撞墙配合，不成功                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
83'河大成禁区前沿拿球，没有出球的机会                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
83'舜天这边反击的机会                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
83'萨米尔中场拿球没有分出去                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
83'于大宝这边受伤倒地                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
83'国安队将球先解围出边线                   80'第80分钟，顾文祥左路传中折线来到前点，吴曦近距离攻门被杨智用脚挡出
90'禁区外围，国安队想再打，结果打空了                   90'第90分钟，周挺中场战术犯规领到黄牌
90'国安队边路拿球，任航抢球犯规                   90'第90分钟，周挺中场战术犯规领到黄牌
90'任意球再送禁区内，第一点还是被舜天拿到                   90'第90分钟，周挺中场战术犯规领到黄牌
90'周挺中场又是一个战术犯规                   90'第90分钟，周挺中场战术犯规领到黄牌
90'周挺得到黄牌！                   90'第90分钟，周挺中场战术犯规领到黄牌
91'下半场补时3分钟！                   90'第90分钟，周挺中场战术犯规领到黄牌
92'舜天长传打国安队身后                   90'第90分钟，周挺中场战术犯规领到黄牌
92'这球被国安队防了下来                   90'第90分钟，周挺中场战术犯规领到黄牌
92'德扬右路下底被吉翔解围                   90'第90分钟，周挺中场战术犯规领到黄牌
92'国安队这边获得角球机会                   90'第90分钟，周挺中场战术犯规领到黄牌
93'角球送前点被舜天解围                   90'第90分钟，周挺中场战术犯规领到黄牌
93'禁区外围国安队打远射，又是被挡了一下                   90'第90分钟，周挺中场战术犯规领到黄牌
93'舜天拿球转移到另外一侧                   90'第90分钟，周挺中场战术犯规领到黄牌
93'禁区外围杨昊打远射，打高了                   90'第90分钟，周挺中场战术犯规领到黄牌
