26'帕托外围突施冷箭                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
91'冯卓毅中圈被吹了犯规                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
92'多奇卡尔得球横敲右路                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
92'杜长杰外围打门，打飞了啊                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
92'亚森很生气啊                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
93'钟晋宝禁区内射门被封堵                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
95'权敬源没什么大碍                   95'下半场易边再战，第50分钟，天津权健弧线球传中，权敬源头球攻门偏出
95'张鹭后场开出定位球                   95'下半场易边再战，第50分钟，天津权健弧线球传中，权敬源头球攻门偏出
95'龙成把球顶出了边线                   95'下半场易边再战，第50分钟，天津权健弧线球传中，权敬源头球攻门偏出
77'巴索戈直传禁区，禁区内陈子介背身拿球转身打门被封堵                   77'第77分钟，河南建业扳平比分
77'扳平了                   77'第77分钟，河南建业扳平比分
78'巴索戈禁区右侧突破后传中，中路钟晋宝冲顶破门                   77'第77分钟，河南建业扳平比分
78'帕托前场突破，球被戈麦斯放倒                   77'第77分钟，河南建业扳平比分
79'帕托任意球打门，打在了人墙上                   77'第77分钟，河南建业扳平比分
81'权敬源手抛球掷到禁区，争顶后中路的王永珀倒钩打门击中横梁，皮球弹到地上被吴龑抱住                   80'第80分钟，天津权健错失领先机会
81'巴索戈左侧带球被权敬源绊倒了                   80'第80分钟，天津权健错失领先机会
82'建业获得左路定位球                   80'第80分钟，天津权健错失领先机会
82'多奇卡尔任意球给到禁区，一点被解围                   80'第80分钟，天津权健错失领先机会
86'多奇卡尔分左路                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
86'柯钊左路传中，后点巴索戈得球一脚爆射打在了横梁上                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
87'巴索戈禁区右侧连续两脚都被封堵                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
88'建业换人，刘恒替下柯钊                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
88'维特塞尔推人犯规了                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
88'建业任意球给出来                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
89'龙成斜传给到冯卓毅                   86'第86分钟，柯钊边路传中，巴索戈后点停球后凌空抽射，球击中横梁弹出
