1'好！比赛正式开始！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
47'帕雷霍拿球！挑传送禁区！                   47'瓦伦西亚第47分钟扩大优势，帕雷霍直传巴舒亚伊，菲尔-琼斯抢先铲回，但皮球错过出击的罗梅罗滚入自家大门，2-0
47'球被拜利破坏出来！                   47'瓦伦西亚第47分钟扩大优势，帕雷霍直传巴舒亚伊，菲尔-琼斯抢先铲回，但皮球错过出击的罗梅罗滚入自家大门，2-0
50'瓦伦西亚后场任意球开出来！                   47'瓦伦西亚第47分钟扩大优势，帕雷霍直传巴舒亚伊，菲尔-琼斯抢先铲回，但皮球错过出击的罗梅罗滚入自家大门，2-0
50'马塔带球出了边线了！                   47'瓦伦西亚第47分钟扩大优势，帕雷霍直传巴舒亚伊，菲尔-琼斯抢先铲回，但皮球错过出击的罗梅罗滚入自家大门，2-0
87'博格巴拿球回敲送了出去！！                   87'曼联第87分钟扳回一城，阿什利-扬左路底线附近传中，拉什福德小禁区边缘头球破门，1-2
87'阿什利杨跟进拿球！起脚传中送禁区！！                   87'曼联第87分钟扳回一城，阿什利-扬左路底线附近传中，拉什福德小禁区边缘头球破门，1-2
88'Goal!!!!!                   87'曼联第87分钟扳回一城，阿什利-扬左路底线附近传中，拉什福德小禁区边缘头球破门，1-2
89'曼联扳回一城啊！！                   87'曼联第87分钟扳回一城，阿什利-扬左路底线附近传中，拉什福德小禁区边缘头球破门，1-2
90'博格巴前场左路拿球！                   87'曼联第87分钟扳回一城，阿什利-扬左路底线附近传中，拉什福德小禁区边缘头球破门，1-2
90'博格巴挑传送禁区！！                   87'曼联第87分钟扳回一城，阿什利-扬左路底线附近传中，拉什福德小禁区边缘头球破门，1-2
